Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Model
RandomForestClassifier,0.8441,0.8466,0.8441,0.843,0.913,0.9159,0.913,0.9108,0.9,0.9,0.9,0.9,0.9629,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,RandomForestClassifier()
KNeighborsClassifier,0.8187,0.8224,0.8187,0.8177,0.8478,0.8479,0.8478,0.8433,0.8833,0.8857,0.8833,0.8831,0.9211,smote,250,StandardScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.8245,0.8281,0.8245,0.8251,0.8261,0.8291,0.8261,0.8259,0.8833,0.8931,0.8833,0.8823,0.8688,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,DecisionTreeClassifier()
RandomForestClassifier,0.8624,0.8655,0.8624,0.8609,0.8623,0.8628,0.8623,0.8616,0.8667,0.8681,0.8667,0.867,0.9665,smote,250,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,RandomForestClassifier()
SVC,0.8026,0.8458,0.8026,0.8027,0.7899,0.8446,0.7899,0.7914,0.8667,0.8914,0.8667,0.8661,0.9148,smote,250,StandardScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,SVC(probability=True)
KNeighborsClassifier,0.8118,0.8179,0.8118,0.8116,0.8333,0.8374,0.8333,0.8344,0.85,0.8625,0.85,0.8505,0.9401,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,KNeighborsClassifier()
MLPClassifier,0.7808,0.8233,0.7808,0.7806,0.8261,0.844,0.8261,0.822,0.85,0.8705,0.85,0.8497,0.9255,smote,250,StandardScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,MLPClassifier()
RandomForestClassifier,0.8695,0.8737,0.8695,0.869,0.913,0.9138,0.913,0.9132,0.8333,0.8369,0.8333,0.8328,0.9692,smote,250,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,RandomForestClassifier()
RandomForestClassifier,0.8298,0.8347,0.8298,0.8273,0.7971,0.7966,0.7971,0.795,0.8333,0.8465,0.8333,0.8328,0.9528,smote,250,StandardScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,RandomForestClassifier()
KNeighborsClassifier,0.817,0.8287,0.817,0.8185,0.8551,0.8758,0.8551,0.8596,0.8333,0.8341,0.8333,0.8327,0.9445,smote,250,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,KNeighborsClassifier()
RandomForestClassifier,0.8134,0.8205,0.8134,0.8118,0.8551,0.8538,0.8551,0.853,0.8333,0.8417,0.8333,0.832,0.9421,smote,250,no_scaled,"['storyPoints', 'polarity', 'stress', 'A']",10,RandomForestClassifier()
KNeighborsClassifier,0.752,0.7667,0.752,0.7498,0.8043,0.805,0.8043,0.8039,0.8333,0.8458,0.8333,0.8285,0.9009,smote,250,no_scaled,"['storyPoints', 'polarity', 'stress', 'A']",10,KNeighborsClassifier()
LogisticRegression,0.7753,0.7984,0.7753,0.7769,0.7826,0.8085,0.7826,0.7896,0.8167,0.8253,0.8167,0.8183,0.8661,smote,250,no_scaled,"['storyPoints', 'polarity', 'stress', 'A']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
DecisionTreeClassifier,0.8314,0.8362,0.8314,0.8322,0.8333,0.8452,0.8333,0.8364,0.8167,0.8234,0.8167,0.8178,0.8742,smote,250,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,DecisionTreeClassifier()
RandomForestClassifier,0.8333,0.8356,0.8333,0.8326,0.8261,0.8225,0.8261,0.8238,0.8167,0.8223,0.8167,0.8169,0.9494,smote,250,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,RandomForestClassifier()
LogisticRegression,0.7807,0.803,0.7807,0.7789,0.7391,0.7802,0.7391,0.7442,0.8,0.8276,0.8,0.8029,0.8826,smote,250,StandardScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
DecisionTreeClassifier,0.8226,0.8266,0.8226,0.8197,0.7754,0.7746,0.7754,0.7679,0.8,0.821,0.8,0.8018,0.9368,smote,250,StandardScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,DecisionTreeClassifier()
DecisionTreeClassifier,0.8241,0.8323,0.8241,0.826,0.7899,0.7887,0.7899,0.7887,0.8,0.8093,0.8,0.8,0.9422,smote,250,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,DecisionTreeClassifier()
SVC,0.7934,0.8333,0.7934,0.7921,0.8406,0.8963,0.8406,0.8439,0.7833,0.8333,0.7833,0.7867,0.9197,smote,250,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,SVC(probability=True)
DecisionTreeClassifier,0.8224,0.8344,0.8224,0.8231,0.8406,0.8483,0.8406,0.8422,0.7833,0.795,0.7833,0.7865,0.9376,smote,250,no_scaled,"['storyPoints', 'polarity', 'stress', 'A']",10,DecisionTreeClassifier()
MLPClassifier,0.7809,0.8095,0.7809,0.7777,0.7754,0.7937,0.7754,0.7789,0.7833,0.7884,0.7833,0.7848,0.9245,smote,250,no_scaled,"['storyPoints', 'polarity', 'stress', 'A']",10,MLPClassifier()
