Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Model
RandomForestClassifier,0.9583,0.9586,0.9583,0.9584,0.9659,0.966,0.9659,0.9659,0.95,0.953,0.95,0.9499,0.9945,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,RandomForestClassifier()
DecisionTreeClassifier,0.9451,0.9454,0.9451,0.945,0.948,0.9481,0.948,0.948,0.9167,0.9195,0.9167,0.917,0.9588,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,DecisionTreeClassifier()
KNeighborsClassifier,0.9409,0.9412,0.9409,0.9408,0.9402,0.9408,0.9402,0.9402,0.9167,0.9228,0.9167,0.9168,0.9869,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,KNeighborsClassifier()
KNeighborsClassifier,0.8832,0.887,0.8832,0.8827,0.8866,0.8867,0.8866,0.8864,0.9,0.9103,0.9,0.8998,0.9582,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,KNeighborsClassifier()
RandomForestClassifier,0.9507,0.9509,0.9507,0.9506,0.9562,0.9562,0.9562,0.9562,0.8833,0.8862,0.8833,0.8836,0.9876,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,RandomForestClassifier()
KNeighborsClassifier,0.9407,0.941,0.9407,0.9408,0.9366,0.9366,0.9366,0.9364,0.8667,0.8766,0.8667,0.8688,0.9836,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.9306,0.9309,0.9306,0.9307,0.9259,0.9258,0.9259,0.9258,0.8667,0.869,0.8667,0.8674,0.9482,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,DecisionTreeClassifier()
LogisticRegression,0.8078,0.8371,0.8078,0.8107,0.7894,0.8214,0.7894,0.7937,0.8667,0.8704,0.8667,0.8674,0.8774,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
MLPClassifier,0.8892,0.8918,0.8892,0.8898,0.895,0.8946,0.895,0.8947,0.8667,0.8724,0.8667,0.8662,0.9746,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,MLPClassifier()
DecisionTreeClassifier,0.8181,0.8189,0.8181,0.8181,0.8182,0.8192,0.8182,0.8186,0.8667,0.8699,0.8667,0.8659,0.8665,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'A']",10,DecisionTreeClassifier()
RandomForestClassifier,0.8982,0.9003,0.8982,0.8984,0.8899,0.8901,0.8899,0.8897,0.8667,0.8851,0.8667,0.864,0.9767,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,RandomForestClassifier()
RandomForestClassifier,0.9511,0.9514,0.9511,0.9512,0.9568,0.9568,0.9568,0.9567,0.85,0.85,0.85,0.85,0.9872,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,RandomForestClassifier()
KNeighborsClassifier,0.9302,0.9307,0.9302,0.9301,0.9439,0.9443,0.9439,0.9438,0.85,0.8505,0.85,0.8499,0.9791,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,KNeighborsClassifier()
SVC,0.8607,0.8687,0.8607,0.8619,0.8782,0.888,0.8782,0.8795,0.85,0.8526,0.85,0.8487,0.9259,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,SVC(probability=True)
DecisionTreeClassifier,0.9254,0.9259,0.9254,0.9256,0.9315,0.9314,0.9315,0.9313,0.8333,0.8357,0.8333,0.8331,0.9441,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,DecisionTreeClassifier()
RandomForestClassifier,0.7947,0.799,0.7947,0.7944,0.8043,0.8071,0.8043,0.8037,0.8333,0.8331,0.8333,0.8329,0.9396,smote,3000,no_scaled,"['storyPoints', 'polarity', 'A']",10,RandomForestClassifier()
DecisionTreeClassifier,0.801,0.8057,0.801,0.8003,0.7768,0.7817,0.7768,0.7762,0.8333,0.8333,0.8333,0.8323,0.9432,smote,3000,no_scaled,"['storyPoints', 'polarity', 'A']",10,DecisionTreeClassifier()
DecisionTreeClassifier,0.8955,0.8984,0.8955,0.8958,0.8944,0.8959,0.8944,0.8946,0.8167,0.8432,0.8167,0.8176,0.9768,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,DecisionTreeClassifier()
RandomForestClassifier,0.8365,0.8372,0.8365,0.8366,0.8462,0.8459,0.8462,0.846,0.8167,0.8409,0.8167,0.8171,0.9519,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'A']",10,RandomForestClassifier()
KNeighborsClassifier,0.7571,0.7685,0.7571,0.7567,0.7852,0.7996,0.7852,0.7857,0.8167,0.8214,0.8167,0.8169,0.9078,smote,3000,no_scaled,"['storyPoints', 'polarity', 'A']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.805,0.8057,0.805,0.805,0.8063,0.8074,0.8063,0.8066,0.8167,0.8299,0.8167,0.8165,0.8572,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'A']",10,DecisionTreeClassifier()
SVC,0.7924,0.8549,0.7924,0.7914,0.8356,0.8794,0.8356,0.8375,0.8,0.8264,0.8,0.8024,0.8734,smote,3000,no_scaled,"['storyPoints', 'polarity', 'stress', 'A']",10,SVC(probability=True)
KNeighborsClassifier,0.8381,0.8398,0.8381,0.8382,0.8507,0.8508,0.8507,0.8507,0.7833,0.8119,0.7833,0.7861,0.9478,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'A']",10,KNeighborsClassifier()
KNeighborsClassifier,0.8925,0.8964,0.8925,0.8926,0.8943,0.8936,0.8943,0.8933,0.7833,0.7927,0.7833,0.785,0.9669,smote,3000,no_scaled,"['storyPoints', 'polarity', 'stress', 'A']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.903,0.9073,0.903,0.9036,0.8977,0.9048,0.8977,0.8991,0.7833,0.7872,0.7833,0.7839,0.9838,smote,3000,no_scaled,"['storyPoints', 'polarity', 'stress', 'A']",10,DecisionTreeClassifier()
RandomForestClassifier,0.9037,0.9073,0.9037,0.9044,0.8977,0.9028,0.8977,0.8988,0.7833,0.7872,0.7833,0.7839,0.9835,smote,3000,no_scaled,"['storyPoints', 'polarity', 'stress', 'A']",10,RandomForestClassifier()
KNeighborsClassifier,0.8825,0.8868,0.8825,0.883,0.8838,0.8958,0.8838,0.8852,0.7833,0.7958,0.7833,0.7838,0.9583,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,KNeighborsClassifier()
MLPClassifier,0.8899,0.891,0.8899,0.8899,0.8933,0.8932,0.8933,0.8932,0.7833,0.8118,0.7833,0.7828,0.9731,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,MLPClassifier()
KNeighborsClassifier,0.8328,0.8344,0.8328,0.8333,0.8355,0.8361,0.8355,0.8357,0.7833,0.8095,0.7833,0.7824,0.9395,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'A']",10,KNeighborsClassifier()
KNeighborsClassifier,0.8336,0.8351,0.8336,0.8338,0.84,0.8424,0.84,0.8406,0.7833,0.79,0.7833,0.7786,0.937,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'A']",10,KNeighborsClassifier()
RandomForestClassifier,0.8947,0.8977,0.8947,0.8952,0.8984,0.8998,0.8984,0.8984,0.7833,0.7846,0.7833,0.7741,0.9767,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,RandomForestClassifier()
DecisionTreeClassifier,0.8979,0.8997,0.8979,0.8984,0.8928,0.894,0.8928,0.893,0.7833,0.7846,0.7833,0.7741,0.9761,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,DecisionTreeClassifier()
MLPClassifier,0.7658,0.7804,0.7658,0.7674,0.7903,0.7926,0.7903,0.7898,0.7667,0.7815,0.7667,0.7675,0.9274,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,MLPClassifier()
MLPClassifier,0.7299,0.7407,0.7299,0.7289,0.7601,0.7595,0.7601,0.7565,0.7667,0.774,0.7667,0.7638,0.8929,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'A']",10,MLPClassifier()
RandomForestClassifier,0.8347,0.835,0.8347,0.8348,0.8214,0.8216,0.8214,0.8215,0.7667,0.7822,0.7667,0.7636,0.9472,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'A']",10,RandomForestClassifier()
SVC,0.8409,0.8874,0.8409,0.8436,0.8377,0.878,0.8377,0.8401,0.7667,0.8011,0.7667,0.763,0.9375,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,SVC(probability=True)
SVC,0.8238,0.8316,0.8238,0.8249,0.8282,0.835,0.8282,0.8288,0.7667,0.7794,0.7667,0.7627,0.9206,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,SVC(probability=True)
MLPClassifier,0.8768,0.8826,0.8768,0.8762,0.873,0.8858,0.873,0.8756,0.75,0.7533,0.75,0.7496,0.9758,smote,3000,no_scaled,"['storyPoints', 'polarity', 'stress', 'A']",10,MLPClassifier()
RandomForestClassifier,0.834,0.8347,0.834,0.8343,0.8327,0.8333,0.8327,0.8329,0.75,0.7781,0.75,0.7469,0.9464,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'A']",10,RandomForestClassifier()
LogisticRegression,0.8091,0.8403,0.8091,0.8128,0.8015,0.8306,0.8015,0.804,0.75,0.7542,0.75,0.7465,0.8865,smote,3000,no_scaled,"['storyPoints', 'polarity', 'stress', 'A']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
SVC,0.7016,0.745,0.7016,0.7058,0.7075,0.7409,0.7075,0.7127,0.7333,0.7639,0.7333,0.7406,0.8041,smote,3000,no_scaled,"['storyPoints', 'polarity', 'A']",10,SVC(probability=True)
MLPClassifier,0.787,0.7908,0.787,0.7873,0.799,0.7997,0.799,0.798,0.75,0.7745,0.75,0.7354,0.9317,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'A']",10,MLPClassifier()
DecisionTreeClassifier,0.7911,0.7928,0.7911,0.7912,0.7979,0.7992,0.7979,0.7971,0.75,0.7882,0.75,0.7349,0.9347,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'A']",10,DecisionTreeClassifier()
MLPClassifier,0.743,0.7679,0.743,0.7442,0.7366,0.7502,0.7366,0.74,0.7333,0.7321,0.7333,0.7324,0.9122,smote,3000,no_scaled,"['storyPoints', 'polarity', 'A']",10,MLPClassifier()
MLPClassifier,0.7898,0.7928,0.7898,0.7905,0.817,0.8176,0.817,0.8165,0.7333,0.7706,0.7333,0.7305,0.9303,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'A']",10,MLPClassifier()
MLPClassifier,0.8882,0.8935,0.8882,0.8888,0.8742,0.8749,0.8742,0.8743,0.7333,0.7851,0.7333,0.7266,0.9745,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,MLPClassifier()
KNeighborsClassifier,0.7678,0.7746,0.7678,0.768,0.744,0.7621,0.744,0.7474,0.7167,0.7269,0.7167,0.7178,0.9066,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'A']",10,KNeighborsClassifier()
RandomForestClassifier,0.7964,0.7987,0.7964,0.7957,0.7816,0.7825,0.7816,0.7808,0.7167,0.7143,0.7167,0.7146,0.9369,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'A']",10,RandomForestClassifier()
LogisticRegression,0.8093,0.8373,0.8093,0.8119,0.7939,0.8213,0.7939,0.7966,0.7167,0.7724,0.7167,0.7104,0.8817,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
RandomForestClassifier,0.7921,0.7943,0.7921,0.7915,0.7855,0.7862,0.7855,0.7849,0.7167,0.7315,0.7167,0.7024,0.9367,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'A']",10,RandomForestClassifier()
SVC,0.6463,0.7188,0.6463,0.6434,0.627,0.708,0.627,0.6288,0.7,0.7575,0.7,0.702,0.8036,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,SVC(probability=True)
SVC,0.7843,0.7874,0.7843,0.7837,0.7816,0.7821,0.7816,0.7808,0.7167,0.7434,0.7167,0.6991,0.8765,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'A']",10,SVC(probability=True)
KNeighborsClassifier,0.7718,0.7752,0.7718,0.7708,0.7878,0.7905,0.7878,0.7866,0.7,0.6986,0.7,0.6984,0.8974,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'A']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.7916,0.7952,0.7916,0.791,0.7782,0.7805,0.7782,0.7779,0.7,0.6986,0.7,0.6984,0.9365,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'A']",10,DecisionTreeClassifier()
SVC,0.7525,0.7589,0.7525,0.7495,0.7333,0.7432,0.7333,0.7265,0.7,0.7569,0.7,0.6981,0.8831,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'A']",10,SVC(probability=True)
MLPClassifier,0.8023,0.8041,0.8023,0.8018,0.7939,0.7959,0.7939,0.792,0.7,0.6965,0.7,0.697,0.9395,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,MLPClassifier()
MLPClassifier,0.7753,0.7796,0.7753,0.776,0.7827,0.7848,0.7827,0.7835,0.6833,0.6795,0.6833,0.6803,0.9252,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'A']",10,MLPClassifier()
