Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Model
RandomForestClassifier,0.9089,0.91,0.9089,0.9082,0.9201,0.9221,0.9201,0.9205,0.8333,0.8518,0.8333,0.8346,0.9818,smote,500,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,RandomForestClassifier()
KNeighborsClassifier,0.8646,0.8691,0.8646,0.8645,0.875,0.8758,0.875,0.8752,0.8333,0.8605,0.8333,0.8344,0.9594,smote,500,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.7673,0.7699,0.7673,0.7662,0.7396,0.744,0.7396,0.7394,0.8167,0.826,0.8167,0.8183,0.8256,smote,500,MinMaxScaler,"['storyPoints', 'polarity_mean', 'A']",10,DecisionTreeClassifier()
RandomForestClassifier,0.9132,0.9153,0.9132,0.9123,0.9236,0.9231,0.9236,0.9231,0.8167,0.8277,0.8167,0.8175,0.9841,smote,500,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,RandomForestClassifier()
KNeighborsClassifier,0.848,0.8516,0.848,0.8485,0.8681,0.8693,0.8681,0.8685,0.8167,0.8164,0.8167,0.8162,0.9522,smote,500,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.8021,0.8079,0.8021,0.8025,0.8507,0.8516,0.8507,0.8511,0.8167,0.8208,0.8167,0.8135,0.9357,smote,500,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,DecisionTreeClassifier()
SVC,0.8055,0.843,0.8055,0.8057,0.8056,0.8412,0.8056,0.8091,0.8167,0.8361,0.8167,0.8125,0.9115,smote,500,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,SVC(probability=True)
RandomForestClassifier,0.8281,0.8296,0.8281,0.8271,0.8021,0.8008,0.8021,0.8014,0.8,0.8014,0.8,0.7998,0.9535,smote,500,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,RandomForestClassifier()
KNeighborsClassifier,0.8159,0.8242,0.8159,0.8154,0.7986,0.8075,0.7986,0.7999,0.8,0.805,0.8,0.7993,0.9295,smote,500,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,KNeighborsClassifier()
RandomForestClassifier,0.9062,0.9066,0.9062,0.9052,0.9306,0.9316,0.9306,0.9307,0.7833,0.7986,0.7833,0.7853,0.9846,smote,500,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,RandomForestClassifier()
DecisionTreeClassifier,0.8758,0.876,0.8758,0.8752,0.8715,0.8724,0.8715,0.8715,0.7833,0.7906,0.7833,0.7822,0.9069,smote,500,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,DecisionTreeClassifier()
RandomForestClassifier,0.796,0.8009,0.796,0.795,0.8021,0.8018,0.8021,0.8017,0.7833,0.7812,0.7833,0.782,0.9297,smote,500,MinMaxScaler,"['storyPoints', 'polarity_mean', 'A']",10,RandomForestClassifier()
DecisionTreeClassifier,0.8759,0.8776,0.8759,0.8748,0.8889,0.8891,0.8889,0.889,0.7833,0.8114,0.7833,0.7815,0.9066,smote,500,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,DecisionTreeClassifier()
KNeighborsClassifier,0.8021,0.8143,0.8021,0.8026,0.8611,0.8666,0.8611,0.8609,0.7833,0.7957,0.7833,0.78,0.927,smote,500,StandardScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,KNeighborsClassifier()
MLPClassifier,0.8056,0.8337,0.8056,0.8044,0.7986,0.8425,0.7986,0.8021,0.7833,0.793,0.7833,0.7779,0.9285,smote,500,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,MLPClassifier()
DecisionTreeClassifier,0.8412,0.8455,0.8412,0.8397,0.7812,0.7797,0.7812,0.7803,0.7667,0.7816,0.7667,0.77,0.9539,smote,500,StandardScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,DecisionTreeClassifier()
RandomForestClassifier,0.8229,0.8248,0.8229,0.8227,0.8576,0.8596,0.8576,0.8558,0.7667,0.7725,0.7667,0.7685,0.9503,smote,500,StandardScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,RandomForestClassifier()
SVC,0.8125,0.8497,0.8125,0.8128,0.8125,0.8436,0.8125,0.8119,0.7667,0.7947,0.7667,0.7669,0.9234,smote,500,StandardScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,SVC(probability=True)
DecisionTreeClassifier,0.7699,0.7729,0.7699,0.7692,0.8125,0.8121,0.8125,0.8119,0.7667,0.7731,0.7667,0.763,0.828,smote,500,no_scaled,"['storyPoints', 'polarity_mean', 'A']",10,DecisionTreeClassifier()
