Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Model
RandomForestClassifier,0.9718,0.9719,0.9718,0.9719,0.9758,0.9758,0.9758,0.9758,0.9667,0.9675,0.9667,0.9667,0.994,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,RandomForestClassifier()
KNeighborsClassifier,0.9567,0.9567,0.9567,0.9566,0.9638,0.9639,0.9638,0.9638,0.9333,0.937,0.9333,0.9341,0.99,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.9585,0.9586,0.9585,0.9585,0.9591,0.9591,0.9591,0.9591,0.9333,0.9346,0.9333,0.9328,0.969,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,DecisionTreeClassifier()
RandomForestClassifier,0.9799,0.98,0.9799,0.9799,0.9782,0.9785,0.9782,0.9783,0.9167,0.9174,0.9167,0.9166,0.9981,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,RandomForestClassifier()
DecisionTreeClassifier,0.9678,0.9678,0.9678,0.9678,0.9732,0.9732,0.9732,0.9732,0.9167,0.9214,0.9167,0.9165,0.9758,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,DecisionTreeClassifier()
RandomForestClassifier,0.839,0.8388,0.839,0.8388,0.8407,0.8403,0.8407,0.8404,0.8833,0.8874,0.8833,0.883,0.9534,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'A']",10,RandomForestClassifier()
KNeighborsClassifier,0.9622,0.9622,0.9622,0.9621,0.9655,0.9655,0.9655,0.9654,0.8833,0.8873,0.8833,0.8826,0.994,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,KNeighborsClassifier()
MLPClassifier,0.8669,0.8693,0.8669,0.8676,0.8715,0.8798,0.8715,0.8733,0.8667,0.8716,0.8667,0.8681,0.9623,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,MLPClassifier()
MLPClassifier,0.9245,0.9253,0.9245,0.9247,0.9296,0.9303,0.9296,0.9297,0.8667,0.8739,0.8667,0.8679,0.9861,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,MLPClassifier()
DecisionTreeClassifier,0.8091,0.8096,0.8091,0.8091,0.8004,0.8007,0.8004,0.8004,0.8667,0.869,0.8667,0.8674,0.862,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'A']",10,DecisionTreeClassifier()
KNeighborsClassifier,0.8365,0.8364,0.8365,0.8364,0.8346,0.8344,0.8346,0.8345,0.8667,0.8682,0.8667,0.867,0.9435,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'A']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.954,0.954,0.954,0.9539,0.9611,0.9612,0.9611,0.9611,0.8667,0.8681,0.8667,0.867,0.9654,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,DecisionTreeClassifier()
RandomForestClassifier,0.9726,0.9726,0.9726,0.9726,0.9765,0.9766,0.9765,0.9765,0.8667,0.8681,0.8667,0.867,0.9941,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,RandomForestClassifier()
RandomForestClassifier,0.8479,0.8499,0.8479,0.8475,0.8541,0.8561,0.8541,0.8538,0.8667,0.8702,0.8667,0.865,0.9615,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,RandomForestClassifier()
SVC,0.8522,0.8592,0.8522,0.8534,0.841,0.851,0.841,0.8425,0.85,0.85,0.85,0.85,0.9354,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,SVC(probability=True)
KNeighborsClassifier,0.959,0.9591,0.959,0.959,0.9668,0.9668,0.9668,0.9668,0.8333,0.8561,0.8333,0.833,0.9907,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,KNeighborsClassifier()
KNeighborsClassifier,0.8291,0.8366,0.8291,0.8293,0.8125,0.8288,0.8125,0.8147,0.8167,0.8234,0.8167,0.8178,0.9414,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.8484,0.8505,0.8484,0.8486,0.847,0.8492,0.847,0.8467,0.8167,0.8172,0.8167,0.8166,0.9612,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,DecisionTreeClassifier()
RandomForestClassifier,0.8514,0.8536,0.8514,0.8515,0.8564,0.8576,0.8564,0.8559,0.8167,0.8171,0.8167,0.8166,0.965,smote,5000,no_scaled,"['storyPoints', 'polarity', 'stress', 'A']",10,RandomForestClassifier()
SVC,0.8129,0.8473,0.8129,0.8139,0.8168,0.8532,0.8168,0.8189,0.7833,0.8169,0.7833,0.7859,0.925,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,SVC(probability=True)
