Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Model
LogisticRegression,0.654,0.6574,0.654,0.6518,0.6468,0.6483,0.6468,0.6447,0.6833,0.6944,0.6833,0.6817,0.828,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
SVC,0.818,0.8495,0.818,0.8189,0.8113,0.8465,0.8113,0.8117,0.6833,0.6971,0.6833,0.6801,0.9252,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,SVC(probability=True)
MLPClassifier,0.8457,0.8483,0.8457,0.8463,0.8327,0.8358,0.8327,0.8331,0.6833,0.6816,0.6833,0.6737,0.957,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,MLPClassifier()
LogisticRegression,0.7909,0.8057,0.7909,0.7926,0.7855,0.7993,0.7855,0.7882,0.6667,0.679,0.6667,0.6675,0.8969,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
SVC,0.6825,0.7181,0.6825,0.6877,0.6771,0.7181,0.6771,0.683,0.6667,0.6978,0.6667,0.6674,0.8139,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'A']",10,SVC(probability=True)
RandomForestClassifier,0.845,0.8476,0.845,0.8442,0.8417,0.845,0.8417,0.8417,0.6667,0.6603,0.6667,0.6578,0.9594,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'A']",10,RandomForestClassifier()
MLPClassifier,0.6883,0.7105,0.6883,0.6904,0.6745,0.6957,0.6745,0.6804,0.65,0.6882,0.65,0.6541,0.8677,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'A']",10,MLPClassifier()
SVC,0.6597,0.7198,0.6597,0.666,0.7013,0.7449,0.7013,0.7084,0.6333,0.6609,0.6333,0.6351,0.8349,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'A']",10,SVC(probability=True)
LogisticRegression,0.6481,0.6511,0.6481,0.6461,0.6463,0.6475,0.6463,0.642,0.6333,0.6389,0.6333,0.6294,0.8279,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
MLPClassifier,0.7015,0.715,0.7015,0.7027,0.6923,0.6877,0.6923,0.6856,0.6333,0.6244,0.6333,0.6254,0.882,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'A']",10,MLPClassifier()
