Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
RandomForestClassifier;0.9855;0.9855;0.9855;0.9855;0.9886;0.9886;0.9886;0.9886;0.9333;0.9444;0.9333;0.9346;smote;5000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 223};RandomForestClassifier(n_estimators=20, random_state=223)
RandomForestClassifier;0.9855;0.9855;0.9855;0.9855;0.9866;0.9866;0.9866;0.9866;0.9333;0.9444;0.9333;0.9341;smote;5000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 28};RandomForestClassifier(n_estimators=20, random_state=28)
RandomForestClassifier;0.985;0.985;0.985;0.985;0.9866;0.9866;0.9866;0.9866;0.9333;0.9444;0.9333;0.9341;smote;5000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 28};RandomForestClassifier(n_estimators=20, random_state=28)
RandomForestClassifier;0.9867;0.9867;0.9867;0.9867;0.9779;0.9779;0.9779;0.9779;0.9333;0.9399;0.9333;0.9331;smote;5000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 223};RandomForestClassifier(n_estimators=20, random_state=223)
RandomForestClassifier;0.9855;0.9855;0.9855;0.9855;0.988;0.988;0.988;0.9879;0.9333;0.9399;0.9333;0.9331;smote;5000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 28};RandomForestClassifier(n_estimators=20, random_state=28)
KNeighborsClassifier;0.9696;0.9698;0.9696;0.9695;0.988;0.988;0.988;0.9879;0.9167;0.9333;0.9167;0.9184;smote;5000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
KNeighborsClassifier;0.9684;0.9687;0.9684;0.9683;0.9853;0.9853;0.9853;0.9853;0.9167;0.9333;0.9167;0.9184;smote;5000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
RandomForestClassifier;0.9866;0.9866;0.9866;0.9866;0.9826;0.9826;0.9826;0.9826;0.9167;0.9333;0.9167;0.9184;smote;5000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 28};RandomForestClassifier(n_estimators=20, random_state=28)
KNeighborsClassifier;0.9691;0.9695;0.9691;0.9691;0.9826;0.9828;0.9826;0.9826;0.9167;0.9333;0.9167;0.9184;smote;5000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
KNeighborsClassifier;0.9695;0.9699;0.9695;0.9695;0.9839;0.984;0.9839;0.9839;0.9167;0.9333;0.9167;0.9184;smote;5000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
KNeighborsClassifier;0.9686;0.969;0.9686;0.9685;0.9846;0.9846;0.9846;0.9846;0.9167;0.9333;0.9167;0.9184;smote;5000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
KNeighborsClassifier;0.969;0.9693;0.969;0.9689;0.9826;0.9827;0.9826;0.9826;0.9167;0.9333;0.9167;0.9184;smote;5000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
KNeighborsClassifier;0.9682;0.9684;0.9682;0.9681;0.9819;0.982;0.9819;0.9819;0.9167;0.9333;0.9167;0.9184;smote;5000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
