;Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
0;SVC;0.8287;0.8349;0.8287;0.83;0.8194;0.8269;0.8194;0.8212;0.9333;0.9444;0.9333;0.9341;smote;500;MinMaxScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'C': 10, 'kernel': 'rbf', 'random_state': 611};SVC(C=10, random_state=611)
0;RandomForestClassifier;0.8804;0.8851;0.8804;0.8805;0.8681;0.8685;0.8681;0.8682;0.9167;0.9212;0.9167;0.9174;smote;500;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 133};RandomForestClassifier(n_estimators=10, random_state=133)
0;RandomForestClassifier;0.946;0.9475;0.946;0.9461;0.9931;0.9932;0.9931;0.9931;0.9167;0.9228;0.9167;0.9168;smote;500;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 300};RandomForestClassifier(n_estimators=20, random_state=300)
9;RandomForestClassifier;0.8604;0.8655;0.8604;0.8613;0.875;0.8791;0.875;0.8762;0.9167;0.9194;0.9167;0.9165;smote;500;MinMaxScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 315};RandomForestClassifier(n_estimators=20, random_state=315)
8;DecisionTreeClassifier;0.8588;0.8657;0.8588;0.8598;0.9236;0.927;0.9236;0.9232;0.9167;0.9195;0.9167;0.917;smote;500;MinMaxScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 10, 'random_state': 677};DecisionTreeClassifier(max_depth=10, min_samples_leaf=10, random_state=677)
7;DecisionTreeClassifier;0.8619;0.8686;0.8619;0.8631;0.8333;0.8487;0.8333;0.8347;0.9167;0.9195;0.9167;0.917;smote;500;MinMaxScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 20, 'random_state': 677};DecisionTreeClassifier(max_depth=10, min_samples_leaf=20, random_state=677)
6;DecisionTreeClassifier;0.868;0.8777;0.868;0.8692;0.8681;0.8716;0.8681;0.868;0.9167;0.9195;0.9167;0.917;smote;500;MinMaxScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 10, 'random_state': 275};DecisionTreeClassifier(max_depth=10, min_samples_leaf=10, random_state=275)
5;DecisionTreeClassifier;0.8666;0.8731;0.8666;0.8677;0.8889;0.8879;0.8889;0.8881;0.9167;0.9195;0.9167;0.917;smote;500;MinMaxScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 10, 'random_state': 275};DecisionTreeClassifier(max_depth=10, min_samples_leaf=10, random_state=275)
4;DecisionTreeClassifier;0.8542;0.8604;0.8542;0.855;0.8403;0.847;0.8403;0.8402;0.9167;0.9195;0.9167;0.917;smote;500;MinMaxScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 20, 'random_state': 520};DecisionTreeClassifier(max_depth=10, min_samples_leaf=20, random_state=520)
3;RandomForestClassifier;0.8665;0.8732;0.8665;0.8674;0.8889;0.8991;0.8889;0.8899;0.9167;0.9206;0.9167;0.9174;smote;500;MinMaxScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 5, 'random_state': 269};RandomForestClassifier(n_estimators=5, random_state=269)
1;RandomForestClassifier;0.8626;0.8665;0.8626;0.8631;0.8681;0.8715;0.8681;0.8693;0.9167;0.9245;0.9167;0.9181;smote;500;MinMaxScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 747};RandomForestClassifier(n_estimators=10, random_state=747)
1;RandomForestClassifier;0.882;0.8851;0.882;0.8822;0.875;0.8749;0.875;0.8748;0.9167;0.9212;0.9167;0.9174;smote;500;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 133};RandomForestClassifier(n_estimators=20, random_state=133)
2;RandomForestClassifier;0.8233;0.8264;0.8233;0.8237;0.7708;0.7801;0.7708;0.7738;0.9167;0.9194;0.9167;0.9165;smote;500;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 797};RandomForestClassifier(n_estimators=10, random_state=797)
1;RandomForestClassifier;0.8218;0.8273;0.8218;0.8231;0.8125;0.8229;0.8125;0.8149;0.9167;0.919;0.9167;0.9175;smote;500;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 797};RandomForestClassifier(n_estimators=20, random_state=797)
0;RandomForestClassifier;0.8202;0.8227;0.8202;0.8207;0.8542;0.8604;0.8542;0.8548;0.9167;0.9245;0.9167;0.9181;smote;500;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 378};RandomForestClassifier(n_estimators=20, random_state=378)
4;RandomForestClassifier;0.9476;0.9491;0.9476;0.9476;0.9306;0.9387;0.9306;0.9316;0.9167;0.9228;0.9167;0.9168;smote;500;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 300};RandomForestClassifier(n_estimators=20, random_state=300)
3;RandomForestClassifier;0.946;0.9489;0.946;0.9461;0.9514;0.9541;0.9514;0.9516;0.9167;0.9228;0.9167;0.9168;smote;500;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 300};RandomForestClassifier(n_estimators=10, random_state=300)
2;RandomForestClassifier;0.9514;0.9535;0.9514;0.9515;0.9583;0.9599;0.9583;0.9582;0.9167;0.9228;0.9167;0.9168;smote;500;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 300};RandomForestClassifier(n_estimators=20, random_state=300)
10;RandomForestClassifier;0.8704;0.8755;0.8704;0.8709;0.8472;0.859;0.8472;0.8497;0.9167;0.9194;0.9167;0.9165;smote;500;MinMaxScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 315};RandomForestClassifier(n_estimators=10, random_state=315)
2;RandomForestClassifier;0.8549;0.8611;0.8549;0.8554;0.8681;0.8703;0.8681;0.8679;0.9167;0.9245;0.9167;0.9181;smote;500;MinMaxScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 315};RandomForestClassifier(n_estimators=20, random_state=315)
1;RandomForestClassifier;0.9483;0.9494;0.9483;0.9484;0.9375;0.9418;0.9375;0.9383;0.9167;0.9228;0.9167;0.9168;smote;500;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 461};RandomForestClassifier(n_estimators=20, random_state=461)
2;RandomForestClassifier;0.8781;0.8807;0.8781;0.8785;0.9167;0.919;0.9167;0.917;0.9167;0.9228;0.9167;0.9168;smote;500;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 530};RandomForestClassifier(n_estimators=20, random_state=530)
3;RandomForestClassifier;0.8688;0.8727;0.8688;0.869;0.9444;0.9444;0.9444;0.9444;0.9167;0.9174;0.9167;0.9166;smote;500;MinMaxScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 919};RandomForestClassifier(n_estimators=20, random_state=919)
22;RandomForestClassifier;0.8581;0.8632;0.8581;0.8587;0.8542;0.8591;0.8542;0.8556;0.9;0.906;0.9;0.9005;smote;500;MinMaxScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 5, 'random_state': 747};RandomForestClassifier(n_estimators=5, random_state=747)
