;Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
1;MLPClassifier;0.9285;0.9299;0.9285;0.9288;0.9705;0.9708;0.9705;0.9706;0.9667;0.9697;0.9667;0.967;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 751, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=751)
14;RandomForestClassifier;0.9844;0.9845;0.9844;0.9844;0.9852;0.9853;0.9852;0.9852;0.9667;0.9675;0.9667;0.9667;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 89};RandomForestClassifier(n_estimators=20, random_state=89)
25;RandomForestClassifier;0.9849;0.985;0.9849;0.9849;0.9839;0.9839;0.9839;0.9839;0.9667;0.9675;0.9667;0.9667;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 539};RandomForestClassifier(n_estimators=20, random_state=539)
24;RandomForestClassifier;0.9841;0.9842;0.9841;0.9841;0.9832;0.9833;0.9832;0.9832;0.9667;0.9675;0.9667;0.9667;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 194};RandomForestClassifier(n_estimators=20, random_state=194)
23;RandomForestClassifier;0.9842;0.9842;0.9842;0.9842;0.9819;0.982;0.9819;0.9819;0.9667;0.9675;0.9667;0.9667;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 539};RandomForestClassifier(n_estimators=20, random_state=539)
22;RandomForestClassifier;0.9845;0.9845;0.9845;0.9845;0.9826;0.9827;0.9826;0.9826;0.9667;0.9675;0.9667;0.9667;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 539};RandomForestClassifier(n_estimators=20, random_state=539)
21;RandomForestClassifier;0.9841;0.9842;0.9841;0.9841;0.9866;0.9866;0.9866;0.9866;0.9667;0.9675;0.9667;0.9667;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 194};RandomForestClassifier(n_estimators=20, random_state=194)
20;RandomForestClassifier;0.9836;0.9836;0.9836;0.9836;0.9866;0.9866;0.9866;0.9866;0.9667;0.9675;0.9667;0.9667;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 89};RandomForestClassifier(n_estimators=20, random_state=89)
19;RandomForestClassifier;0.9855;0.9856;0.9855;0.9855;0.9785;0.9785;0.9785;0.9785;0.9667;0.9675;0.9667;0.9667;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 89};RandomForestClassifier(n_estimators=20, random_state=89)
18;RandomForestClassifier;0.9844;0.9844;0.9844;0.9844;0.9852;0.9853;0.9852;0.9852;0.9667;0.9675;0.9667;0.9667;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 194};RandomForestClassifier(n_estimators=20, random_state=194)
17;RandomForestClassifier;0.984;0.9841;0.984;0.984;0.9866;0.9866;0.9866;0.9866;0.9667;0.9675;0.9667;0.9667;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 194};RandomForestClassifier(n_estimators=20, random_state=194)
16;RandomForestClassifier;0.9847;0.9848;0.9847;0.9847;0.9846;0.9846;0.9846;0.9846;0.9667;0.9675;0.9667;0.9667;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 89};RandomForestClassifier(n_estimators=20, random_state=89)
15;RandomForestClassifier;0.9855;0.9856;0.9855;0.9855;0.9826;0.9827;0.9826;0.9825;0.9667;0.9675;0.9667;0.9667;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 194};RandomForestClassifier(n_estimators=20, random_state=194)
0;SVC;0.9116;0.9153;0.9116;0.9122;0.941;0.9447;0.941;0.9413;0.9667;0.9697;0.9667;0.967;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'C': 10, 'kernel': 'rbf', 'random_state': 731};SVC(C=10, random_state=731)
13;RandomForestClassifier;0.9842;0.9842;0.9842;0.9842;0.9859;0.9859;0.9859;0.9859;0.9667;0.9675;0.9667;0.9667;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 194};RandomForestClassifier(n_estimators=20, random_state=194)
6;SVC;0.9106;0.914;0.9106;0.9113;0.9369;0.941;0.9369;0.9374;0.9667;0.9697;0.9667;0.967;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'C': 10, 'kernel': 'rbf', 'random_state': 683};SVC(C=10, random_state=683)
12;RandomForestClassifier;0.9846;0.9846;0.9846;0.9846;0.9913;0.9913;0.9913;0.9913;0.9667;0.9675;0.9667;0.9667;smote;5000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 89};RandomForestClassifier(n_estimators=20, random_state=89)
