;Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
0;MLPClassifier;0.9516;0.9524;0.9516;0.9517;0.9685;0.9686;0.9685;0.9685;0.9667;0.9667;0.9667;0.9667;smote;3000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 378, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=378)
0;RandomForestClassifier;0.9758;0.9759;0.9758;0.9758;0.9764;0.9765;0.9764;0.9764;0.95;0.9522;0.95;0.9499;smote;3000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 645};RandomForestClassifier(n_estimators=20, random_state=645)
1;RandomForestClassifier;0.9752;0.9753;0.9752;0.9752;0.9742;0.9743;0.9742;0.9742;0.95;0.9522;0.95;0.9499;smote;3000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 497};RandomForestClassifier(n_estimators=20, random_state=497)
6;MLPClassifier;0.951;0.9515;0.951;0.9511;0.9573;0.9582;0.9573;0.9574;0.95;0.9516;0.95;0.9504;smote;3000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 378, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=378)
7;MLPClassifier;0.9503;0.9511;0.9503;0.9505;0.9674;0.9676;0.9674;0.9674;0.95;0.9499;0.95;0.9496;smote;3000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 378, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=378)
3;MLPClassifier;0.9529;0.9534;0.9529;0.953;0.9641;0.9643;0.9641;0.9641;0.95;0.9516;0.95;0.9504;smote;3000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 263, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=263)
2;MLPClassifier;0.9523;0.9526;0.9523;0.9524;0.9629;0.963;0.9629;0.9629;0.95;0.9516;0.95;0.9504;smote;3000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 470, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=470)
1;MLPClassifier;0.952;0.9526;0.952;0.9521;0.9685;0.969;0.9685;0.9686;0.95;0.9516;0.95;0.9504;smote;3000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 470, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=470)
4;MLPClassifier;0.9536;0.954;0.9536;0.9537;0.954;0.954;0.954;0.954;0.95;0.9516;0.95;0.9504;smote;3000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 263, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=263)
5;MLPClassifier;0.9527;0.9533;0.9527;0.9528;0.9573;0.9578;0.9573;0.9573;0.95;0.9516;0.95;0.9504;smote;3000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 470, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=470)
6;RandomForestClassifier;0.9865;0.9866;0.9865;0.9865;0.9877;0.988;0.9877;0.9877;0.9333;0.9349;0.9333;0.9337;smote;3000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 265};RandomForestClassifier(n_estimators=20, random_state=265)
25;MLPClassifier;0.9522;0.9529;0.9522;0.9523;0.9742;0.9742;0.9742;0.9742;0.9333;0.9333;0.9333;0.9333;smote;3000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 263, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=263)
27;MLPClassifier;0.9516;0.9522;0.9516;0.9517;0.9663;0.9663;0.9663;0.9663;0.9333;0.9333;0.9333;0.9333;smote;3000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 470, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=470)
28;MLPClassifier;0.949;0.9495;0.949;0.9491;0.9753;0.9754;0.9753;0.9753;0.9333;0.9333;0.9333;0.9333;smote;3000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 470, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=470)
29;MLPClassifier;0.9491;0.9496;0.9491;0.9492;0.964;0.964;0.964;0.964;0.9333;0.9333;0.9333;0.9333;smote;3000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 263, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=263)
30;RandomForestClassifier;0.9758;0.9759;0.9758;0.9758;0.9708;0.9709;0.9708;0.9708;0.9333;0.934;0.9333;0.9333;smote;3000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 578};RandomForestClassifier(n_estimators=20, random_state=578)
1;RandomForestClassifier;0.986;0.9861;0.986;0.986;0.9911;0.9911;0.9911;0.9911;0.9333;0.9349;0.9333;0.9337;smote;3000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 265};RandomForestClassifier(n_estimators=20, random_state=265)
2;RandomForestClassifier;0.9852;0.9853;0.9852;0.9852;0.9888;0.9889;0.9888;0.9888;0.9333;0.9349;0.9333;0.9337;smote;3000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 405};RandomForestClassifier(n_estimators=20, random_state=405)
3;RandomForestClassifier;0.9856;0.9857;0.9856;0.9856;0.9911;0.9911;0.9911;0.9911;0.9333;0.9349;0.9333;0.9337;smote;3000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 405};RandomForestClassifier(n_estimators=20, random_state=405)
7;RandomForestClassifier;0.9856;0.9857;0.9856;0.9856;0.9855;0.9857;0.9855;0.9855;0.9333;0.9349;0.9333;0.9337;smote;3000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 508};RandomForestClassifier(n_estimators=20, random_state=508)
4;RandomForestClassifier;0.9865;0.9865;0.9865;0.9865;0.9843;0.9845;0.9843;0.9844;0.9333;0.9349;0.9333;0.9337;smote;3000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 405};RandomForestClassifier(n_estimators=20, random_state=405)
5;RandomForestClassifier;0.9861;0.9862;0.9861;0.9861;0.9709;0.9717;0.9709;0.971;0.9333;0.9349;0.9333;0.9337;smote;3000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 265};RandomForestClassifier(n_estimators=20, random_state=265)
2;RandomForestClassifier;0.9758;0.9759;0.9758;0.9758;0.9697;0.9697;0.9697;0.9697;0.9333;0.939;0.9333;0.9336;smote;3000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 645};RandomForestClassifier(n_estimators=20, random_state=645)
3;RandomForestClassifier;0.9755;0.9757;0.9755;0.9755;0.973;0.9733;0.973;0.9731;0.9333;0.938;0.9333;0.9331;smote;3000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 497};RandomForestClassifier(n_estimators=20, random_state=497)
4;RandomForestClassifier;0.9742;0.9744;0.9742;0.9742;0.9809;0.981;0.9809;0.9809;0.9333;0.938;0.9333;0.9331;smote;3000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 497};RandomForestClassifier(n_estimators=20, random_state=497)
5;RandomForestClassifier;0.9753;0.9754;0.9753;0.9753;0.9652;0.9652;0.9652;0.9651;0.9333;0.938;0.9333;0.9331;smote;3000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 865};RandomForestClassifier(n_estimators=20, random_state=865)
6;DecisionTreeClassifier;0.9591;0.9593;0.9591;0.9591;0.9236;0.9234;0.9236;0.9235;0.9333;0.938;0.9333;0.9331;smote;3000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 923};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=923)
26;MLPClassifier;0.9535;0.9539;0.9535;0.9535;0.9618;0.9628;0.9618;0.9619;0.9333;0.9333;0.9333;0.9333;smote;3000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 263, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=263)
24;MLPClassifier;0.9536;0.954;0.9536;0.9537;0.963;0.9631;0.963;0.9629;0.9333;0.9333;0.9333;0.9333;smote;3000;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 263, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=263)
8;MLPClassifier;0.9091;0.9112;0.9091;0.9096;0.954;0.9547;0.954;0.9541;0.9333;0.938;0.9333;0.9331;smote;3000;MinMaxScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 957, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=957)
