Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
RandomForestClassifier;0.8883;0.8907;0.8883;0.8886;0.8809;0.8818;0.8809;0.8812;0.8;0.8042;0.8;0.7992;smote;3000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 395};RandomForestClassifier(n_estimators=10, random_state=395)
SVC;0.8591;0.8654;0.8591;0.8603;0.8764;0.8891;0.8764;0.8769;0.8;0.8107;0.8;0.7979;smote;3000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'C': 10, 'kernel': 'rbf', 'random_state': 666};SVC(C=10, random_state=666)
SVC;0.8577;0.8646;0.8577;0.8588;0.8765;0.8815;0.8765;0.8772;0.7833;0.7903;0.7833;0.7816;smote;3000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'C': 10, 'kernel': 'rbf', 'random_state': 666};SVC(C=10, random_state=666)
SVC;0.8567;0.8633;0.8567;0.8578;0.8955;0.9033;0.8955;0.896;0.7833;0.7903;0.7833;0.7816;smote;3000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'C': 10, 'kernel': 'rbf', 'random_state': 666};SVC(C=10, random_state=666)
SVC;0.8577;0.8653;0.8577;0.8591;0.8809;0.8901;0.8809;0.881;0.7833;0.7884;0.7833;0.7815;smote;3000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'C': 10, 'kernel': 'rbf', 'random_state': 486};SVC(C=10, random_state=486)
RandomForestClassifier;0.8844;0.8859;0.8844;0.8847;0.8866;0.8878;0.8866;0.8869;0.7667;0.7716;0.7667;0.7668;smote;3000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 768};RandomForestClassifier(n_estimators=20, random_state=768)
RandomForestClassifier;0.8879;0.8905;0.8879;0.8883;0.8876;0.8889;0.8876;0.8877;0.7667;0.7687;0.7667;0.7668;smote;3000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 768};RandomForestClassifier(n_estimators=20, random_state=768)
SVC;0.8583;0.8657;0.8583;0.8596;0.8777;0.8853;0.8777;0.8779;0.7667;0.7764;0.7667;0.7665;smote;3000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'C': 10, 'kernel': 'rbf', 'random_state': 18};SVC(C=10, random_state=18)
MLPClassifier;0.8864;0.8891;0.8864;0.8867;0.8865;0.8865;0.8865;0.8864;0.7667;0.7663;0.7667;0.7662;smote;3000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 149, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=149)
MLPClassifier;0.8827;0.886;0.8827;0.8829;0.8753;0.878;0.8753;0.8761;0.7667;0.7663;0.7667;0.7662;smote;3000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 149, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=149)
MLPClassifier;0.8841;0.8858;0.8841;0.8842;0.8831;0.8849;0.8831;0.8835;0.7667;0.7663;0.7667;0.7662;smote;3000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 980, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=980)
