Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
RandomForestClassifier;0.8265;0.8323;0.8265;0.827;0.8542;0.8748;0.8542;0.8575;0.8167;0.8153;0.8167;0.8137;smote;500;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 901};RandomForestClassifier(n_estimators=10, random_state=901)
MLPClassifier;0.821;0.8282;0.821;0.8217;0.7847;0.7887;0.7847;0.786;0.8167;0.8469;0.8167;0.813;smote;500;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 916, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=916)
RandomForestClassifier;0.8272;0.8355;0.8272;0.8279;0.8125;0.8361;0.8125;0.8165;0.8;0.8143;0.8;0.7951;smote;500;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 901};RandomForestClassifier(n_estimators=10, random_state=901)
MLPClassifier;0.8187;0.8259;0.8187;0.8193;0.8472;0.8563;0.8472;0.8476;0.7833;0.8006;0.7833;0.7846;smote;500;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 719, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=719)
RandomForestClassifier;0.8178;0.8243;0.8178;0.8192;0.8264;0.8263;0.8264;0.8249;0.7833;0.7992;0.7833;0.7833;smote;500;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 5, 'random_state': 980};RandomForestClassifier(n_estimators=5, random_state=980)
MLPClassifier;0.8163;0.8258;0.8163;0.8172;0.8125;0.8109;0.8125;0.8108;0.7833;0.8158;0.7833;0.7833;smote;500;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 407, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=407)
MLPClassifier;0.8217;0.8308;0.8217;0.8223;0.8194;0.8315;0.8194;0.8222;0.7833;0.8179;0.7833;0.7821;smote;500;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 719, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=719)
RandomForestClassifier;0.8403;0.8487;0.8403;0.8419;0.8125;0.8189;0.8125;0.8138;0.7833;0.7843;0.7833;0.7815;smote;500;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 561};RandomForestClassifier(n_estimators=10, random_state=561)
KNeighborsClassifier;0.787;0.7925;0.787;0.7865;0.9028;0.9094;0.9028;0.9037;0.7833;0.7884;0.7833;0.7815;smote;500;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 9, 'weights': 'uniform'};KNeighborsClassifier(n_neighbors=9)
KNeighborsClassifier;0.794;0.8007;0.794;0.7947;0.8542;0.8681;0.8542;0.8562;0.7833;0.7935;0.7833;0.7814;smote;500;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 15, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=15, weights='distance')
KNeighborsClassifier;0.787;0.7966;0.787;0.7878;0.7986;0.8183;0.7986;0.8035;0.7833;0.7935;0.7833;0.7814;smote;500;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 13, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=13, weights='distance')
MLPClassifier;0.8179;0.8229;0.8179;0.818;0.8472;0.8516;0.8472;0.8486;0.7833;0.8225;0.7833;0.7803;smote;500;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 916, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=916)
KNeighborsClassifier;0.8055;0.808;0.8055;0.8049;0.7361;0.7495;0.7361;0.7405;0.7667;0.7927;0.7667;0.7684;smote;500;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 9, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=9, weights='distance')
MLPClassifier;0.8133;0.8213;0.8133;0.814;0.8681;0.8699;0.8681;0.8686;0.7667;0.8013;0.7667;0.7683;smote;500;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 719, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=719)
MLPClassifier;0.8294;0.8369;0.8294;0.83;0.7847;0.7936;0.7847;0.7869;0.7667;0.7848;0.7667;0.7683;smote;500;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 719, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=719)
MLPClassifier;0.8171;0.8264;0.8171;0.8178;0.8403;0.85;0.8403;0.8395;0.7667;0.7848;0.7667;0.7683;smote;500;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 916, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=916)
KNeighborsClassifier;0.8032;0.809;0.8032;0.8035;0.7986;0.8051;0.7986;0.8004;0.7667;0.7717;0.7667;0.7679;smote;500;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 15, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=15, weights='distance')
KNeighborsClassifier;0.8118;0.8188;0.8118;0.8122;0.75;0.7787;0.75;0.755;0.7667;0.7875;0.7667;0.7675;smote;500;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 11, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=11, weights='distance')
KNeighborsClassifier;0.794;0.8027;0.794;0.7947;0.7917;0.796;0.7917;0.7912;0.7667;0.7893;0.7667;0.7672;smote;500;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 11, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=11, weights='distance')
KNeighborsClassifier;0.804;0.8088;0.804;0.804;0.8333;0.8429;0.8333;0.8359;0.7667;0.7679;0.7667;0.767;smote;500;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 13, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=13, weights='distance')
RandomForestClassifier;0.8287;0.8354;0.8287;0.83;0.8403;0.8435;0.8403;0.8415;0.7667;0.7779;0.7667;0.7668;smote;500;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 980};RandomForestClassifier(n_estimators=10, random_state=980)
KNeighborsClassifier;0.7978;0.8079;0.7978;0.7962;0.7639;0.7655;0.7639;0.7625;0.7667;0.781;0.7667;0.7665;smote;500;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=7, weights='distance')
KNeighborsClassifier;0.8009;0.8099;0.8009;0.8008;0.8333;0.839;0.8333;0.8336;0.7667;0.781;0.7667;0.7665;smote;500;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 15, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=15, weights='distance')
MLPClassifier;0.8132;0.8202;0.8132;0.8136;0.8403;0.8467;0.8403;0.8419;0.7667;0.7881;0.7667;0.7664;smote;500;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 719, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=719)
MLPClassifier;0.8234;0.8298;0.8234;0.8241;0.7986;0.7992;0.7986;0.7987;0.7667;0.7881;0.7667;0.7664;smote;500;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 916, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=916)
RandomForestClassifier;0.8287;0.8338;0.8287;0.8293;0.7986;0.8024;0.7986;0.7999;0.7667;0.7749;0.7667;0.765;smote;500;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 5, 'random_state': 901};RandomForestClassifier(n_estimators=5, random_state=901)
RandomForestClassifier;0.828;0.8352;0.828;0.8294;0.7917;0.7969;0.7917;0.7931;0.7667;0.777;0.7667;0.7648;smote;500;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 561};RandomForestClassifier(n_estimators=10, random_state=561)
