Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
RandomForestClassifier;0.8541;0.8551;0.8541;0.8542;0.8596;0.8591;0.8596;0.8593;0.75;0.7512;0.75;0.7497;smote;3000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 5, 'random_state': 796};RandomForestClassifier(n_estimators=5, random_state=796)
RandomForestClassifier;0.8618;0.8645;0.8618;0.8625;0.8326;0.8352;0.8326;0.8332;0.75;0.7487;0.75;0.7484;smote;3000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 796};RandomForestClassifier(n_estimators=20, random_state=796)
RandomForestClassifier;0.8576;0.8599;0.8576;0.8581;0.8575;0.8568;0.8575;0.857;0.7333;0.7429;0.7333;0.7362;smote;3000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 665};RandomForestClassifier(n_estimators=10, random_state=665)
MLPClassifier;0.8521;0.854;0.8521;0.8525;0.8541;0.8589;0.8541;0.8552;0.7333;0.7407;0.7333;0.7337;smote;3000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 247, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=247)
MLPClassifier;0.8535;0.855;0.8535;0.8536;0.8629;0.8646;0.8629;0.8635;0.7333;0.7407;0.7333;0.7337;smote;3000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 669, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=669)
MLPClassifier;0.8523;0.8539;0.8523;0.8526;0.8462;0.849;0.8462;0.847;0.7333;0.7407;0.7333;0.7337;smote;3000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 247, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=247)
MLPClassifier;0.8499;0.8507;0.8499;0.8501;0.8551;0.855;0.8551;0.8547;0.7333;0.7377;0.7333;0.7334;smote;3000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 247, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=247)
RandomForestClassifier;0.8579;0.8589;0.8579;0.8581;0.8461;0.8466;0.8461;0.8462;0.7333;0.7337;0.7333;0.7326;smote;3000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 796};RandomForestClassifier(n_estimators=10, random_state=796)
MLPClassifier;0.8499;0.8513;0.8499;0.8502;0.8674;0.8672;0.8674;0.8673;0.7333;0.7382;0.7333;0.7321;smote;3000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 153, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=153)
MLPClassifier;0.8522;0.8533;0.8522;0.8524;0.8631;0.8669;0.8631;0.8642;0.7333;0.7382;0.7333;0.7321;smote;3000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 153, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=153)
MLPClassifier;0.8532;0.8546;0.8532;0.8535;0.8551;0.8571;0.8551;0.8555;0.7333;0.7382;0.7333;0.7321;smote;3000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 153, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=153)
MLPClassifier;0.8477;0.8486;0.8477;0.8478;0.8652;0.8658;0.8652;0.8654;0.7333;0.7382;0.7333;0.7321;smote;3000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 153, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=153)
MLPClassifier;0.8522;0.8543;0.8522;0.8526;0.8506;0.8502;0.8506;0.8501;0.7333;0.7382;0.7333;0.7321;smote;3000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 153, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=153)
MLPClassifier;0.8518;0.8532;0.8518;0.8521;0.844;0.8451;0.844;0.844;0.7333;0.7382;0.7333;0.7321;smote;3000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 153, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=153)
MLPClassifier;0.8547;0.8562;0.8547;0.855;0.8427;0.8447;0.8427;0.8428;0.7333;0.7382;0.7333;0.7321;smote;3000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 669, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=669)
RandomForestClassifier;0.856;0.8579;0.856;0.8563;0.8597;0.8606;0.8597;0.86;0.7333;0.7313;0.7333;0.7312;smote;3000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 665};RandomForestClassifier(n_estimators=10, random_state=665)
RandomForestClassifier;0.8587;0.8611;0.8587;0.8593;0.8629;0.8646;0.8629;0.8635;0.7333;0.7325;0.7333;0.7293;smote;3000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 215};RandomForestClassifier(n_estimators=10, random_state=215)
RandomForestClassifier;0.8559;0.8577;0.8559;0.8563;0.8573;0.8582;0.8573;0.8575;0.7333;0.7365;0.7333;0.7284;smote;3000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 665};RandomForestClassifier(n_estimators=20, random_state=665)
RandomForestClassifier;0.853;0.8544;0.853;0.8533;0.8663;0.8654;0.8663;0.8651;0.7333;0.7309;0.7333;0.7282;smote;3000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 665};RandomForestClassifier(n_estimators=20, random_state=665)
RandomForestClassifier;0.8545;0.8558;0.8545;0.8546;0.8732;0.8741;0.8732;0.8732;0.7167;0.7186;0.7167;0.7174;smote;3000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 215};RandomForestClassifier(n_estimators=10, random_state=215)
SVC;0.8359;0.8408;0.8359;0.8365;0.8451;0.8607;0.8451;0.8468;0.7167;0.7213;0.7167;0.717;smote;3000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'C': 10, 'kernel': 'rbf', 'random_state': 211};SVC(C=10, random_state=211)
MLPClassifier;0.8524;0.8548;0.8524;0.8529;0.8618;0.8662;0.8618;0.8629;0.7167;0.7213;0.7167;0.717;smote;3000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 247, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=247)
SVC;0.8353;0.8403;0.8353;0.836;0.8427;0.8556;0.8427;0.8443;0.7167;0.7213;0.7167;0.717;smote;3000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'C': 10, 'kernel': 'rbf', 'random_state': 859};SVC(C=10, random_state=859)
SVC;0.8362;0.841;0.8362;0.8368;0.8496;0.8607;0.8496;0.8512;0.7167;0.717;0.7167;0.7165;smote;3000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'C': 10, 'kernel': 'rbf', 'random_state': 211};SVC(C=10, random_state=211)
SVC;0.8349;0.8403;0.8349;0.8353;0.8765;0.8838;0.8765;0.8776;0.7167;0.717;0.7167;0.7165;smote;3000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'C': 10, 'kernel': 'rbf', 'random_state': 808};SVC(C=10, random_state=808)
MLPClassifier;0.8522;0.8537;0.8522;0.8526;0.8608;0.8619;0.8608;0.861;0.7167;0.7264;0.7167;0.7164;smote;3000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 153, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=153)
MLPClassifier;0.852;0.8527;0.852;0.8521;0.8517;0.8537;0.8517;0.8521;0.7167;0.7264;0.7167;0.7164;smote;3000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 153, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=153)
MLPClassifier;0.8506;0.853;0.8506;0.8512;0.8551;0.857;0.8551;0.8556;0.7167;0.7264;0.7167;0.7164;smote;3000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 247, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=247)
MLPClassifier;0.851;0.8528;0.851;0.8513;0.8337;0.8335;0.8337;0.8336;0.7167;0.7264;0.7167;0.7164;smote;3000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 247, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=247)
MLPClassifier;0.8584;0.8603;0.8584;0.8589;0.8281;0.8292;0.8281;0.8281;0.7167;0.7264;0.7167;0.7164;smote;3000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 153, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=153)
MLPClassifier;0.8532;0.8546;0.8532;0.8535;0.8506;0.8526;0.8506;0.851;0.7167;0.7264;0.7167;0.7164;smote;3000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 669, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=669)
MLPClassifier;0.8549;0.8568;0.8549;0.8552;0.8393;0.8395;0.8393;0.8393;0.7167;0.7264;0.7167;0.7164;smote;3000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 669, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=669)
MLPClassifier;0.8555;0.8571;0.8555;0.8558;0.8348;0.8372;0.8348;0.8353;0.7167;0.7222;0.7167;0.7161;smote;3000;StandardScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 153, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=153)
