Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
RandomForestClassifier;0.9211;0.9218;0.9211;0.9213;0.9208;0.9218;0.9208;0.9211;0.8167;0.8243;0.8167;0.8182;smote;5000;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 893};RandomForestClassifier(n_estimators=20, random_state=893)
MLPClassifier;0.9045;0.9058;0.9045;0.9049;0.9027;0.9042;0.9027;0.9033;0.8167;0.8189;0.8167;0.8174;smote;5000;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 65, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=65)
RandomForestClassifier;0.9214;0.9221;0.9214;0.9216;0.9228;0.9228;0.9228;0.9228;0.8167;0.8238;0.8167;0.8172;smote;5000;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 730};RandomForestClassifier(n_estimators=10, random_state=730)
RandomForestClassifier;0.9228;0.9235;0.9228;0.923;0.9202;0.9204;0.9202;0.9202;0.8167;0.818;0.8167;0.817;smote;5000;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 893};RandomForestClassifier(n_estimators=20, random_state=893)
MLPClassifier;0.9026;0.9038;0.9026;0.903;0.9074;0.9095;0.9074;0.9079;0.8167;0.819;0.8167;0.8168;smote;5000;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 65, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=65)
MLPClassifier;0.9012;0.9027;0.9012;0.9017;0.9174;0.9205;0.9174;0.9181;0.8167;0.819;0.8167;0.8168;smote;5000;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 572, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=572)
RandomForestClassifier;0.9221;0.9228;0.9221;0.9223;0.9121;0.9138;0.9121;0.9125;0.8167;0.819;0.8167;0.8168;smote;5000;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 893};RandomForestClassifier(n_estimators=10, random_state=893)
RandomForestClassifier;0.921;0.9216;0.921;0.9212;0.9248;0.926;0.9248;0.9251;0.8;0.8054;0.8;0.8013;smote;5000;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 730};RandomForestClassifier(n_estimators=20, random_state=730)
RandomForestClassifier;0.9205;0.9213;0.9205;0.9207;0.9242;0.9254;0.9242;0.9244;0.8;0.8042;0.8;0.801;smote;5000;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 840};RandomForestClassifier(n_estimators=10, random_state=840)
RandomForestClassifier;0.9204;0.9213;0.9204;0.9206;0.9202;0.9218;0.9202;0.9207;0.8;0.8038;0.8;0.801;smote;5000;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 893};RandomForestClassifier(n_estimators=20, random_state=893)
DecisionTreeClassifier;0.9055;0.9055;0.9055;0.9054;0.89;0.8938;0.89;0.8908;0.8;0.8038;0.8;0.801;smote;5000;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 268};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=268)
DecisionTreeClassifier;0.9076;0.9079;0.9076;0.9077;0.8819;0.888;0.8819;0.8827;0.8;0.8038;0.8;0.801;smote;5000;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 268};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=268)
DecisionTreeClassifier;0.9036;0.9037;0.9036;0.9036;0.8873;0.8943;0.8873;0.8884;0.8;0.8038;0.8;0.801;smote;5000;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 95};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=95)
MLPClassifier;0.9006;0.9026;0.9006;0.9011;0.9195;0.9195;0.9195;0.9195;0.8;0.8022;0.8;0.8008;smote;5000;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 65, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=65)
MLPClassifier;0.9016;0.903;0.9016;0.902;0.9;0.9008;0.9;0.9003;0.8;0.8022;0.8;0.8008;smote;5000;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 65, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=65)
MLPClassifier;0.8985;0.8998;0.8985;0.8988;0.9121;0.9142;0.9121;0.9126;0.8;0.8022;0.8;0.8008;smote;5000;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 65, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=65)
