Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
MLPClassifier;0.8887;0.8904;0.8887;0.8889;0.8852;0.8879;0.8852;0.8855;0.8333;0.8333;0.8333;0.8333;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 451, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=451)
RandomForestClassifier;0.8906;0.8919;0.8906;0.8907;0.8973;0.8982;0.8973;0.8976;0.8167;0.8201;0.8167;0.8173;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 5, 'random_state': 665};RandomForestClassifier(n_estimators=5, random_state=665)
RandomForestClassifier;0.8939;0.8948;0.8939;0.8941;0.8792;0.8817;0.8792;0.8792;0.8167;0.8181;0.8167;0.817;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 5, 'random_state': 714};RandomForestClassifier(n_estimators=5, random_state=714)
RandomForestClassifier;0.894;0.8947;0.894;0.8941;0.8792;0.8797;0.8792;0.8793;0.8167;0.8167;0.8167;0.8167;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 665};RandomForestClassifier(n_estimators=20, random_state=665)
SVC;0.8609;0.8688;0.8609;0.8623;0.8839;0.8881;0.8839;0.8842;0.8167;0.8184;0.8167;0.8153;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'C': 10, 'kernel': 'rbf', 'random_state': 250};SVC(C=10, random_state=250)
SVC;0.8611;0.8689;0.8611;0.8625;0.8766;0.8818;0.8766;0.8764;0.8167;0.8184;0.8167;0.8153;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'C': 10, 'kernel': 'rbf', 'random_state': 1000};SVC(C=10, random_state=1000)
SVC;0.86;0.8677;0.86;0.8615;0.8873;0.8924;0.8873;0.8874;0.8167;0.8178;0.8167;0.8148;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'C': 10, 'kernel': 'rbf', 'random_state': 1000};SVC(C=10, random_state=1000)
RandomForestClassifier;0.8904;0.8917;0.8904;0.8906;0.9034;0.9036;0.9034;0.9035;0.8;0.813;0.8;0.8023;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 714};RandomForestClassifier(n_estimators=10, random_state=714)
RandomForestClassifier;0.8914;0.8923;0.8914;0.8915;0.9034;0.9031;0.9034;0.9032;0.8;0.8058;0.8;0.8007;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 665};RandomForestClassifier(n_estimators=10, random_state=665)
MLPClassifier;0.8879;0.8902;0.8879;0.888;0.8793;0.8794;0.8793;0.8793;0.8;0.8035;0.8;0.8005;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 451, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=451)
MLPClassifier;0.8882;0.8903;0.8882;0.8883;0.8832;0.8854;0.8832;0.8835;0.8;0.8;0.8;0.8;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 451, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=451)
RandomForestClassifier;0.8926;0.8941;0.8926;0.8928;0.8946;0.8943;0.8946;0.8944;0.8;0.8;0.8;0.8;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 797};RandomForestClassifier(n_estimators=20, random_state=797)
MLPClassifier;0.8892;0.8914;0.8892;0.8894;0.8913;0.8921;0.8913;0.8914;0.8;0.8;0.8;0.8;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 465, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=465)
MLPClassifier;0.89;0.8924;0.89;0.8901;0.8826;0.8838;0.8826;0.8829;0.8;0.8;0.8;0.8;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 583, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=583)
MLPClassifier;0.888;0.8891;0.888;0.8881;0.8826;0.8823;0.8826;0.8824;0.8;0.8;0.8;0.8;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 583, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=583)
RandomForestClassifier;0.8937;0.8947;0.8937;0.8938;0.8799;0.8807;0.8799;0.8802;0.8;0.8005;0.8;0.7999;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 797};RandomForestClassifier(n_estimators=20, random_state=797)
RandomForestClassifier;0.8917;0.8929;0.8917;0.8919;0.8906;0.8928;0.8906;0.8909;0.8;0.8005;0.8;0.7999;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 797};RandomForestClassifier(n_estimators=20, random_state=797)
RandomForestClassifier;0.8917;0.8926;0.8917;0.8918;0.8927;0.8947;0.8927;0.8932;0.8;0.8016;0.8;0.7997;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 714};RandomForestClassifier(n_estimators=20, random_state=714)
DecisionTreeClassifier;0.8923;0.8934;0.8923;0.8925;0.8946;0.895;0.8946;0.8947;0.8;0.802;0.8;0.7997;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 607};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=607)
DecisionTreeClassifier;0.8905;0.8916;0.8905;0.8907;0.9081;0.9083;0.9081;0.9081;0.8;0.802;0.8;0.7997;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 607};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=607)
RandomForestClassifier;0.8902;0.8911;0.8902;0.8903;0.8987;0.9022;0.8987;0.8992;0.8;0.8108;0.8;0.7996;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 797};RandomForestClassifier(n_estimators=10, random_state=797)
DecisionTreeClassifier;0.8928;0.8938;0.8928;0.893;0.8866;0.8871;0.8866;0.8867;0.8;0.7997;0.8;0.7995;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 93};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=93)
MLPClassifier;0.8842;0.8871;0.8842;0.8842;0.8926;0.8972;0.8926;0.8929;0.8;0.7997;0.8;0.7995;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 465, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=465)
DecisionTreeClassifier;0.8927;0.8935;0.8927;0.8928;0.888;0.8896;0.888;0.8884;0.8;0.7997;0.8;0.7995;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 352};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=352)
SVC;0.8621;0.8697;0.8621;0.8635;0.8812;0.887;0.8812;0.8814;0.8;0.8002;0.8;0.7988;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'C': 10, 'kernel': 'rbf', 'random_state': 131};SVC(C=10, random_state=131)
SVC;0.8593;0.8676;0.8593;0.8608;0.8981;0.9017;0.8981;0.8982;0.8;0.8002;0.8;0.7988;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'C': 10, 'kernel': 'rbf', 'random_state': 131};SVC(C=10, random_state=131)
SVC;0.8623;0.8695;0.8623;0.8637;0.8732;0.88;0.8732;0.8735;0.8;0.8002;0.8;0.7988;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'C': 10, 'kernel': 'rbf', 'random_state': 131};SVC(C=10, random_state=131)
SVC;0.8598;0.868;0.8598;0.8613;0.8993;0.9038;0.8993;0.8998;0.8;0.8002;0.8;0.7988;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'C': 10, 'kernel': 'rbf', 'random_state': 1000};SVC(C=10, random_state=1000)
MLPClassifier;0.8892;0.8913;0.8892;0.8894;0.894;0.8978;0.894;0.8943;0.8;0.8002;0.8;0.7988;smote;5000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 465, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=465)
