Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
MLPClassifier;0.9066;0.9088;0.9066;0.9068;0.9514;0.9531;0.9514;0.9514;0.8833;0.8875;0.8833;0.884;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 309, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=309)
MLPClassifier;0.8966;0.8988;0.8966;0.8966;0.9792;0.9793;0.9792;0.9792;0.8667;0.8692;0.8667;0.8669;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 309, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=309)
MLPClassifier;0.8997;0.9031;0.8997;0.8998;0.9514;0.9516;0.9514;0.951;0.8667;0.8722;0.8667;0.8667;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 309, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=309)
MLPClassifier;0.895;0.897;0.895;0.8951;0.9444;0.9459;0.9444;0.9447;0.8667;0.8677;0.8667;0.8661;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 696, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=696)
MLPClassifier;0.8981;0.8994;0.8981;0.8982;0.9653;0.9661;0.9653;0.9654;0.85;0.8514;0.85;0.8504;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 696, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=696)
MLPClassifier;0.8958;0.8985;0.8958;0.8961;0.9306;0.9312;0.9306;0.9304;0.85;0.8514;0.85;0.8504;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 309, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=309)
MLPClassifier;0.9051;0.9073;0.9051;0.9052;0.9444;0.9458;0.9444;0.9442;0.85;0.8514;0.85;0.8504;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 696, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=696)
MLPClassifier;0.8927;0.895;0.8927;0.8927;0.9653;0.9661;0.9653;0.9652;0.85;0.8563;0.85;0.8504;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 309, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=309)
MLPClassifier;0.8989;0.9016;0.8989;0.8991;0.9722;0.9734;0.9722;0.9722;0.85;0.85;0.85;0.85;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 696, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=696)
DecisionTreeClassifier;0.9159;0.9184;0.9159;0.9157;0.9306;0.9301;0.9306;0.9299;0.85;0.85;0.85;0.85;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 844};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=844)
MLPClassifier;0.9036;0.9057;0.9036;0.9037;0.9375;0.9418;0.9375;0.9383;0.85;0.85;0.85;0.85;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 696, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=696)
RandomForestClassifier;0.9537;0.9548;0.9537;0.9537;0.9167;0.9182;0.9167;0.917;0.85;0.8517;0.85;0.8498;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 570};RandomForestClassifier(n_estimators=10, random_state=570)
MLPClassifier;0.8974;0.8984;0.8974;0.8975;0.9514;0.953;0.9514;0.9517;0.85;0.8524;0.85;0.8497;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 309, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=309)
MLPClassifier;0.8997;0.9017;0.8997;0.8997;0.9444;0.945;0.9444;0.9447;0.85;0.8524;0.85;0.8497;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 595, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=595)
MLPClassifier;0.9051;0.9069;0.9051;0.905;0.9722;0.9736;0.9722;0.972;0.85;0.8524;0.85;0.8497;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 309, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=309)
MLPClassifier;0.9027;0.9051;0.9027;0.9028;0.9444;0.9452;0.9444;0.9446;0.85;0.8524;0.85;0.8497;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 595, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=595)
MLPClassifier;0.8966;0.8996;0.8966;0.8966;1.0;1.0;1.0;1.0;0.85;0.8524;0.85;0.8497;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 595, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=595)
MLPClassifier;0.9036;0.9061;0.9036;0.9039;0.9306;0.9302;0.9306;0.9301;0.85;0.8565;0.85;0.8493;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 595, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=595)
DecisionTreeClassifier;0.9267;0.9286;0.9267;0.9265;0.8611;0.8604;0.8611;0.8603;0.8333;0.8355;0.8333;0.8341;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 209};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=209)
RandomForestClassifier;0.9514;0.9523;0.9514;0.9515;0.9444;0.9491;0.9444;0.9443;0.8333;0.8458;0.8333;0.8338;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 570};RandomForestClassifier(n_estimators=20, random_state=570)
RandomForestClassifier;0.936;0.9383;0.936;0.936;0.9653;0.9671;0.9653;0.9652;0.8333;0.8458;0.8333;0.8338;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 901};RandomForestClassifier(n_estimators=10, random_state=901)
MLPClassifier;0.8989;0.9;0.8989;0.8988;0.9514;0.9538;0.9514;0.9517;0.8333;0.836;0.8333;0.8335;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 309, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=309)
RandomForestClassifier;0.9522;0.9544;0.9522;0.9524;0.9375;0.9393;0.9375;0.9375;0.8333;0.8432;0.8333;0.8333;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 901};RandomForestClassifier(n_estimators=20, random_state=901)
MLPClassifier;0.9074;0.9092;0.9074;0.9075;0.9306;0.9311;0.9306;0.9308;0.8333;0.8339;0.8333;0.8333;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 696, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=696)
MLPClassifier;0.9036;0.9071;0.9036;0.9038;0.9375;0.9379;0.9375;0.9375;0.8333;0.8339;0.8333;0.8333;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 696, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=696)
MLPClassifier;0.8974;0.9011;0.8974;0.8976;0.9792;0.9792;0.9792;0.9791;0.8333;0.8339;0.8333;0.8333;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 696, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=696)
MLPClassifier;0.9066;0.9086;0.9066;0.9068;0.9861;0.9863;0.9861;0.9861;0.8333;0.8379;0.8333;0.8333;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 595, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=595)
MLPClassifier;0.9006;0.9023;0.9006;0.9008;0.9514;0.9516;0.9514;0.951;0.8333;0.8341;0.8333;0.8327;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 595, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=595)
MLPClassifier;0.8959;0.8971;0.8959;0.8957;0.9514;0.9522;0.9514;0.9513;0.8333;0.8341;0.8333;0.8327;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 595, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=595)
MLPClassifier;0.8989;0.9004;0.8989;0.899;0.9722;0.9728;0.9722;0.9722;0.8333;0.8367;0.8333;0.8324;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 696, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=696)
