Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Model
KNeighborsClassifier,0.964,0.9642,0.964,0.964,0.9608,0.9608,0.9608,0.9608,0.9333,0.9349,0.9333,0.9337,0.9919,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,KNeighborsClassifier()
RandomForestClassifier,0.9732,0.9733,0.9732,0.9732,0.9718,0.9718,0.9718,0.9718,0.9333,0.9333,0.9333,0.9333,0.9944,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,RandomForestClassifier()
KNeighborsClassifier,0.8702,0.871,0.8702,0.8705,0.8675,0.8689,0.8675,0.868,0.9167,0.919,0.9167,0.9175,0.9554,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'N']",10,KNeighborsClassifier()
RandomForestClassifier,0.9776,0.9777,0.9776,0.9775,0.9789,0.979,0.9789,0.9789,0.9,0.9007,0.9,0.9,0.9981,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,RandomForestClassifier()
DecisionTreeClassifier,0.9599,0.96,0.9599,0.9599,0.9641,0.9642,0.9641,0.9641,0.9,0.9,0.9,0.9,0.97,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,DecisionTreeClassifier()
RandomForestClassifier,0.8681,0.8696,0.8681,0.8686,0.8816,0.8822,0.8816,0.8818,0.8833,0.8894,0.8833,0.8848,0.9591,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'N']",10,RandomForestClassifier()
DecisionTreeClassifier,0.9697,0.9698,0.9697,0.9698,0.9695,0.9696,0.9695,0.9696,0.8833,0.8874,0.8833,0.883,0.9773,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,DecisionTreeClassifier()
RandomForestClassifier,0.9714,0.9715,0.9714,0.9713,0.9735,0.9735,0.9735,0.9735,0.8667,0.8681,0.8667,0.867,0.9945,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,RandomForestClassifier()
KNeighborsClassifier,0.9649,0.9649,0.9649,0.9648,0.9671,0.9671,0.9671,0.9671,0.8667,0.869,0.8667,0.8664,0.9919,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,KNeighborsClassifier()
KNeighborsClassifier,0.9697,0.9699,0.9697,0.9697,0.9682,0.9683,0.9682,0.9682,0.8667,0.8677,0.8667,0.8661,0.9946,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,KNeighborsClassifier()
MLPClassifier,0.8962,0.8976,0.8962,0.8965,0.8903,0.8909,0.8903,0.8903,0.8667,0.8677,0.8667,0.8645,0.9755,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,MLPClassifier()
SVC,0.8349,0.838,0.8349,0.8361,0.8366,0.8394,0.8366,0.8376,0.8333,0.8444,0.8333,0.8345,0.9102,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'N']",10,SVC(probability=True)
RandomForestClassifier,0.8626,0.8646,0.8626,0.8632,0.8722,0.8728,0.8722,0.8724,0.8333,0.8355,0.8333,0.8341,0.9663,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'N']",10,RandomForestClassifier()
RandomForestClassifier,0.8745,0.8758,0.8745,0.8748,0.8705,0.8722,0.8705,0.871,0.8333,0.8413,0.8333,0.834,0.9658,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'N']",10,RandomForestClassifier()
MLPClassifier,0.9382,0.9384,0.9382,0.9383,0.9406,0.9411,0.9406,0.9408,0.8333,0.8348,0.8333,0.8337,0.9884,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,MLPClassifier()
KNeighborsClassifier,0.8742,0.8752,0.8742,0.8746,0.8845,0.886,0.8845,0.8851,0.8333,0.8331,0.8333,0.8329,0.9577,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'N']",10,KNeighborsClassifier()
KNeighborsClassifier,0.8582,0.8618,0.8582,0.8575,0.8564,0.8578,0.8564,0.8568,0.8333,0.8341,0.8333,0.8327,0.9466,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'N']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.8407,0.8415,0.8407,0.8413,0.84,0.8416,0.84,0.8406,0.8333,0.838,0.8333,0.8317,0.8846,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'N']",10,DecisionTreeClassifier()
DecisionTreeClassifier,0.8291,0.8317,0.8291,0.8294,0.8168,0.8212,0.8168,0.8175,0.8333,0.8354,0.8333,0.8313,0.9506,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'N']",10,DecisionTreeClassifier()
MLPClassifier,0.8094,0.8093,0.8094,0.8085,0.8131,0.8119,0.8131,0.8095,0.8167,0.818,0.8167,0.817,0.9378,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'N']",10,MLPClassifier()
SVC,0.8391,0.8404,0.8391,0.8393,0.8494,0.8498,0.8494,0.8496,0.8167,0.8187,0.8167,0.8147,0.9441,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,SVC(probability=True)
DecisionTreeClassifier,0.9572,0.9574,0.9572,0.9572,0.9597,0.9597,0.9597,0.9597,0.8,0.8079,0.8,0.8018,0.9679,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,DecisionTreeClassifier()
MLPClassifier,0.8461,0.849,0.8461,0.8467,0.8484,0.8504,0.8484,0.8492,0.8,0.8054,0.8,0.8013,0.9588,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'N']",10,MLPClassifier()
