Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Model
KNeighborsClassifier,0.8261,0.8348,0.8261,0.8253,0.8913,0.8917,0.8913,0.8905,0.95,0.9516,0.95,0.9504,0.9427,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,KNeighborsClassifier()
RandomForestClassifier,0.8607,0.8633,0.8607,0.8598,0.8986,0.9039,0.8986,0.8978,0.9333,0.9379,0.9333,0.934,0.9609,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,RandomForestClassifier()
DecisionTreeClassifier,0.8041,0.8136,0.8041,0.805,0.8333,0.8387,0.8333,0.8352,0.9167,0.919,0.9167,0.9175,0.8532,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,DecisionTreeClassifier()
RandomForestClassifier,0.8587,0.8643,0.8587,0.8595,0.913,0.9129,0.913,0.9127,0.8833,0.8848,0.8833,0.8837,0.9649,smote,250,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,RandomForestClassifier()
RandomForestClassifier,0.8949,0.897,0.8949,0.8955,0.8768,0.878,0.8768,0.8771,0.8333,0.8338,0.8333,0.8322,0.9802,smote,250,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'N']",10,RandomForestClassifier()
DecisionTreeClassifier,0.752,0.7564,0.752,0.7509,0.7246,0.7244,0.7246,0.7238,0.8333,0.8307,0.8333,0.831,0.8138,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'N']",10,DecisionTreeClassifier()
KNeighborsClassifier,0.8659,0.877,0.8659,0.8653,0.9275,0.93,0.9275,0.9282,0.8167,0.8269,0.8167,0.8174,0.9642,smote,250,StandardScaler,"['storyPoints', 'polarity', 'stress', 'N']",10,KNeighborsClassifier()
KNeighborsClassifier,0.8498,0.8621,0.8498,0.8497,0.8261,0.8292,0.8261,0.827,0.8167,0.8193,0.8167,0.8157,0.944,smote,250,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.8752,0.8812,0.8752,0.8761,0.8913,0.895,0.8913,0.8923,0.8167,0.8172,0.8167,0.8155,0.9668,smote,250,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'N']",10,DecisionTreeClassifier()
SVC,0.8352,0.8806,0.8352,0.8318,0.8696,0.8955,0.8696,0.8692,0.8,0.8072,0.8,0.8022,0.9096,smote,250,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'N']",10,SVC(probability=True)
KNeighborsClassifier,0.7573,0.765,0.7573,0.7566,0.7609,0.7719,0.7609,0.7637,0.8,0.8089,0.8,0.8004,0.8882,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'N']",10,KNeighborsClassifier()
KNeighborsClassifier,0.8442,0.8563,0.8442,0.8434,0.8478,0.8593,0.8478,0.8507,0.8,0.8013,0.8,0.8003,0.9581,smote,250,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'N']",10,KNeighborsClassifier()
KNeighborsClassifier,0.7609,0.7781,0.7609,0.7611,0.7391,0.7395,0.7391,0.7393,0.8,0.8049,0.8,0.8002,0.8954,smote,250,StandardScaler,"['storyPoints', 'polarity_mean', 'N']",10,KNeighborsClassifier()
SVC,0.8407,0.8873,0.8407,0.8435,0.8406,0.8859,0.8406,0.8336,0.8,0.8242,0.8,0.796,0.9109,smote,250,StandardScaler,"['storyPoints', 'polarity', 'stress', 'N']",10,SVC(probability=True)
RandomForestClassifier,0.7388,0.7483,0.7388,0.7379,0.7971,0.7998,0.7971,0.7979,0.8,0.7969,0.8,0.7955,0.8932,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'N']",10,RandomForestClassifier()
MLPClassifier,0.8297,0.8757,0.8297,0.8275,0.8478,0.8888,0.8478,0.8494,0.7833,0.792,0.7833,0.783,0.9329,smote,250,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'N']",10,MLPClassifier()
DecisionTreeClassifier,0.712,0.7206,0.712,0.7122,0.6957,0.6999,0.6957,0.6925,0.7833,0.7831,0.7833,0.7822,0.7838,smote,250,StandardScaler,"['storyPoints', 'polarity_mean', 'N']",10,DecisionTreeClassifier()
DecisionTreeClassifier,0.8263,0.8353,0.8263,0.8222,0.8261,0.831,0.8261,0.8256,0.7833,0.7884,0.7833,0.7815,0.8683,smote,250,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,DecisionTreeClassifier()
RandomForestClassifier,0.8369,0.844,0.8369,0.8372,0.7899,0.7951,0.7899,0.7901,0.7833,0.8219,0.7833,0.7797,0.9512,smote,250,StandardScaler,"['storyPoints', 'polarity', 'N']",10,RandomForestClassifier()
RandomForestClassifier,0.8262,0.8337,0.8262,0.8254,0.8261,0.84,0.8261,0.8244,0.7667,0.7688,0.7667,0.7674,0.9527,smote,250,MinMaxScaler,"['storyPoints', 'polarity', 'N']",10,RandomForestClassifier()
LogisticRegression,0.81,0.8484,0.81,0.8079,0.8768,0.8989,0.8768,0.8757,0.7667,0.7778,0.7667,0.7668,0.8659,smote,250,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
KNeighborsClassifier,0.8172,0.8275,0.8172,0.8155,0.8188,0.8243,0.8188,0.8186,0.7667,0.7671,0.7667,0.7666,0.9322,smote,250,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,KNeighborsClassifier()
RandomForestClassifier,0.8694,0.8759,0.8694,0.8686,0.8841,0.8868,0.8841,0.8846,0.7667,0.773,0.7667,0.7618,0.9701,smote,250,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,RandomForestClassifier()
DecisionTreeClassifier,0.8823,0.8884,0.8823,0.8831,0.8261,0.8557,0.8261,0.8303,0.75,0.7563,0.75,0.751,0.9665,smote,250,StandardScaler,"['storyPoints', 'polarity', 'stress', 'N']",10,DecisionTreeClassifier()
MLPClassifier,0.77,0.7858,0.77,0.7724,0.7464,0.7502,0.7464,0.7478,0.75,0.7553,0.75,0.7505,0.9189,smote,250,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,MLPClassifier()
KNeighborsClassifier,0.8172,0.8313,0.8172,0.8139,0.8188,0.8252,0.8188,0.8187,0.75,0.7505,0.75,0.7499,0.9187,smote,250,MinMaxScaler,"['storyPoints', 'polarity', 'N']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.8297,0.8371,0.8297,0.8279,0.8043,0.805,0.8043,0.8039,0.75,0.7496,0.75,0.7495,0.9526,smote,250,MinMaxScaler,"['storyPoints', 'polarity', 'N']",10,DecisionTreeClassifier()
