Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Model
MLPClassifier,0.9194,0.9203,0.9194,0.9196,0.9197,0.9199,0.9197,0.9198,0.9333,0.9379,0.9333,0.934,0.9821,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,MLPClassifier()
DecisionTreeClassifier,0.9537,0.9538,0.9537,0.9537,0.9625,0.9625,0.9625,0.9625,0.9333,0.9364,0.9333,0.9332,0.9653,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,DecisionTreeClassifier()
KNeighborsClassifier,0.9523,0.9527,0.9523,0.9522,0.9596,0.9597,0.9596,0.9596,0.9167,0.9206,0.9167,0.9174,0.9869,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,KNeighborsClassifier()
RandomForestClassifier,0.9725,0.9728,0.9725,0.9726,0.9726,0.9727,0.9726,0.9726,0.9167,0.9214,0.9167,0.9165,0.9978,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,RandomForestClassifier()
RandomForestClassifier,0.9619,0.9622,0.9619,0.9619,0.9657,0.9658,0.9657,0.9658,0.9167,0.9194,0.9167,0.9165,0.9908,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,RandomForestClassifier()
DecisionTreeClassifier,0.9433,0.9436,0.9433,0.9433,0.9478,0.9477,0.9478,0.9477,0.9167,0.9214,0.9167,0.9165,0.9575,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,DecisionTreeClassifier()
KNeighborsClassifier,0.9496,0.9499,0.9496,0.9496,0.9551,0.9552,0.9551,0.9551,0.9167,0.9194,0.9167,0.9165,0.9856,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,KNeighborsClassifier()
RandomForestClassifier,0.959,0.9593,0.959,0.9591,0.9663,0.9667,0.9663,0.9663,0.9,0.9048,0.9,0.9012,0.9902,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,RandomForestClassifier()
MLPClassifier,0.866,0.8668,0.866,0.866,0.895,0.8948,0.895,0.8949,0.9,0.9027,0.9,0.8998,0.9606,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,MLPClassifier()
KNeighborsClassifier,0.9588,0.959,0.9588,0.9586,0.9609,0.9608,0.9609,0.9608,0.8833,0.884,0.8833,0.8833,0.9915,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,KNeighborsClassifier()
MLPClassifier,0.7974,0.7991,0.7974,0.7976,0.8007,0.7996,0.8007,0.7999,0.8667,0.8722,0.8667,0.8667,0.9305,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'N']",10,MLPClassifier()
SVC,0.838,0.837,0.838,0.837,0.8377,0.8366,0.8377,0.8366,0.8667,0.8724,0.8667,0.8662,0.9354,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,SVC(probability=True)
SVC,0.7395,0.7517,0.7395,0.7405,0.7771,0.7764,0.7771,0.7757,0.85,0.862,0.85,0.8516,0.8835,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'N']",10,SVC(probability=True)
DecisionTreeClassifier,0.8297,0.8285,0.8297,0.8283,0.8115,0.809,0.8115,0.8092,0.85,0.8591,0.85,0.8495,0.9516,smote,3000,no_scaled,"['storyPoints', 'polarity', 'N']",10,DecisionTreeClassifier()
MLPClassifier,0.7978,0.8046,0.7978,0.7951,0.802,0.8027,0.802,0.7964,0.8333,0.8507,0.8333,0.835,0.9336,smote,3000,no_scaled,"['storyPoints', 'polarity', 'N']",10,MLPClassifier()
MLPClassifier,0.8128,0.8183,0.8128,0.8133,0.7992,0.7962,0.7992,0.7969,0.8333,0.8322,0.8333,0.8303,0.9483,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,MLPClassifier()
KNeighborsClassifier,0.871,0.8718,0.871,0.8713,0.854,0.858,0.854,0.8551,0.8167,0.8264,0.8167,0.8194,0.9525,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'N']",10,KNeighborsClassifier()
SVC,0.8651,0.8709,0.8651,0.8663,0.8714,0.8775,0.8714,0.8724,0.8167,0.8214,0.8167,0.8181,0.9486,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,SVC(probability=True)
RandomForestClassifier,0.8144,0.8133,0.8144,0.813,0.8377,0.8367,0.8377,0.837,0.8167,0.8304,0.8167,0.8176,0.9443,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'N']",10,RandomForestClassifier()
KNeighborsClassifier,0.8777,0.879,0.8777,0.878,0.8747,0.8749,0.8747,0.8748,0.8167,0.818,0.8167,0.817,0.9571,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'N']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.9427,0.9432,0.9427,0.9428,0.9394,0.9397,0.9394,0.9394,0.8167,0.818,0.8167,0.817,0.957,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,DecisionTreeClassifier()
SVC,0.7713,0.7753,0.7713,0.7727,0.7838,0.7841,0.7838,0.7839,0.8167,0.8166,0.8167,0.8156,0.898,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'N']",10,SVC(probability=True)
