Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Model
KNeighborsClassifier,0.8776,0.8806,0.8776,0.878,0.8889,0.8898,0.8889,0.8891,0.8833,0.8934,0.8833,0.8839,0.968,smote,500,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,KNeighborsClassifier()
RandomForestClassifier,0.9201,0.9214,0.9201,0.9199,0.8854,0.8866,0.8854,0.8845,0.8833,0.8939,0.8833,0.8836,0.9845,smote,500,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,RandomForestClassifier()
DecisionTreeClassifier,0.8863,0.8874,0.8863,0.8861,0.8924,0.8937,0.8924,0.8927,0.8667,0.8729,0.8667,0.8671,0.9146,smote,500,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,DecisionTreeClassifier()
DecisionTreeClassifier,0.8742,0.8782,0.8742,0.8742,0.8819,0.8813,0.8819,0.8814,0.8667,0.8722,0.8667,0.8667,0.9066,smote,500,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,DecisionTreeClassifier()
DecisionTreeClassifier,0.9019,0.9077,0.9019,0.9026,0.9201,0.9197,0.9201,0.9199,0.8667,0.8673,0.8667,0.8666,0.9782,smote,500,no_scaled,"['storyPoints', 'polarity', 'stress', 'N']",10,DecisionTreeClassifier()
RandomForestClassifier,0.8949,0.9003,0.8949,0.8954,0.9028,0.9122,0.9028,0.9036,0.8667,0.8673,0.8667,0.8666,0.9789,smote,500,no_scaled,"['storyPoints', 'polarity', 'stress', 'N']",10,RandomForestClassifier()
RandomForestClassifier,0.9106,0.9127,0.9106,0.9105,0.8924,0.8923,0.8924,0.8923,0.85,0.85,0.85,0.85,0.9799,smote,500,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,RandomForestClassifier()
DecisionTreeClassifier,0.8698,0.8735,0.8698,0.8698,0.8785,0.8785,0.8785,0.8785,0.85,0.8497,0.85,0.8495,0.9024,smote,500,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,DecisionTreeClassifier()
KNeighborsClassifier,0.8663,0.8719,0.8663,0.8671,0.9271,0.9283,0.9271,0.9273,0.85,0.8526,0.85,0.8468,0.9593,smote,500,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.894,0.903,0.894,0.8946,0.9236,0.9262,0.9236,0.924,0.8333,0.8348,0.8333,0.8337,0.9738,smote,500,StandardScaler,"['storyPoints', 'polarity', 'stress', 'N']",10,DecisionTreeClassifier()
KNeighborsClassifier,0.8784,0.8875,0.8784,0.8788,0.8681,0.8701,0.8681,0.8676,0.8333,0.8478,0.8333,0.8315,0.9644,smote,500,no_scaled,"['storyPoints', 'polarity', 'stress', 'N']",10,KNeighborsClassifier()
MLPClassifier,0.7848,0.7939,0.7848,0.7854,0.7743,0.7749,0.7743,0.7742,0.8167,0.8239,0.8167,0.8189,0.9384,smote,500,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,MLPClassifier()
KNeighborsClassifier,0.8507,0.8555,0.8507,0.8513,0.8646,0.8691,0.8646,0.8659,0.8167,0.822,0.8167,0.8148,0.9551,smote,500,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,KNeighborsClassifier()
RandomForestClassifier,0.9097,0.9119,0.9097,0.9097,0.9375,0.9377,0.9375,0.9375,0.8,0.8068,0.8,0.7989,0.9805,smote,500,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,RandomForestClassifier()
RandomForestClassifier,0.8993,0.9055,0.8993,0.9003,0.9062,0.9094,0.9062,0.907,0.8,0.8018,0.8,0.7986,0.9807,smote,500,StandardScaler,"['storyPoints', 'polarity', 'stress', 'N']",10,RandomForestClassifier()
KNeighborsClassifier,0.8151,0.8188,0.8151,0.8159,0.8021,0.811,0.8021,0.8031,0.8,0.799,0.8,0.7985,0.9231,smote,500,no_scaled,"['storyPoints', 'polarity_mean', 'N']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.8429,0.8482,0.8429,0.8423,0.816,0.818,0.816,0.8162,0.8,0.8171,0.8,0.7975,0.9557,smote,500,MinMaxScaler,"['storyPoints', 'polarity', 'N']",10,DecisionTreeClassifier()
RandomForestClassifier,0.8203,0.8242,0.8203,0.8199,0.7951,0.7967,0.7951,0.7957,0.8,0.8011,0.8,0.7963,0.9398,smote,500,no_scaled,"['storyPoints', 'polarity_mean', 'N']",10,RandomForestClassifier()
KNeighborsClassifier,0.8759,0.8857,0.8759,0.8757,0.9062,0.9074,0.9062,0.906,0.7833,0.7905,0.7833,0.7844,0.9653,smote,500,StandardScaler,"['storyPoints', 'polarity', 'stress', 'N']",10,KNeighborsClassifier()
KNeighborsClassifier,0.8081,0.8228,0.8081,0.8089,0.809,0.8217,0.809,0.8086,0.7833,0.7905,0.7833,0.7838,0.9322,smote,500,StandardScaler,"['storyPoints', 'polarity', 'N']",10,KNeighborsClassifier()
KNeighborsClassifier,0.8021,0.8093,0.8021,0.8028,0.8646,0.8648,0.8646,0.8647,0.7833,0.7833,0.7833,0.7833,0.9186,smote,500,MinMaxScaler,"['storyPoints', 'polarity_mean', 'N']",10,KNeighborsClassifier()
