Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Model
RandomForestClassifier,0.9627,0.9628,0.9627,0.9627,0.9675,0.9675,0.9675,0.9674,0.9333,0.9349,0.9333,0.9337,0.9927,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,RandomForestClassifier()
RandomForestClassifier,0.9702,0.9703,0.9702,0.9702,0.9712,0.9713,0.9712,0.9712,0.9167,0.9333,0.9167,0.9184,0.9964,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,RandomForestClassifier()
DecisionTreeClassifier,0.9437,0.9438,0.9437,0.9438,0.9473,0.9477,0.9473,0.9474,0.9167,0.9232,0.9167,0.9164,0.9581,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,DecisionTreeClassifier()
KNeighborsClassifier,0.9495,0.9497,0.9495,0.9495,0.952,0.952,0.952,0.952,0.9,0.9029,0.9,0.8989,0.9887,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,KNeighborsClassifier()
KNeighborsClassifier,0.9548,0.955,0.9548,0.9548,0.9545,0.9548,0.9545,0.9544,0.8833,0.8884,0.8833,0.8834,0.9914,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,KNeighborsClassifier()
KNeighborsClassifier,0.9533,0.9534,0.9533,0.9532,0.948,0.9482,0.948,0.948,0.8833,0.8836,0.8833,0.8823,0.9885,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.9551,0.9551,0.9551,0.9551,0.9582,0.9582,0.9582,0.9582,0.8667,0.8709,0.8667,0.8673,0.9663,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,DecisionTreeClassifier()
RandomForestClassifier,0.9632,0.9633,0.9632,0.9632,0.9648,0.9648,0.9648,0.9648,0.8667,0.8816,0.8667,0.867,0.9922,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,RandomForestClassifier()
MLPClassifier,0.905,0.906,0.905,0.9051,0.9037,0.907,0.9037,0.9039,0.85,0.8557,0.85,0.8514,0.9823,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,MLPClassifier()
DecisionTreeClassifier,0.9445,0.9447,0.9445,0.9446,0.9467,0.9466,0.9467,0.9466,0.85,0.8625,0.85,0.8505,0.9584,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,DecisionTreeClassifier()
RandomForestClassifier,0.8498,0.8509,0.8498,0.85,0.8454,0.846,0.8454,0.8456,0.8333,0.8372,0.8333,0.8339,0.9547,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'N']",10,RandomForestClassifier()
MLPClassifier,0.8377,0.839,0.8377,0.8374,0.8504,0.8496,0.8504,0.8497,0.8167,0.8268,0.8167,0.8185,0.9566,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,MLPClassifier()
RandomForestClassifier,0.8416,0.8421,0.8416,0.8416,0.8484,0.849,0.8484,0.8486,0.8167,0.8214,0.8167,0.8181,0.9486,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'N']",10,RandomForestClassifier()
DecisionTreeClassifier,0.9101,0.9118,0.9101,0.9107,0.9094,0.9115,0.9094,0.91,0.8167,0.8167,0.8167,0.8167,0.9833,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'N']",10,DecisionTreeClassifier()
KNeighborsClassifier,0.8407,0.8425,0.8407,0.8413,0.8333,0.8354,0.8333,0.8338,0.8167,0.8208,0.8167,0.8161,0.9385,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'N']",10,KNeighborsClassifier()
KNeighborsClassifier,0.8431,0.8447,0.8431,0.8434,0.8444,0.846,0.8444,0.8448,0.8167,0.8228,0.8167,0.8156,0.9421,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'N']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.8112,0.8122,0.8112,0.8114,0.8039,0.8045,0.8039,0.8041,0.8167,0.8222,0.8167,0.8138,0.861,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'N']",10,DecisionTreeClassifier()
RandomForestClassifier,0.9113,0.9129,0.9113,0.9119,0.9051,0.9075,0.9051,0.9058,0.8,0.7997,0.8,0.7995,0.9841,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'N']",10,RandomForestClassifier()
DecisionTreeClassifier,0.8064,0.8072,0.8064,0.8066,0.8044,0.8045,0.8044,0.8044,0.8,0.7997,0.8,0.7995,0.8603,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'N']",10,DecisionTreeClassifier()
KNeighborsClassifier,0.9019,0.9044,0.9019,0.9025,0.8719,0.875,0.8719,0.8699,0.7833,0.7863,0.7833,0.7839,0.967,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'N']",10,KNeighborsClassifier()
