Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
DecisionTreeClassifier;0.8611;0.8636;0.8611;0.8611;0.9097;0.9096;0.9097;0.9094;0.8667;0.8704;0.8667;0.8674;smote;500;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 524};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=524)
RandomForestClassifier;0.8719;0.8763;0.8719;0.8723;0.9028;0.9068;0.9028;0.9021;0.8667;0.8673;0.8667;0.8666;smote;500;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 641};RandomForestClassifier(n_estimators=10, random_state=641)
DecisionTreeClassifier;0.8549;0.8579;0.8549;0.855;0.8889;0.8971;0.8889;0.8901;0.8667;0.8668;0.8667;0.8657;smote;500;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 952};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=952)
DecisionTreeClassifier;0.8604;0.8628;0.8604;0.8603;0.8472;0.8542;0.8472;0.8487;0.85;0.8506;0.85;0.8499;smote;500;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 952};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=952)
RandomForestClassifier;0.8758;0.879;0.8758;0.8761;0.8403;0.8401;0.8403;0.8384;0.85;0.8497;0.85;0.8495;smote;500;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 155};RandomForestClassifier(n_estimators=20, random_state=155)
RandomForestClassifier;0.8727;0.8768;0.8727;0.8731;0.875;0.8793;0.875;0.876;0.85;0.8497;0.85;0.8495;smote;500;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 730};RandomForestClassifier(n_estimators=20, random_state=730)
RandomForestClassifier;0.8797;0.8834;0.8797;0.8801;0.8681;0.8706;0.8681;0.8678;0.85;0.8497;0.85;0.8495;smote;500;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 155};RandomForestClassifier(n_estimators=20, random_state=155)
DecisionTreeClassifier;0.8696;0.8718;0.8696;0.8694;0.8403;0.8394;0.8403;0.8391;0.85;0.8508;0.85;0.849;smote;500;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 518};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=518)
RandomForestClassifier;0.8788;0.882;0.8788;0.879;0.8542;0.8544;0.8542;0.8539;0.8333;0.8365;0.8333;0.8339;smote;500;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 5, 'random_state': 641};RandomForestClassifier(n_estimators=5, random_state=641)
RandomForestClassifier;0.8773;0.8797;0.8773;0.8775;0.8958;0.9014;0.8958;0.8969;0.8333;0.8333;0.8333;0.8333;smote;500;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 641};RandomForestClassifier(n_estimators=10, random_state=641)
RandomForestClassifier;0.8789;0.8816;0.8789;0.8791;0.8958;0.9012;0.8958;0.8969;0.8333;0.8331;0.8333;0.8329;smote;500;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 5, 'random_state': 155};RandomForestClassifier(n_estimators=5, random_state=155)
KNeighborsClassifier;0.828;0.8341;0.828;0.8287;0.8472;0.847;0.8472;0.8469;0.8333;0.8374;0.8333;0.8328;smote;500;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', n_neighbors=7, p=1, weights='distance')
DecisionTreeClassifier;0.8649;0.8692;0.8649;0.8649;0.7431;0.7478;0.7431;0.7445;0.8333;0.8322;0.8333;0.8324;smote;500;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 518};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=518)
