Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Hyper Params.,Model
MLPClassifier,0.7231,0.8116,0.7231,0.7193,0.7708,0.8643,0.7708,0.7765,0.7,0.7079,0.7,0.6947,0.8888,smote,500,StandardScaler,"['storyPoints', 'polarity', 'E']",10,"{'max_iter': 100000, 'random_state': 676, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=676)"
DecisionTreeClassifier,0.8134,0.8349,0.8134,0.817,0.8333,0.8519,0.8333,0.8372,0.6833,0.7008,0.6833,0.6878,0.9135,smote,500,no_scaled,"['storyPoints', 'polarity', 'E']",10,"{'max_depth': 5, 'min_samples_leaf': 5, 'random_state': 481}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=5, random_state=481)"
DecisionTreeClassifier,0.8099,0.8311,0.8099,0.8151,0.8403,0.8533,0.8403,0.8433,0.6833,0.6943,0.6833,0.6869,0.9053,smote,500,MinMaxScaler,"['storyPoints', 'polarity', 'E']",10,"{'max_depth': 5, 'min_samples_leaf': 5, 'random_state': 702}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=5, random_state=702)"
RandomForestClassifier,0.8281,0.8453,0.8281,0.8306,0.7986,0.8131,0.7986,0.8024,0.6833,0.6919,0.6833,0.6848,0.9299,smote,500,no_scaled,"['storyPoints', 'polarity', 'E']",10,"{'n_estimators': 20, 'random_state': 893}","RandomForestClassifier(n_estimators=20, random_state=893)"
RandomForestClassifier,0.8012,0.82,0.8012,0.8044,0.809,0.8312,0.809,0.8137,0.6833,0.6885,0.6833,0.6788,0.9255,smote,500,StandardScaler,"['storyPoints', 'polarity', 'E']",10,"{'n_estimators': 10, 'random_state': 847}","RandomForestClassifier(n_estimators=10, random_state=847)"
DecisionTreeClassifier,0.8307,0.8461,0.8307,0.8336,0.7708,0.8098,0.7708,0.7793,0.6833,0.6806,0.6833,0.6786,0.9212,smote,500,StandardScaler,"['storyPoints', 'polarity', 'E']",10,"{'max_depth': 5, 'min_samples_leaf': 5, 'random_state': 256}","DecisionTreeClassifier(max_depth=5, min_samples_leaf=5, random_state=256)"
RandomForestClassifier,0.8185,0.8362,0.8185,0.8226,0.8021,0.8242,0.8021,0.8073,0.6833,0.6797,0.6833,0.6755,0.9304,smote,500,MinMaxScaler,"['storyPoints', 'polarity', 'E']",10,"{'n_estimators': 5, 'random_state': 22}","RandomForestClassifier(n_estimators=5, random_state=22)"
LogisticRegression,0.7361,0.7958,0.7361,0.7357,0.7535,0.8047,0.7535,0.7592,0.6667,0.7152,0.6667,0.6753,0.8756,smote,500,MinMaxScaler,"['storyPoints', 'polarity', 'E']",10,"{'C': 0.1, 'penalty': 'l2', 'random_state': 781, 'solver': 'lbfgs'}","LogisticRegression(C=0.1, max_iter=100000, multi_class='multinomial',
                   random_state=781)"
SVC,0.7821,0.8398,0.7821,0.7804,0.7812,0.8368,0.7812,0.7757,0.6667,0.7157,0.6667,0.6649,0.9075,smote,500,no_scaled,"['storyPoints', 'polarity', 'E']",10,"{'C': 10, 'kernel': 'rbf', 'random_state': 686}","SVC(C=10, probability=True, random_state=686)"
MLPClassifier,0.7604,0.8412,0.7604,0.7607,0.75,0.8461,0.75,0.7504,0.6667,0.7452,0.6667,0.6551,0.8944,smote,500,MinMaxScaler,"['storyPoints', 'polarity', 'E']",10,"{'max_iter': 100000, 'random_state': 72, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=72)"
MLPClassifier,0.7396,0.8506,0.7396,0.7404,0.7986,0.8246,0.7986,0.8032,0.65,0.6689,0.65,0.6541,0.9143,smote,500,no_scaled,"['storyPoints', 'polarity', 'E']",10,"{'max_iter': 100000, 'random_state': 482, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=482)"
KNeighborsClassifier,0.8194,0.8382,0.8194,0.8212,0.7465,0.8291,0.7465,0.7435,0.6667,0.7137,0.6667,0.6522,0.9151,smote,500,MinMaxScaler,"['storyPoints', 'polarity', 'E']",10,"{'metric': 'minkowski', 'n_neighbors': 11, 'weights': 'distance'}","KNeighborsClassifier(n_neighbors=11, weights='distance')"
KNeighborsClassifier,0.8047,0.8151,0.8047,0.8074,0.8194,0.8325,0.8194,0.8233,0.65,0.6597,0.65,0.6499,0.9124,smote,500,no_scaled,"['storyPoints', 'polarity', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', p=1, weights='distance')"
SVC,0.7908,0.8418,0.7908,0.7895,0.7153,0.7842,0.7153,0.7024,0.6667,0.7473,0.6667,0.6432,0.9089,smote,500,StandardScaler,"['storyPoints', 'polarity', 'E']",10,"{'C': 10, 'kernel': 'rbf', 'random_state': 315}","SVC(C=10, probability=True, random_state=315)"
SVC,0.7778,0.8312,0.7778,0.7749,0.7743,0.8398,0.7743,0.7701,0.65,0.7347,0.65,0.6299,0.9037,smote,500,MinMaxScaler,"['storyPoints', 'polarity', 'E']",10,"{'C': 10, 'kernel': 'rbf', 'random_state': 228}","SVC(C=10, probability=True, random_state=228)"
KNeighborsClassifier,0.8038,0.8198,0.8038,0.8066,0.7917,0.8076,0.7917,0.7964,0.6333,0.6297,0.6333,0.6248,0.9221,smote,500,StandardScaler,"['storyPoints', 'polarity', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 13, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=13, p=1,
                     weights='distance')"
LogisticRegression,0.7188,0.7819,0.7188,0.7208,0.7535,0.7752,0.7535,0.7542,0.6167,0.6494,0.6167,0.6235,0.8722,smote,500,StandardScaler,"['storyPoints', 'polarity', 'E']",10,"{'C': 0.1, 'penalty': 'l2', 'random_state': 345, 'solver': 'lbfgs'}","LogisticRegression(C=0.1, max_iter=100000, multi_class='multinomial',
                   random_state=345)"
LogisticRegression,0.763,0.7833,0.763,0.7676,0.7569,0.7966,0.7569,0.7635,0.6,0.6157,0.6,0.6053,0.9042,smote,500,no_scaled,"['storyPoints', 'polarity', 'E']",10,"{'C': 0.1, 'penalty': 'l2', 'random_state': 777, 'solver': 'lbfgs'}","LogisticRegression(C=0.1, max_iter=100000, multi_class='multinomial',
                   random_state=777)"
