;Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
28;RandomForestClassifier;0.8847;0.8851;0.8847;0.8846;0.8806;0.8815;0.8806;0.8807;0.85;0.8517;0.85;0.8498;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 869};RandomForestClassifier(n_estimators=20, random_state=869)
27;RandomForestClassifier;0.8832;0.8836;0.8832;0.8832;0.8919;0.8922;0.8919;0.8919;0.85;0.8517;0.85;0.8498;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 547};RandomForestClassifier(n_estimators=20, random_state=547)
23;RandomForestClassifier;0.8832;0.8836;0.8832;0.8832;0.8879;0.8887;0.8879;0.8878;0.85;0.8517;0.85;0.8498;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 5, 'random_state': 610};RandomForestClassifier(n_estimators=5, random_state=610)
24;RandomForestClassifier;0.8847;0.8852;0.8847;0.8846;0.8685;0.8685;0.8685;0.8684;0.85;0.8517;0.85;0.8498;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 5, 'random_state': 610};RandomForestClassifier(n_estimators=5, random_state=610)
26;RandomForestClassifier;0.8858;0.8862;0.8858;0.8857;0.8719;0.8722;0.8719;0.8719;0.85;0.8517;0.85;0.8498;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 869};RandomForestClassifier(n_estimators=10, random_state=869)
25;RandomForestClassifier;0.884;0.8842;0.884;0.8839;0.8852;0.886;0.8852;0.8852;0.85;0.8517;0.85;0.8498;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 610};RandomForestClassifier(n_estimators=20, random_state=610)
33;RandomForestClassifier;0.8855;0.8859;0.8855;0.8854;0.8699;0.8701;0.8699;0.8699;0.85;0.8517;0.85;0.8498;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 5, 'random_state': 547};RandomForestClassifier(n_estimators=5, random_state=547)
32;RandomForestClassifier;0.8816;0.8821;0.8816;0.8815;0.902;0.9024;0.902;0.902;0.85;0.8517;0.85;0.8498;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 869};RandomForestClassifier(n_estimators=20, random_state=869)
20;RandomForestClassifier;0.8856;0.886;0.8856;0.8855;0.8766;0.8766;0.8766;0.8766;0.85;0.8542;0.85;0.8506;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 610};RandomForestClassifier(n_estimators=10, random_state=610)
34;RandomForestClassifier;0.8858;0.8863;0.8858;0.8858;0.8753;0.8757;0.8753;0.8752;0.85;0.8517;0.85;0.8498;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 547};RandomForestClassifier(n_estimators=10, random_state=547)
