Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;Features;Folds;Hyper Params.;Model
DecisionTreeClassifier;0.28;0.26;0.28;0.2194;0.1667;0.0278;0.1667;0.0476;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'max_depth': 3, 'min_samples_leaf': 20, 'random_state': 532};DecisionTreeClassifier(max_depth=3, min_samples_leaf=20, random_state=532)
DecisionTreeClassifier;0.4;0.38;0.4;0.3056;0.1667;0.0333;0.1667;0.0556;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'max_depth': 3, 'min_samples_leaf': 5, 'random_state': 532};DecisionTreeClassifier(max_depth=3, min_samples_leaf=5, random_state=532)
DecisionTreeClassifier;0.381;0.2778;0.381;0.3185;0.4;0.1952;0.4;0.26;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'max_depth': 3, 'min_samples_leaf': 10, 'random_state': 862};DecisionTreeClassifier(max_depth=3, min_samples_leaf=10, random_state=862)
DecisionTreeClassifier;0.4286;0.373;0.4286;0.3778;0.4;0.2167;0.4;0.2714;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'max_depth': 3, 'min_samples_leaf': 10, 'random_state': 954};DecisionTreeClassifier(max_depth=3, min_samples_leaf=10, random_state=954)
DecisionTreeClassifier;0.2381;0.1905;0.2381;0.137;0.3;0.1417;0.3;0.1857;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'max_depth': 3, 'min_samples_leaf': 10, 'random_state': 954};DecisionTreeClassifier(max_depth=3, min_samples_leaf=10, random_state=954)
DecisionTreeClassifier;0.35;0.2306;0.35;0.2031;0.25;0.1333;0.25;0.1714;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'max_depth': 3, 'min_samples_leaf': 5, 'random_state': 82};DecisionTreeClassifier(max_depth=3, min_samples_leaf=5, random_state=82)
DecisionTreeClassifier;0.35;0.2681;0.35;0.3083;0.125;0.0833;0.125;0.1;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'max_depth': 3, 'min_samples_leaf': 5, 'random_state': 82};DecisionTreeClassifier(max_depth=3, min_samples_leaf=5, random_state=82)
DecisionTreeClassifier;0.08;0.04;0.08;0.04;0.4286;0.2262;0.4286;0.2857;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'max_depth': 3, 'min_samples_leaf': 5, 'random_state': 870};DecisionTreeClassifier(max_depth=3, min_samples_leaf=5, random_state=870)
DecisionTreeClassifier;0.24;0.22;0.24;0.1644;0.3333;0.1667;0.3333;0.2167;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'max_depth': 3, 'min_samples_leaf': 10, 'random_state': 870};DecisionTreeClassifier(max_depth=3, min_samples_leaf=10, random_state=870)
DecisionTreeClassifier;0.32;0.22;0.32;0.2422;0.3333;0.1111;0.3333;0.1667;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'max_depth': 3, 'min_samples_leaf': 20, 'random_state': 870};DecisionTreeClassifier(max_depth=3, min_samples_leaf=20, random_state=870)
DecisionTreeClassifier;0.52;0.5667;0.52;0.4467;0.1667;0.1111;0.1667;0.1333;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'max_depth': 3, 'min_samples_leaf': 5, 'random_state': 870};DecisionTreeClassifier(max_depth=3, min_samples_leaf=5, random_state=870)
DecisionTreeClassifier;0.25;0.2153;0.25;0.1875;0.5714;0.5429;0.5714;0.4966;0.1667;0.1667;0.1667;0.1667;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'max_depth': 3, 'min_samples_leaf': 5, 'random_state': 883};DecisionTreeClassifier(max_depth=3, min_samples_leaf=5, random_state=883)
SVC;0.125;0.1042;0.125;0.0778;0.4286;0.2571;0.4286;0.3061;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'C': 0.1, 'kernel': 'rbf', 'random_state': 63};SVC(C=0.1, random_state=63)
SVC;0.2917;0.2444;0.2917;0.2125;0.4286;0.4;0.4286;0.3537;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];4;{'C': 10, 'kernel': 'rbf', 'random_state': 524};SVC(C=10, random_state=524)
SVC;0.3417;0.1806;0.3417;0.1846;0.25;0.1333;0.25;0.1714;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'C': 0.1, 'kernel': 'linear', 'random_state': 63};SVC(C=0.1, kernel='linear', random_state=63)
RandomForestClassifier;0.2857;0.2143;0.2857;0.2259;0.3;0.1667;0.3;0.2133;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'n_estimators': 5, 'random_state': 881};RandomForestClassifier(n_estimators=5, random_state=881)
SVC;0.26;0.24;0.26;0.1778;0.1429;0.0204;0.1429;0.0357;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'C': 0.1, 'kernel': 'rbf', 'random_state': 668};SVC(C=0.1, random_state=668)
SVC;0.28;0.1987;0.28;0.1432;0.1667;0.1111;0.1667;0.1333;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'C': 10, 'kernel': 'rbf', 'random_state': 668};SVC(C=10, random_state=668)
SVC;0.36;0.2833;0.36;0.2354;0.0;0.0;0.0;0.0;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'C': 10, 'kernel': 'rbf', 'random_state': 668};SVC(C=10, random_state=668)
SVC;0.2;0.1147;0.2;0.1067;0.1667;0.0278;0.1667;0.0476;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'C': 0.1, 'kernel': 'rbf', 'random_state': 668};SVC(C=0.1, random_state=668)
RandomForestClassifier;0.1333;0.1292;0.1333;0.0764;0.625;0.6;0.625;0.5595;0.1667;0.1667;0.1667;0.1667;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'n_estimators': 5, 'random_state': 936};RandomForestClassifier(n_estimators=5, random_state=936)
SVC;0.1984;0.1601;0.1984;0.1087;0.3636;0.3636;0.3636;0.3325;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'C': 10, 'kernel': 'rbf', 'random_state': 831};SVC(C=10, random_state=831)
RandomForestClassifier;0.475;0.4472;0.475;0.375;0.125;0.0833;0.125;0.1;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'n_estimators': 10, 'random_state': 936};RandomForestClassifier(n_estimators=10, random_state=936)
SVC;0.3083;0.1882;0.3083;0.1846;0.375;0.1833;0.375;0.2429;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'C': 0.1, 'kernel': 'rbf', 'random_state': 797};SVC(C=0.1, random_state=797)
RandomForestClassifier;0.381;0.3603;0.381;0.279;0.3;0.325;0.3;0.2857;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity', 'O', 'C', 'E', 'A', 'N'];3;{'n_estimators': 20, 'random_state': 709};RandomForestClassifier(n_estimators=20, random_state=709)
RandomForestClassifier;0.4167;0.3819;0.4167;0.3389;0.2857;0.2381;0.2857;0.2571;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'n_estimators': 10, 'random_state': 936};RandomForestClassifier(n_estimators=10, random_state=936)
SVC;0.2917;0.1528;0.2917;0.1544;0.2857;0.1667;0.2857;0.2095;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'C': 10, 'kernel': 'rbf', 'random_state': 797};SVC(C=10, random_state=797)
SVC;0.29;0.2233;0.29;0.181;0.2857;0.1143;0.2857;0.1633;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'C': 10, 'kernel': 'rbf', 'random_state': 907};SVC(C=10, random_state=907)
RandomForestClassifier;0.4;0.3467;0.4;0.3144;0.1667;0.0833;0.1667;0.1111;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'n_estimators': 5, 'random_state': 45};RandomForestClassifier(n_estimators=5, random_state=45)
SVC;0.28;0.1933;0.28;0.1627;0.5;0.2778;0.5;0.35;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'C': 0.1, 'kernel': 'linear', 'random_state': 907};SVC(C=0.1, kernel='linear', random_state=907)
DecisionTreeClassifier;0.4762;0.373;0.4762;0.3778;0.1;0.05;0.1;0.0667;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'max_depth': 3, 'min_samples_leaf': 5, 'random_state': 325};DecisionTreeClassifier(max_depth=3, min_samples_leaf=5, random_state=325)
DecisionTreeClassifier;0.3;0.3;0.3;0.25;0.0;0.0;0.0;0.0;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'max_depth': 3, 'min_samples_leaf': 10, 'random_state': 883};DecisionTreeClassifier(max_depth=3, min_samples_leaf=10, random_state=883)
DecisionTreeClassifier;0.254;0.2302;0.254;0.1889;0.2727;0.1461;0.2727;0.187;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'max_depth': 3, 'min_samples_leaf': 10, 'random_state': 862};DecisionTreeClassifier(max_depth=3, min_samples_leaf=10, random_state=862)
DecisionTreeClassifier;0.3968;0.328;0.3968;0.2778;0.3636;0.1851;0.3636;0.2416;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'max_depth': 3, 'min_samples_leaf': 5, 'random_state': 954};DecisionTreeClassifier(max_depth=3, min_samples_leaf=5, random_state=954)
DecisionTreeClassifier;0.2083;0.1597;0.2083;0.1511;0.2857;0.1905;0.2857;0.2286;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'max_depth': 3, 'min_samples_leaf': 5, 'random_state': 637};DecisionTreeClassifier(max_depth=3, min_samples_leaf=5, random_state=637)
DecisionTreeClassifier;0.35;0.2243;0.35;0.2061;0.25;0.3;0.25;0.2381;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'max_depth': 3, 'min_samples_leaf': 5, 'random_state': 637};DecisionTreeClassifier(max_depth=3, min_samples_leaf=5, random_state=637)
DecisionTreeClassifier;0.36;0.33;0.36;0.2827;0.0;0.0;0.0;0.0;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'max_depth': 3, 'min_samples_leaf': 10, 'random_state': 898};DecisionTreeClassifier(max_depth=3, min_samples_leaf=10, random_state=898)
