Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;Features;Folds;Hyper Params.;Model
KNeighborsClassifier;0.4905;0.4355;0.4905;0.4391;0.8;0.8389;0.8;0.7781;0.6667;0.4667;0.6667;0.5417;over;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.2008;0.2077;0.2008;0.1854;0.8667;0.9333;0.8667;0.8556;0.6667;0.4667;0.6667;0.5417;smote;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.3933;0.3641;0.3933;0.3283;0.8333;0.8611;0.8333;0.8278;0.6667;0.4667;0.6667;0.5417;smote;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.5133;0.4591;0.5133;0.4383;0.6667;0.8333;0.6667;0.6444;0.6667;0.4667;0.6667;0.5417;mixed;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
KNeighborsClassifier;0.4156;0.3923;0.4156;0.3624;0.9167;0.9444;0.9167;0.9111;0.6667;0.4667;0.6667;0.5417;under;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.2527;0.2255;0.2527;0.2412;0.8;0.8625;0.8;0.7688;0.6667;0.4667;0.6667;0.5417;under;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.4356;0.3406;0.4356;0.3535;0.75;0.8333;0.75;0.75;0.6667;0.4667;0.6667;0.5417;mixed;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.3333;0.2691;0.3333;0.2847;0.8;0.8167;0.8;0.7937;0.6667;0.4667;0.6667;0.5417;over;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'metric': 'minkowski', 'n_neighbors': 9, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=9, weights='distance')
KNeighborsClassifier;0.4822;0.3859;0.4822;0.4222;0.75;0.6944;0.75;0.6889;0.6667;0.4667;0.6667;0.5417;over;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'metric': 'minkowski', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=7, weights='distance')
KNeighborsClassifier;0.4622;0.4056;0.4622;0.3889;1.0;1.0;1.0;1.0;0.6667;0.4667;0.6667;0.5417;over;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.4267;0.3787;0.4267;0.3449;0.9;0.925;0.9;0.8986;0.6667;0.4667;0.6667;0.5417;under;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.4432;0.3841;0.4432;0.3655;0.6667;0.52;0.6667;0.5651;0.6667;0.4667;0.6667;0.5417;mixed;['polarity', 'stress', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'metric': 'minkowski', 'n_neighbors': 9, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=9, weights='distance')
KNeighborsClassifier;0.42;0.3252;0.42;0.3811;0.8333;0.9167;0.8333;0.8333;0.6667;0.4667;0.6667;0.5417;under;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
