Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Model
RandomForestClassifier,0.9117,0.912,0.9117,0.9119,0.9398,0.94,0.9398,0.9399,0.9167,0.9245,0.9167,0.9181,0.9676,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C', 'A', 'N']",10,RandomForestClassifier()
RandomForestClassifier,0.9349,0.9363,0.9349,0.9349,0.932,0.934,0.932,0.9318,0.9167,0.9286,0.9167,0.9139,0.9905,smote,1000,no_scaled,"['storyPoints', 'polarity', 'stress', 'C', 'A', 'N']",10,RandomForestClassifier()
RandomForestClassifier,0.9507,0.9514,0.9507,0.9505,0.949,0.9496,0.949,0.9489,0.9,0.9073,0.9,0.899,0.9927,smote,1000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'C', 'A', 'N']",10,RandomForestClassifier()
MLPClassifier,0.9167,0.9204,0.9167,0.9172,0.9184,0.9221,0.9184,0.9185,0.9,0.9127,0.9,0.8977,0.9834,smote,1000,no_scaled,"['storyPoints', 'polarity', 'stress', 'C', 'A', 'N']",10,MLPClassifier()
RandomForestClassifier,0.851,0.8521,0.851,0.851,0.8399,0.8446,0.8399,0.8407,0.8833,0.8935,0.8833,0.8844,0.9471,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'C', 'A', 'N']",10,RandomForestClassifier()
DecisionTreeClassifier,0.9396,0.9404,0.9396,0.9396,0.9388,0.9387,0.9388,0.9387,0.8833,0.9016,0.8833,0.8797,0.9857,smote,1000,no_scaled,"['storyPoints', 'polarity', 'stress', 'C', 'A', 'N']",10,DecisionTreeClassifier()
KNeighborsClassifier,0.9083,0.909,0.9083,0.908,0.8709,0.8741,0.8709,0.8703,0.8667,0.873,0.8667,0.8686,0.9635,smote,1000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C', 'A', 'N']",10,KNeighborsClassifier()
KNeighborsClassifier,0.9074,0.91,0.9074,0.9073,0.8898,0.8916,0.8898,0.89,0.8667,0.8819,0.8667,0.868,0.9601,smote,1000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'C', 'A', 'N']",10,KNeighborsClassifier()
KNeighborsClassifier,0.8884,0.8895,0.8884,0.888,0.8864,0.8873,0.8864,0.8862,0.8667,0.8739,0.8667,0.8679,0.9594,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C', 'A', 'N']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.9213,0.9221,0.9213,0.9212,0.9405,0.9411,0.9405,0.9404,0.8667,0.8739,0.8667,0.8679,0.9409,smote,1000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'C', 'A', 'N']",10,DecisionTreeClassifier()
