Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Model
RandomForestClassifier,0.9804,0.9804,0.9804,0.9804,0.9805,0.9806,0.9805,0.9806,0.95,0.9516,0.95,0.9504,0.9951,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C', 'A', 'N']",10,RandomForestClassifier()
KNeighborsClassifier,0.9653,0.9653,0.9653,0.9652,0.9698,0.9698,0.9698,0.9698,0.9333,0.937,0.9333,0.9341,0.9916,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C', 'A', 'N']",10,KNeighborsClassifier()
MLPClassifier,0.9163,0.9176,0.9163,0.9164,0.9218,0.9244,0.9218,0.9224,0.9333,0.9349,0.9333,0.9337,0.9832,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C', 'A', 'N']",10,MLPClassifier()
RandomForestClassifier,0.9864,0.9865,0.9864,0.9864,0.99,0.9901,0.99,0.99,0.9333,0.934,0.9333,0.9333,0.9989,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'C', 'A', 'N']",10,RandomForestClassifier()
KNeighborsClassifier,0.9091,0.9094,0.9091,0.9092,0.9215,0.9216,0.9215,0.9215,0.9167,0.919,0.9167,0.9175,0.9743,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'C', 'A', 'N']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.9672,0.9673,0.9672,0.9672,0.9752,0.9752,0.9752,0.9752,0.9167,0.9174,0.9167,0.9166,0.9755,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C', 'A', 'N']",10,DecisionTreeClassifier()
DecisionTreeClassifier,0.9785,0.9785,0.9785,0.9785,0.9789,0.9789,0.9789,0.9789,0.9167,0.9194,0.9167,0.9165,0.9839,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'C', 'A', 'N']",10,DecisionTreeClassifier()
RandomForestClassifier,0.9129,0.9135,0.9129,0.9129,0.9185,0.9192,0.9185,0.9187,0.9,0.9048,0.9,0.9012,0.9792,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'C', 'A', 'N']",10,RandomForestClassifier()
DecisionTreeClassifier,0.9674,0.9675,0.9674,0.9674,0.9701,0.9702,0.9701,0.9702,0.9,0.9087,0.9,0.9009,0.9756,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C', 'A', 'N']",10,DecisionTreeClassifier()
RandomForestClassifier,0.98,0.98,0.98,0.98,0.9812,0.9812,0.9812,0.9812,0.8833,0.8875,0.8833,0.884,0.9952,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C', 'A', 'N']",10,RandomForestClassifier()
SVC,0.9157,0.9199,0.9157,0.9164,0.9235,0.9264,0.9235,0.924,0.8833,0.8862,0.8833,0.8836,0.9688,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C', 'A', 'N']",10,SVC(probability=True)
MLPClassifier,0.9575,0.9579,0.9575,0.9575,0.955,0.955,0.955,0.955,0.8833,0.884,0.8833,0.8833,0.9937,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C', 'A', 'N']",10,MLPClassifier()
SVC,0.9016,0.9051,0.9016,0.9023,0.9037,0.9053,0.9037,0.9041,0.8833,0.8842,0.8833,0.8823,0.9622,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C', 'A', 'N']",10,SVC(probability=True)
KNeighborsClassifier,0.9727,0.9728,0.9727,0.9727,0.9738,0.9739,0.9738,0.9738,0.8667,0.8664,0.8667,0.8662,0.9933,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C', 'A', 'N']",10,KNeighborsClassifier()
KNeighborsClassifier,0.9741,0.9742,0.9741,0.9741,0.9675,0.9676,0.9675,0.9675,0.8667,0.8677,0.8667,0.8661,0.9966,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'C', 'A', 'N']",10,KNeighborsClassifier()
RandomForestClassifier,0.8896,0.8896,0.8896,0.8895,0.8886,0.889,0.8886,0.8887,0.8667,0.8659,0.8667,0.8638,0.9751,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'C', 'A', 'N']",10,RandomForestClassifier()
