Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Model
RandomForestClassifier,0.8654,0.8695,0.8654,0.8662,0.8576,0.857,0.8576,0.8567,0.9167,0.9195,0.9167,0.917,0.9645,smote,500,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'C', 'A', 'N']",10,RandomForestClassifier()
RandomForestClassifier,0.941,0.9429,0.941,0.9411,0.9618,0.9622,0.9618,0.9619,0.9,0.9091,0.9,0.8995,0.9908,smote,500,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C', 'A', 'N']",10,RandomForestClassifier()
KNeighborsClassifier,0.8802,0.8832,0.8802,0.8803,0.8542,0.8531,0.8542,0.8528,0.8833,0.8944,0.8833,0.8836,0.9694,smote,500,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C', 'A', 'N']",10,KNeighborsClassifier()
RandomForestClassifier,0.8715,0.8744,0.8715,0.8721,0.8438,0.8461,0.8438,0.844,0.8833,0.886,0.8833,0.8832,0.9679,smote,500,MinMaxScaler,"['storyPoints', 'polarity_mean', 'C', 'A', 'N']",10,RandomForestClassifier()
DecisionTreeClassifier,0.9054,0.9083,0.9054,0.9054,0.9201,0.9204,0.9201,0.9197,0.8667,0.8849,0.8667,0.8684,0.9289,smote,500,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C', 'A', 'N']",10,DecisionTreeClassifier()
DecisionTreeClassifier,0.8091,0.8145,0.8091,0.8104,0.8472,0.8512,0.8472,0.8484,0.8667,0.8665,0.8667,0.8662,0.9317,smote,500,MinMaxScaler,"['storyPoints', 'polarity', 'C', 'A', 'N']",10,DecisionTreeClassifier()
KNeighborsClassifier,0.8384,0.8401,0.8384,0.8392,0.8264,0.834,0.8264,0.8286,0.85,0.8554,0.85,0.8504,0.9449,smote,500,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'C', 'A', 'N']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.8568,0.8624,0.8568,0.8572,0.8646,0.8673,0.8646,0.8645,0.85,0.8505,0.85,0.8489,0.9494,smote,500,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'C', 'A', 'N']",10,DecisionTreeClassifier()
RandomForestClassifier,0.8072,0.8086,0.8072,0.8054,0.8403,0.8422,0.8403,0.8403,0.85,0.849,0.85,0.8481,0.9479,smote,500,MinMaxScaler,"['storyPoints', 'polarity', 'C', 'A', 'N']",10,RandomForestClassifier()
MLPClassifier,0.8168,0.8241,0.8168,0.8177,0.816,0.8228,0.816,0.8183,0.8333,0.8387,0.8333,0.8317,0.9441,smote,500,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'C', 'A', 'N']",10,MLPClassifier()
