Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Model
KNeighborsClassifier,0.8943,0.8948,0.8943,0.8943,0.8978,0.8977,0.8978,0.8978,0.85,0.8565,0.85,0.8493,0.9667,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'C', 'A', 'N']",10,KNeighborsClassifier()
SVC,0.814,0.8174,0.814,0.8146,0.8046,0.8095,0.8046,0.8057,0.8333,0.8413,0.8333,0.834,0.9168,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'C', 'A', 'N']",10,SVC(probability=True)
RandomForestClassifier,0.8897,0.8915,0.8897,0.8902,0.8904,0.8916,0.8904,0.8904,0.8333,0.8365,0.8333,0.8339,0.977,smote,3000,no_scaled,"['storyPoints', 'polarity', 'stress', 'C', 'A', 'N']",10,RandomForestClassifier()
DecisionTreeClassifier,0.8769,0.8772,0.8769,0.8769,0.8877,0.8874,0.8877,0.8874,0.8333,0.8348,0.8333,0.8337,0.908,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'C', 'A', 'N']",10,DecisionTreeClassifier()
MLPClassifier,0.8263,0.8275,0.8263,0.8264,0.8192,0.8218,0.8192,0.8201,0.8333,0.8432,0.8333,0.8333,0.9469,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'C', 'A', 'N']",10,MLPClassifier()
RandomForestClassifier,0.904,0.9048,0.904,0.9041,0.9152,0.9153,0.9152,0.9153,0.8333,0.833,0.8333,0.8328,0.9736,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'C', 'A', 'N']",10,RandomForestClassifier()
MLPClassifier,0.8734,0.8753,0.8734,0.874,0.8776,0.8786,0.8776,0.878,0.8333,0.8354,0.8333,0.8313,0.9654,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'C', 'A', 'N']",10,MLPClassifier()
DecisionTreeClassifier,0.8943,0.8952,0.8943,0.8946,0.8831,0.8832,0.8831,0.8831,0.8167,0.8305,0.8167,0.8194,0.9775,smote,3000,no_scaled,"['storyPoints', 'polarity', 'stress', 'C', 'A', 'N']",10,DecisionTreeClassifier()
RandomForestClassifier,0.8592,0.8592,0.8592,0.8586,0.8602,0.86,0.8602,0.86,0.8167,0.8221,0.8167,0.818,0.966,smote,3000,no_scaled,"['storyPoints', 'polarity', 'C', 'A', 'N']",10,RandomForestClassifier()
SVC,0.822,0.836,0.822,0.8241,0.8186,0.8359,0.8186,0.8209,0.8167,0.8224,0.8167,0.8173,0.9316,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'C', 'A', 'N']",10,SVC(probability=True)
SVC,0.846,0.8492,0.846,0.8467,0.849,0.852,0.849,0.85,0.8167,0.8195,0.8167,0.8148,0.9141,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'C', 'A', 'N']",10,SVC(probability=True)
MLPClassifier,0.8656,0.8679,0.8656,0.8663,0.8574,0.8619,0.8574,0.8584,0.8167,0.8153,0.8167,0.8147,0.9639,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'C', 'A', 'N']",10,MLPClassifier()
DecisionTreeClassifier,0.8514,0.8518,0.8514,0.8514,0.8602,0.8606,0.8602,0.8603,0.8,0.8099,0.8,0.8027,0.9605,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'C', 'A', 'N']",10,DecisionTreeClassifier()
RandomForestClassifier,0.8533,0.854,0.8533,0.8533,0.8501,0.8507,0.8501,0.8503,0.8,0.8099,0.8,0.8027,0.9613,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'C', 'A', 'N']",10,RandomForestClassifier()
KNeighborsClassifier,0.8332,0.835,0.8332,0.8331,0.8125,0.82,0.8125,0.8123,0.8,0.8102,0.8,0.8014,0.9348,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'C', 'A', 'N']",10,KNeighborsClassifier()
