Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Hyper Params.,Model
DecisionTreeClassifier,0.8304,0.8474,0.8304,0.8347,0.8163,0.8366,0.8163,0.8191,0.8333,0.8342,0.8333,0.8323,0.9415,smote,1000,no_scaled,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 792}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=792)"
MLPClassifier,0.7934,0.8479,0.7934,0.7961,0.7857,0.812,0.7857,0.7878,0.8,0.8071,0.8,0.801,0.9256,smote,1000,no_scaled,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'max_iter': 100000, 'random_state': 484, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=484)"
RandomForestClassifier,0.8252,0.8413,0.8252,0.8284,0.818,0.8333,0.818,0.8221,0.8,0.8144,0.8,0.7981,0.9405,smote,1000,no_scaled,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'n_estimators': 5, 'random_state': 728}","RandomForestClassifier(n_estimators=5, random_state=728)"
LogisticRegression,0.8014,0.8283,0.8014,0.8049,0.8163,0.8443,0.8163,0.8196,0.8,0.8051,0.8,0.7977,0.9131,smote,1000,no_scaled,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'C': 0.1, 'penalty': 'l2', 'random_state': 386, 'solver': 'lbfgs'}","LogisticRegression(C=0.1, max_iter=100000, multi_class='multinomial',
                   random_state=386)"
KNeighborsClassifier,0.8189,0.8362,0.8189,0.823,0.8367,0.8756,0.8367,0.8365,0.7833,0.7915,0.7833,0.7803,0.9324,smote,1000,no_scaled,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 13, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=13, p=1,
                     weights='distance')"
DecisionTreeClassifier,0.8278,0.8457,0.8278,0.8293,0.8214,0.8381,0.8214,0.8243,0.7667,0.7897,0.7667,0.7637,0.9392,smote,1000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 781}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=781)"
MLPClassifier,0.787,0.8441,0.787,0.7892,0.8146,0.8362,0.8146,0.8183,0.75,0.7764,0.75,0.7426,0.9317,smote,1000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'max_iter': 100000, 'random_state': 256, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=256)"
RandomForestClassifier,0.8299,0.847,0.8299,0.8329,0.8248,0.8394,0.8248,0.8274,0.7333,0.743,0.7333,0.7288,0.9398,smote,1000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'n_estimators': 5, 'random_state': 209}","RandomForestClassifier(n_estimators=5, random_state=209)"
KNeighborsClassifier,0.8189,0.8342,0.8189,0.8215,0.8282,0.8404,0.8282,0.8312,0.7333,0.7479,0.7333,0.7252,0.9344,smote,1000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=11, p=1,
                     weights='distance')"
SVC,0.7951,0.8507,0.7951,0.7933,0.7755,0.8526,0.7755,0.7705,0.7167,0.7485,0.7167,0.7181,0.9085,smote,1000,no_scaled,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'C': 10, 'kernel': 'rbf', 'random_state': 548}","SVC(C=10, probability=True, random_state=548)"
LogisticRegression,0.7802,0.8139,0.7802,0.7856,0.7738,0.8062,0.7738,0.7802,0.7,0.7175,0.7,0.7014,0.9164,smote,1000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'C': 10, 'penalty': 'l2', 'random_state': 680, 'solver': 'lbfgs'}","LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=680)"
DecisionTreeClassifier,0.8219,0.8394,0.8219,0.8241,0.8401,0.8549,0.8401,0.8414,0.6833,0.7089,0.6833,0.6894,0.9429,smote,1000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 968}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=968)"
SVC,0.801,0.865,0.801,0.7991,0.7857,0.8658,0.7857,0.787,0.6833,0.756,0.6833,0.6677,0.9175,smote,1000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'C': 10, 'kernel': 'rbf', 'random_state': 24}","SVC(C=10, probability=True, random_state=24)"
LogisticRegression,0.7772,0.8434,0.7772,0.7766,0.7653,0.8487,0.7653,0.7656,0.6667,0.6965,0.6667,0.666,0.9154,smote,1000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'C': 10, 'penalty': 'l2', 'random_state': 775, 'solver': 'lbfgs'}","LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=775)"
RandomForestClassifier,0.8278,0.8459,0.8278,0.8315,0.8367,0.8578,0.8367,0.8406,0.6667,0.6594,0.6667,0.6578,0.9405,smote,1000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'n_estimators': 10, 'random_state': 905}","RandomForestClassifier(n_estimators=10, random_state=905)"
KNeighborsClassifier,0.8248,0.8424,0.8248,0.8275,0.8044,0.8159,0.8044,0.8081,0.6667,0.6671,0.6667,0.6572,0.9294,smote,1000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'metric': 'minkowski', 'n_neighbors': 11, 'weights': 'distance'}","KNeighborsClassifier(n_neighbors=11, weights='distance')"
MLPClassifier,0.7828,0.8288,0.7828,0.7849,0.7755,0.86,0.7755,0.7732,0.6333,0.6843,0.6333,0.6262,0.9321,smote,1000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'max_iter': 100000, 'random_state': 93, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=93)"
SVC,0.7853,0.8428,0.7853,0.7826,0.8095,0.8651,0.8095,0.809,0.6333,0.7284,0.6333,0.6077,0.909,smote,1000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'E']",10,"{'C': 10, 'kernel': 'rbf', 'random_state': 326}","SVC(C=10, probability=True, random_state=326)"
