Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Model
RandomForestClassifier,0.9849,0.9849,0.9849,0.9849,0.9815,0.9816,0.9815,0.9816,0.95,0.9516,0.95,0.9504,0.996,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
KNeighborsClassifier,0.9675,0.9675,0.9675,0.9674,0.9631,0.9632,0.9631,0.9631,0.9333,0.937,0.9333,0.9341,0.9931,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,KNeighborsClassifier()
KNeighborsClassifier,0.9735,0.9736,0.9735,0.9735,0.9725,0.9725,0.9725,0.9724,0.9333,0.934,0.9333,0.9333,0.9945,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,KNeighborsClassifier()
RandomForestClassifier,0.9233,0.9241,0.9233,0.9236,0.9212,0.9218,0.9212,0.9214,0.9167,0.9212,0.9167,0.9174,0.9832,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
RandomForestClassifier,0.9903,0.9903,0.9903,0.9903,0.993,0.993,0.993,0.993,0.9167,0.9195,0.9167,0.917,0.9997,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
SVC,0.9067,0.9101,0.9067,0.9074,0.9114,0.9145,0.9114,0.912,0.9167,0.9174,0.9167,0.9166,0.9646,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,SVC(probability=True)
MLPClassifier,0.927,0.9284,0.927,0.9272,0.9158,0.9161,0.9158,0.9157,0.9167,0.9165,0.9167,0.9162,0.9853,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,MLPClassifier()
DecisionTreeClassifier,0.9711,0.9711,0.9711,0.9711,0.9708,0.9708,0.9708,0.9708,0.9167,0.9165,0.9167,0.9162,0.9783,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,DecisionTreeClassifier()
SVC,0.9175,0.9224,0.9175,0.9182,0.9181,0.9222,0.9181,0.9186,0.9167,0.9205,0.9167,0.916,0.9711,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,SVC(probability=True)
DecisionTreeClassifier,0.9713,0.9714,0.9713,0.9713,0.9779,0.9779,0.9779,0.9779,0.9,0.9087,0.9,0.9009,0.9785,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,DecisionTreeClassifier()
RandomForestClassifier,0.9831,0.9831,0.9831,0.9831,0.9856,0.9856,0.9856,0.9856,0.9,0.9,0.9,0.9,0.9962,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
MLPClassifier,0.965,0.9652,0.965,0.965,0.9691,0.9691,0.9691,0.9691,0.9,0.9,0.9,0.9,0.9944,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,MLPClassifier()
KNeighborsClassifier,0.9131,0.9139,0.9131,0.9134,0.9171,0.917,0.9171,0.9171,0.8833,0.8905,0.8833,0.8846,0.9766,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,KNeighborsClassifier()
RandomForestClassifier,0.8911,0.892,0.8911,0.8916,0.895,0.896,0.895,0.8952,0.8833,0.8848,0.8833,0.8837,0.9755,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
SVC,0.8447,0.8642,0.8447,0.8472,0.8601,0.8756,0.8601,0.8623,0.8667,0.8917,0.8667,0.8699,0.9338,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,SVC(probability=True)
DecisionTreeClassifier,0.9127,0.913,0.9127,0.9127,0.9056,0.9066,0.9056,0.906,0.8667,0.8724,0.8667,0.8662,0.9352,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,DecisionTreeClassifier()
DecisionTreeClassifier,0.9066,0.9069,0.9066,0.9067,0.9064,0.9067,0.9064,0.9064,0.8667,0.8699,0.8667,0.8659,0.9308,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,DecisionTreeClassifier()
KNeighborsClassifier,0.8821,0.8855,0.8821,0.8822,0.8598,0.8677,0.8598,0.8598,0.85,0.8557,0.85,0.8514,0.9547,smote,5000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,KNeighborsClassifier()
MLPClassifier,0.8741,0.8773,0.8741,0.875,0.8688,0.8682,0.8688,0.8683,0.85,0.8564,0.85,0.8508,0.9662,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,MLPClassifier()
