Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Model
RandomForestClassifier,0.978,0.9782,0.978,0.9781,0.9832,0.9833,0.9832,0.9832,0.95,0.9499,0.95,0.9496,0.9982,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
DecisionTreeClassifier,0.9641,0.9642,0.9641,0.9641,0.9676,0.9676,0.9676,0.9676,0.9333,0.9345,0.9333,0.9324,0.973,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,DecisionTreeClassifier()
RandomForestClassifier,0.9671,0.9673,0.9671,0.9671,0.9674,0.9676,0.9674,0.9674,0.9167,0.9259,0.9167,0.9171,0.99,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
KNeighborsClassifier,0.9476,0.9486,0.9476,0.9475,0.9491,0.9493,0.9491,0.949,0.9167,0.9205,0.9167,0.916,0.9881,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,KNeighborsClassifier()
SVC,0.8989,0.9024,0.8989,0.8989,0.9074,0.9098,0.9074,0.9074,0.9,0.9021,0.9,0.8999,0.9689,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,SVC(probability=True)
DecisionTreeClassifier,0.8984,0.8988,0.8984,0.8984,0.9027,0.9036,0.9027,0.9029,0.9,0.9089,0.9,0.8991,0.9249,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,DecisionTreeClassifier()
MLPClassifier,0.9281,0.9306,0.9281,0.9281,0.9304,0.9333,0.9304,0.9305,0.8833,0.9035,0.8833,0.8844,0.9848,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,MLPClassifier()
KNeighborsClassifier,0.9448,0.9451,0.9448,0.9448,0.9613,0.9613,0.9613,0.9612,0.8833,0.8862,0.8833,0.8836,0.9838,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,KNeighborsClassifier()
RandomForestClassifier,0.8765,0.877,0.8765,0.8765,0.8915,0.8915,0.8915,0.8914,0.8833,0.884,0.8833,0.8833,0.9768,smote,3000,no_scaled,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
RandomForestClassifier,0.9652,0.9654,0.9652,0.9652,0.9798,0.9798,0.9798,0.9798,0.8833,0.8982,0.8833,0.8832,0.9909,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
KNeighborsClassifier,0.9003,0.902,0.9003,0.9006,0.8932,0.8958,0.8932,0.8936,0.8833,0.8897,0.8833,0.8819,0.9731,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,KNeighborsClassifier()
KNeighborsClassifier,0.9263,0.9271,0.9263,0.9266,0.927,0.9267,0.927,0.9268,0.8833,0.8883,0.8833,0.881,0.978,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,KNeighborsClassifier()
RandomForestClassifier,0.9315,0.9322,0.9315,0.9312,0.9315,0.9316,0.9315,0.9313,0.8833,0.9016,0.8833,0.8797,0.9878,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
DecisionTreeClassifier,0.9532,0.9534,0.9532,0.9532,0.9506,0.9506,0.9506,0.9506,0.8667,0.8779,0.8667,0.8677,0.965,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,DecisionTreeClassifier()
RandomForestClassifier,0.9144,0.9147,0.9144,0.9144,0.8995,0.9,0.8995,0.8996,0.8667,0.8759,0.8667,0.8668,0.9783,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
MLPClassifier,0.9311,0.9329,0.9311,0.9309,0.9388,0.9401,0.9388,0.9389,0.8667,0.8759,0.8667,0.8668,0.9876,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,MLPClassifier()
KNeighborsClassifier,0.8673,0.8698,0.8673,0.8673,0.8523,0.8554,0.8523,0.8519,0.8667,0.875,0.8667,0.8668,0.9582,smote,3000,no_scaled,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.8835,0.8845,0.8835,0.8835,0.8876,0.8885,0.8876,0.8874,0.8667,0.8667,0.8667,0.8667,0.9759,smote,3000,no_scaled,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,DecisionTreeClassifier()
RandomForestClassifier,0.9265,0.9269,0.9265,0.9265,0.9206,0.9206,0.9206,0.9205,0.8667,0.8821,0.8667,0.8664,0.9848,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
MLPClassifier,0.8635,0.8658,0.8635,0.8634,0.8658,0.872,0.8658,0.8661,0.8667,0.8738,0.8667,0.8658,0.9706,smote,3000,no_scaled,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,MLPClassifier()
SVC,0.8955,0.8987,0.8955,0.8955,0.9074,0.9091,0.9074,0.9074,0.85,0.8634,0.85,0.8505,0.9605,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,SVC(probability=True)
