Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Model
RandomForestClassifier,0.9251,0.9258,0.9251,0.9252,0.9466,0.9466,0.9466,0.9466,0.9333,0.934,0.9333,0.9333,0.9769,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
DecisionTreeClassifier,0.8824,0.8839,0.8824,0.8827,0.883,0.8845,0.883,0.8831,0.9167,0.9174,0.9167,0.9166,0.9118,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,DecisionTreeClassifier()
KNeighborsClassifier,0.912,0.9131,0.912,0.9119,0.8912,0.8907,0.8912,0.8907,0.9,0.9006,0.9,0.8999,0.9806,smote,1000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,KNeighborsClassifier()
RandomForestClassifier,0.9643,0.965,0.9643,0.9644,0.9711,0.9714,0.9711,0.9712,0.9,0.9006,0.9,0.8999,0.9961,smote,1000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
MLPClassifier,0.8962,0.8972,0.8962,0.8963,0.9122,0.9124,0.9122,0.9122,0.8833,0.8832,0.8833,0.8829,0.9662,smote,1000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,MLPClassifier()
KNeighborsClassifier,0.8975,0.8991,0.8975,0.8975,0.9019,0.902,0.9019,0.9019,0.8833,0.8873,0.8833,0.8826,0.9621,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.8899,0.8912,0.8899,0.8897,0.8861,0.886,0.8861,0.8848,0.8667,0.8664,0.8667,0.8662,0.9173,smote,1000,no_scaled,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,DecisionTreeClassifier()
DecisionTreeClassifier,0.9443,0.9448,0.9443,0.9443,0.9405,0.9406,0.9405,0.9405,0.8667,0.8656,0.8667,0.8658,0.9582,smote,1000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,DecisionTreeClassifier()
KNeighborsClassifier,0.9014,0.9026,0.9014,0.9016,0.8985,0.8988,0.8985,0.8982,0.85,0.8541,0.85,0.851,0.965,smote,1000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,KNeighborsClassifier()
RandomForestClassifier,0.8656,0.8681,0.8656,0.8659,0.8795,0.8796,0.8795,0.8795,0.85,0.8519,0.85,0.8498,0.9565,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
RandomForestClassifier,0.8941,0.9003,0.8941,0.8947,0.8827,0.885,0.8827,0.8828,0.85,0.8524,0.85,0.8497,0.9736,smote,1000,no_scaled,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
DecisionTreeClassifier,0.889,0.8944,0.889,0.8902,0.8861,0.8965,0.8861,0.8871,0.8333,0.8379,0.8333,0.8333,0.9682,smote,1000,no_scaled,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,DecisionTreeClassifier()
KNeighborsClassifier,0.8545,0.8566,0.8545,0.8551,0.8107,0.8106,0.8107,0.8106,0.8333,0.833,0.8333,0.8328,0.9481,smote,1000,StandardScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,KNeighborsClassifier()
KNeighborsClassifier,0.8665,0.8694,0.8665,0.867,0.8588,0.8619,0.8588,0.8599,0.8167,0.8181,0.8167,0.817,0.9609,smote,1000,no_scaled,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,KNeighborsClassifier()
MLPClassifier,0.8478,0.8554,0.8478,0.8485,0.8367,0.8484,0.8367,0.8387,0.8167,0.842,0.8167,0.8169,0.9644,smote,1000,no_scaled,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,MLPClassifier()
RandomForestClassifier,0.8512,0.8575,0.8512,0.8524,0.8673,0.8735,0.8673,0.8686,0.8167,0.8166,0.8167,0.8156,0.9586,smote,1000,no_scaled,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
RandomForestClassifier,0.9039,0.906,0.9039,0.904,0.9048,0.9046,0.9048,0.9046,0.8167,0.8148,0.8167,0.8147,0.9789,smote,1000,no_scaled,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
KNeighborsClassifier,0.8431,0.8448,0.8431,0.8431,0.8418,0.8457,0.8418,0.8434,0.8167,0.8153,0.8167,0.8147,0.9471,smote,1000,no_scaled,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,KNeighborsClassifier()
SVC,0.8213,0.8271,0.8213,0.8221,0.8193,0.8213,0.8193,0.8199,0.8,0.8276,0.8,0.8029,0.9008,smote,1000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,SVC(probability=True)
RandomForestClassifier,0.8678,0.8716,0.8678,0.8678,0.8623,0.8622,0.8623,0.8622,0.8,0.8171,0.8,0.8028,0.9538,smote,1000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
KNeighborsClassifier,0.8282,0.8315,0.8282,0.8286,0.8744,0.8775,0.8744,0.875,0.8,0.8102,0.8,0.8014,0.9332,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.8583,0.8635,0.8583,0.8588,0.8761,0.8778,0.8761,0.8765,0.8,0.8109,0.8,0.8014,0.9466,smote,1000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,DecisionTreeClassifier()
RandomForestClassifier,0.9337,0.9345,0.9337,0.9337,0.9225,0.9241,0.9225,0.9227,0.8,0.8038,0.8,0.801,0.9766,smote,1000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
MLPClassifier,0.8294,0.8341,0.8294,0.8305,0.8107,0.8178,0.8107,0.8127,0.8,0.8093,0.8,0.8,0.9422,smote,1000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,MLPClassifier()
DecisionTreeClassifier,0.8777,0.8805,0.8777,0.8776,0.9174,0.9184,0.9174,0.9176,0.8,0.8005,0.8,0.7999,0.9082,smote,1000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,DecisionTreeClassifier()
DecisionTreeClassifier,0.8484,0.8507,0.8484,0.8484,0.8468,0.8469,0.8468,0.8468,0.8,0.8005,0.8,0.7999,0.8862,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,DecisionTreeClassifier()
DecisionTreeClassifier,0.8627,0.8677,0.8627,0.8635,0.8418,0.8565,0.8418,0.8444,0.8,0.8005,0.8,0.7999,0.9575,smote,1000,no_scaled,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,DecisionTreeClassifier()
KNeighborsClassifier,0.8342,0.8383,0.8342,0.8351,0.8146,0.8152,0.8146,0.8148,0.8,0.7991,0.8,0.7966,0.9353,smote,1000,no_scaled,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,KNeighborsClassifier()
KNeighborsClassifier,0.8424,0.846,0.8424,0.8423,0.8485,0.8499,0.8485,0.848,0.7833,0.7963,0.7833,0.7863,0.934,smote,1000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.8329,0.8398,0.8329,0.8331,0.8158,0.8201,0.8158,0.8169,0.7833,0.7972,0.7833,0.785,0.937,smote,1000,MinMaxScaler,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,DecisionTreeClassifier()
RandomForestClassifier,0.8368,0.8406,0.8368,0.8374,0.8503,0.8532,0.8503,0.851,0.7833,0.7912,0.7833,0.7848,0.939,smote,1000,MinMaxScaler,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
KNeighborsClassifier,0.8075,0.8155,0.8075,0.8081,0.7883,0.792,0.7883,0.7894,0.7833,0.7912,0.7833,0.7848,0.9182,smote,1000,MinMaxScaler,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,KNeighborsClassifier()
RandomForestClassifier,0.8799,0.8816,0.8799,0.88,0.8537,0.855,0.8537,0.8541,0.7833,0.7816,0.7833,0.7812,0.96,smote,1000,StandardScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
MLPClassifier,0.8454,0.8512,0.8454,0.8469,0.8348,0.84,0.8348,0.8362,0.7833,0.784,0.7833,0.7772,0.9446,smote,1000,StandardScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,MLPClassifier()
SVC,0.7468,0.7765,0.7468,0.7459,0.7298,0.7624,0.7298,0.7298,0.7667,0.7884,0.7667,0.7668,0.8837,smote,1000,MinMaxScaler,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,SVC(probability=True)
LogisticRegression,0.7993,0.8048,0.7993,0.8004,0.778,0.7789,0.778,0.7779,0.7667,0.7798,0.7667,0.7654,0.907,smote,1000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
MLPClassifier,0.8411,0.8478,0.8411,0.8422,0.8382,0.8418,0.8382,0.8391,0.7667,0.7749,0.7667,0.7647,0.9474,smote,1000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,MLPClassifier()
SVC,0.8579,0.8603,0.8579,0.8577,0.8262,0.8248,0.8262,0.825,0.7667,0.7667,0.7667,0.7644,0.9402,smote,1000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,SVC(probability=True)
