Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Model
KNeighborsClassifier,0.9028,0.9036,0.9028,0.9029,0.9135,0.9142,0.9135,0.9138,0.85,0.8517,0.85,0.8498,0.9729,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,KNeighborsClassifier()
RandomForestClassifier,0.9114,0.9122,0.9114,0.9117,0.9163,0.9173,0.9163,0.9167,0.8333,0.8608,0.8333,0.8356,0.9776,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
KNeighborsClassifier,0.9174,0.9185,0.9174,0.9177,0.9251,0.9263,0.9251,0.9254,0.8333,0.8405,0.8333,0.8338,0.9777,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,KNeighborsClassifier()
MLPClassifier,0.8889,0.8915,0.8889,0.8894,0.8978,0.8996,0.8978,0.8983,0.8333,0.8348,0.8333,0.8337,0.9721,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,MLPClassifier()
MLPClassifier,0.8676,0.8714,0.8676,0.8674,0.8557,0.8647,0.8557,0.8537,0.8333,0.8424,0.8333,0.8336,0.9706,smote,3000,no_scaled,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,MLPClassifier()
MLPClassifier,0.8254,0.83,0.8254,0.8247,0.8384,0.8362,0.8384,0.8356,0.8333,0.8379,0.8333,0.8333,0.9512,smote,3000,no_scaled,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,MLPClassifier()
KNeighborsClassifier,0.9021,0.9031,0.9021,0.9024,0.9079,0.9082,0.9079,0.908,0.8333,0.8379,0.8333,0.8333,0.9712,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.8561,0.8575,0.8561,0.8561,0.863,0.8646,0.863,0.8633,0.8167,0.8239,0.8167,0.8189,0.961,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,DecisionTreeClassifier()
KNeighborsClassifier,0.8406,0.8453,0.8406,0.8417,0.8282,0.8321,0.8282,0.8295,0.8167,0.8315,0.8167,0.8181,0.9401,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,KNeighborsClassifier()
MLPClassifier,0.834,0.8376,0.834,0.8346,0.8383,0.8516,0.8383,0.8408,0.8167,0.8224,0.8167,0.8173,0.952,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,MLPClassifier()
