Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Model
RandomForestClassifier,0.9022,0.9081,0.9022,0.9025,0.8188,0.8215,0.8188,0.8176,0.9333,0.937,0.9333,0.9341,0.9719,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
KNeighborsClassifier,0.79,0.8126,0.79,0.7906,0.8188,0.82,0.8188,0.8187,0.9,0.9015,0.9,0.9004,0.8954,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,KNeighborsClassifier()
RandomForestClassifier,0.9185,0.9234,0.9185,0.9178,0.913,0.9212,0.913,0.913,0.8833,0.8966,0.8833,0.8819,0.9877,smote,250,StandardScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
RandomForestClassifier,0.8316,0.8352,0.8316,0.8303,0.8623,0.8623,0.8623,0.8623,0.8667,0.873,0.8667,0.8675,0.941,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
KNeighborsClassifier,0.7537,0.7691,0.7537,0.7536,0.7246,0.7323,0.7246,0.7263,0.8667,0.8709,0.8667,0.8673,0.9008,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.7988,0.8058,0.7988,0.798,0.8333,0.8386,0.8333,0.8327,0.8667,0.869,0.8667,0.8664,0.849,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,DecisionTreeClassifier()
KNeighborsClassifier,0.8894,0.8942,0.8894,0.8895,0.8768,0.885,0.8768,0.8739,0.8667,0.8677,0.8667,0.8645,0.9607,smote,250,StandardScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,KNeighborsClassifier()
SVC,0.8751,0.8862,0.8751,0.8715,0.8696,0.8843,0.8696,0.8691,0.85,0.8827,0.85,0.8535,0.9377,smote,250,StandardScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,SVC(probability=True)
MLPClassifier,0.8876,0.894,0.8876,0.8864,0.8986,0.9018,0.8986,0.8968,0.85,0.8752,0.85,0.8517,0.9684,smote,250,StandardScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,MLPClassifier()
KNeighborsClassifier,0.7645,0.7758,0.7645,0.763,0.7029,0.7051,0.7029,0.7014,0.85,0.8564,0.85,0.8508,0.9147,smote,250,StandardScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.8314,0.8353,0.8314,0.8304,0.8913,0.8933,0.8913,0.8907,0.85,0.8517,0.85,0.8498,0.8736,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,DecisionTreeClassifier()
KNeighborsClassifier,0.8805,0.8925,0.8805,0.879,0.8696,0.8747,0.8696,0.8705,0.85,0.8558,0.85,0.8495,0.9661,smote,250,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.9203,0.9252,0.9203,0.9199,0.9058,0.912,0.9058,0.9049,0.8333,0.8339,0.8333,0.8333,0.9619,smote,250,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,DecisionTreeClassifier()
KNeighborsClassifier,0.8186,0.8295,0.8186,0.8145,0.8261,0.8498,0.8261,0.8277,0.8333,0.8432,0.8333,0.8333,0.922,smote,250,MinMaxScaler,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,KNeighborsClassifier()
MLPClassifier,0.8586,0.8751,0.8586,0.858,0.8623,0.8671,0.8623,0.8624,0.8333,0.8369,0.8333,0.8328,0.9573,smote,250,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,MLPClassifier()
RandomForestClassifier,0.9185,0.9232,0.9185,0.9181,0.9275,0.9373,0.9275,0.9273,0.8333,0.8387,0.8333,0.8317,0.9838,smote,250,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
RandomForestClassifier,0.8352,0.8416,0.8352,0.835,0.8623,0.8646,0.8623,0.8619,0.8167,0.8214,0.8167,0.8181,0.9581,smote,250,MinMaxScaler,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
DecisionTreeClassifier,0.8443,0.8484,0.8443,0.8428,0.8188,0.8349,0.8188,0.8151,0.8167,0.8234,0.8167,0.8178,0.9359,smote,250,MinMaxScaler,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,DecisionTreeClassifier()
RandomForestClassifier,0.8932,0.8989,0.8932,0.8929,0.9203,0.9219,0.9203,0.9206,0.8167,0.8224,0.8167,0.8173,0.9703,smote,250,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
RandomForestClassifier,0.8008,0.8123,0.8008,0.8001,0.8623,0.8656,0.8623,0.8626,0.8167,0.8409,0.8167,0.8171,0.9397,smote,250,StandardScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
SVC,0.7883,0.8168,0.7883,0.7863,0.8406,0.857,0.8406,0.8412,0.8167,0.842,0.8167,0.8169,0.8985,smote,250,MinMaxScaler,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,SVC(probability=True)
MLPClassifier,0.7988,0.8224,0.7988,0.7984,0.7971,0.8376,0.7971,0.7955,0.8167,0.842,0.8167,0.8169,0.9193,smote,250,MinMaxScaler,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,MLPClassifier()
RandomForestClassifier,0.9239,0.9291,0.9239,0.9233,0.9348,0.9395,0.9348,0.9359,0.8167,0.8248,0.8167,0.8165,0.9842,smote,250,no_scaled,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
SVC,0.8462,0.8638,0.8462,0.8458,0.8696,0.8764,0.8696,0.8709,0.8167,0.8171,0.8167,0.8144,0.929,smote,250,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,SVC(probability=True)
MLPClassifier,0.8278,0.8382,0.8278,0.8277,0.8116,0.8353,0.8116,0.8154,0.8,0.8125,0.8,0.8005,0.941,smote,250,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,MLPClassifier()
RandomForestClassifier,0.8316,0.8411,0.8316,0.8312,0.8913,0.8915,0.8913,0.8912,0.8,0.8235,0.8,0.7993,0.9585,smote,250,StandardScaler,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
LogisticRegression,0.7953,0.8182,0.7953,0.7937,0.7899,0.809,0.7899,0.7924,0.8,0.8018,0.8,0.7986,0.9186,smote,250,no_scaled,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
DecisionTreeClassifier,0.9257,0.9322,0.9257,0.9259,0.9058,0.9056,0.9058,0.9056,0.7833,0.7905,0.7833,0.7838,0.9637,smote,250,no_scaled,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,DecisionTreeClassifier()
