Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Hyper Params.,Model
KNeighborsClassifier,0.8776,0.8814,0.8776,0.8784,0.8845,0.8864,0.8845,0.8851,0.8,0.8458,0.8,0.8033,0.9605,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}","KNeighborsClassifier(metric='manhattan', p=1)"
DecisionTreeClassifier,0.8604,0.8633,0.8604,0.8612,0.8604,0.863,0.8604,0.8612,0.7667,0.7848,0.7667,0.7683,0.9606,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 384}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=384)"
RandomForestClassifier,0.8817,0.8831,0.8817,0.8822,0.8745,0.8764,0.8745,0.875,0.7667,0.7655,0.7667,0.7657,0.966,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'E']",10,"{'n_estimators': 20, 'random_state': 294}","RandomForestClassifier(n_estimators=20, random_state=294)"
RandomForestClassifier,0.8805,0.8821,0.8805,0.8806,0.8812,0.8821,0.8812,0.8815,0.75,0.7848,0.75,0.7554,0.9655,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'n_estimators': 20, 'random_state': 411}","RandomForestClassifier(n_estimators=20, random_state=411)"
DecisionTreeClassifier,0.8631,0.8656,0.8631,0.8633,0.8558,0.8597,0.8558,0.8559,0.75,0.75,0.75,0.75,0.9607,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 55}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=55)"
KNeighborsClassifier,0.8837,0.8866,0.8837,0.8843,0.8829,0.8843,0.8829,0.8833,0.7333,0.7363,0.7333,0.7345,0.9607,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}","KNeighborsClassifier(metric='manhattan', p=1)"
RandomForestClassifier,0.8768,0.8784,0.8768,0.8773,0.8819,0.8837,0.8819,0.8822,0.7333,0.7409,0.7333,0.73,0.965,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'n_estimators': 20, 'random_state': 427}","RandomForestClassifier(n_estimators=20, random_state=427)"
KNeighborsClassifier,0.8831,0.8866,0.8831,0.8842,0.8815,0.8856,0.8815,0.8825,0.7167,0.7359,0.7167,0.7128,0.9666,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}","KNeighborsClassifier(metric='manhattan', n_neighbors=7, p=1)"
MLPClassifier,0.7665,0.7727,0.7665,0.7642,0.7938,0.7929,0.7938,0.7925,0.7,0.72,0.7,0.6902,0.9227,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'max_iter': 100000, 'random_state': 354, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=354)"
SVC,0.7026,0.713,0.7026,0.7059,0.7075,0.7157,0.7075,0.7103,0.65,0.7056,0.65,0.653,0.8799,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'C': 10, 'kernel': 'rbf', 'random_state': 308}","SVC(C=10, probability=True, random_state=308)"
LogisticRegression,0.6997,0.6999,0.6997,0.6996,0.6894,0.6902,0.6894,0.6898,0.65,0.686,0.65,0.6463,0.8702,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'C': 1, 'penalty': 'l2', 'random_state': 444, 'solver': 'lbfgs'}","LogisticRegression(C=1, max_iter=100000, multi_class='multinomial',
                   random_state=444)"
DecisionTreeClassifier,0.8609,0.8636,0.8609,0.8612,0.8641,0.8677,0.8641,0.8647,0.6333,0.6328,0.6333,0.632,0.9621,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 460}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=460)"
MLPClassifier,0.7665,0.7733,0.7665,0.7655,0.7597,0.7695,0.7597,0.7627,0.6167,0.622,0.6167,0.6173,0.923,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'max_iter': 100000, 'random_state': 720, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=720)"
SVC,0.7036,0.7119,0.7036,0.7064,0.7011,0.7101,0.7011,0.7041,0.5833,0.6071,0.5833,0.5791,0.8792,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'C': 10, 'kernel': 'rbf', 'random_state': 17}","SVC(C=10, probability=True, random_state=17)"
SVC,0.7019,0.7124,0.7019,0.7052,0.6884,0.7013,0.6884,0.6927,0.5667,0.5635,0.5667,0.5648,0.8807,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'E']",10,"{'C': 10, 'kernel': 'rbf', 'random_state': 305}","SVC(C=10, probability=True, random_state=305)"
LogisticRegression,0.6972,0.6967,0.6972,0.6966,0.7005,0.6985,0.7005,0.6995,0.5667,0.5521,0.5667,0.5547,0.8697,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'E']",10,"{'C': 10, 'penalty': 'l2', 'random_state': 527, 'solver': 'lbfgs'}","LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=527)"
LogisticRegression,0.6958,0.6955,0.6958,0.695,0.7031,0.7044,0.7031,0.7037,0.55,0.5667,0.55,0.5429,0.8693,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'C': 10, 'penalty': 'l2', 'random_state': 325, 'solver': 'lbfgs'}","LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=325)"
MLPClassifier,0.7415,0.7462,0.7415,0.7413,0.6841,0.6884,0.6841,0.686,0.5333,0.5139,0.5333,0.5171,0.9026,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'E']",10,"{'max_iter': 100000, 'random_state': 348, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=348)"
