Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Hyper Params.,Model
KNeighborsClassifier,0.8299,0.8358,0.8299,0.83,0.8438,0.847,0.8438,0.8448,0.75,0.7765,0.75,0.7519,0.9464,smote,500,StandardScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 13, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=13, p=1,
                     weights='distance')"
RandomForestClassifier,0.8308,0.8339,0.8308,0.8302,0.8438,0.8439,0.8438,0.8438,0.75,0.77,0.75,0.7504,0.9357,smote,500,StandardScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'n_estimators': 10, 'random_state': 621}","RandomForestClassifier(n_estimators=10, random_state=621)"
DecisionTreeClassifier,0.7968,0.8111,0.7968,0.7996,0.7674,0.7882,0.7674,0.7671,0.7333,0.754,0.7333,0.7288,0.9246,smote,500,MinMaxScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 880}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=880)"
RandomForestClassifier,0.8489,0.8521,0.8489,0.8482,0.8333,0.8444,0.8333,0.835,0.7167,0.7203,0.7167,0.7166,0.9285,smote,500,no_scaled,"['storyPoints', 'polarity_mean', 'E']",10,"{'n_estimators': 5, 'random_state': 505}","RandomForestClassifier(n_estimators=5, random_state=505)"
KNeighborsClassifier,0.8333,0.8396,0.8333,0.834,0.8438,0.8451,0.8438,0.8442,0.7167,0.7169,0.7167,0.7159,0.9427,smote,500,no_scaled,"['storyPoints', 'polarity_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=7, p=1, weights='distance')"
DecisionTreeClassifier,0.7899,0.7977,0.7899,0.7902,0.7882,0.7986,0.7882,0.7866,0.7,0.7568,0.7,0.7035,0.9138,smote,500,StandardScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 495}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=495)"
RandomForestClassifier,0.8368,0.8396,0.8368,0.8368,0.8472,0.8565,0.8472,0.8488,0.7,0.7125,0.7,0.6923,0.9436,smote,500,MinMaxScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'n_estimators': 20, 'random_state': 739}","RandomForestClassifier(n_estimators=20, random_state=739)"
SVC,0.6936,0.7043,0.6936,0.6969,0.6944,0.7138,0.6944,0.6997,0.6833,0.7352,0.6833,0.6921,0.8374,smote,500,MinMaxScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'C': 10, 'kernel': 'linear', 'random_state': 233}","SVC(C=10, kernel='linear', probability=True, random_state=233)"
LogisticRegression,0.6728,0.6815,0.6728,0.6736,0.6597,0.6675,0.6597,0.6619,0.6833,0.7405,0.6833,0.6889,0.8521,smote,500,MinMaxScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'C': 10, 'penalty': 'l2', 'random_state': 533, 'solver': 'lbfgs'}","LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=533)"
DecisionTreeClassifier,0.8073,0.8157,0.8073,0.809,0.8472,0.8533,0.8472,0.8491,0.6667,0.6692,0.6667,0.6669,0.9227,smote,500,no_scaled,"['storyPoints', 'polarity_mean', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 87}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=87)"
MLPClassifier,0.6857,0.6925,0.6857,0.6831,0.6562,0.6621,0.6562,0.6468,0.6667,0.6796,0.6667,0.6513,0.8753,smote,500,StandardScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'max_iter': 100000, 'random_state': 744, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=744)"
KNeighborsClassifier,0.8403,0.8442,0.8403,0.8402,0.8333,0.8339,0.8333,0.8331,0.6333,0.6285,0.6333,0.6229,0.9403,smote,500,MinMaxScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=7, p=1, weights='distance')"
MLPClassifier,0.6807,0.6896,0.6807,0.6797,0.691,0.6851,0.691,0.6856,0.6167,0.6228,0.6167,0.6034,0.8738,smote,500,MinMaxScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'max_iter': 100000, 'random_state': 1000, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=1000)"
LogisticRegression,0.6814,0.6886,0.6814,0.6832,0.6389,0.6635,0.6389,0.6457,0.6,0.6397,0.6,0.6017,0.8569,smote,500,StandardScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'C': 10, 'penalty': 'l2', 'random_state': 308, 'solver': 'lbfgs'}","LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=308)"
SVC,0.6736,0.6843,0.6736,0.6749,0.6632,0.6736,0.6632,0.6649,0.5667,0.5714,0.5667,0.5566,0.848,smote,500,StandardScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'C': 10, 'kernel': 'rbf', 'random_state': 222}","SVC(C=10, probability=True, random_state=222)"
