Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Hyper Params.,Model
KNeighborsClassifier,0.8713,0.8779,0.8713,0.8714,0.7826,0.7996,0.7826,0.7871,0.7833,0.7873,0.7833,0.7831,0.9567,smote,250,no_scaled,"['storyPoints', 'polarity_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 13, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=13, p=1,
                     weights='distance')"
RandomForestClassifier,0.828,0.8364,0.828,0.8296,0.8333,0.8378,0.8333,0.8351,0.7333,0.7377,0.7333,0.7334,0.9396,smote,250,no_scaled,"['storyPoints', 'polarity_mean', 'E']",10,"{'n_estimators': 10, 'random_state': 810}","RandomForestClassifier(n_estimators=10, random_state=810)"
DecisionTreeClassifier,0.8224,0.8314,0.8224,0.8215,0.8333,0.834,0.8333,0.8336,0.7333,0.7328,0.7333,0.7321,0.9265,smote,250,no_scaled,"['storyPoints', 'polarity_mean', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 226}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=226)"
RandomForestClassifier,0.8314,0.8381,0.8314,0.829,0.8261,0.8258,0.8261,0.8256,0.7333,0.7598,0.7333,0.7313,0.9369,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'n_estimators': 10, 'random_state': 116}","RandomForestClassifier(n_estimators=10, random_state=116)"
KNeighborsClassifier,0.8295,0.8409,0.8295,0.8292,0.8188,0.8207,0.8188,0.8175,0.7333,0.7555,0.7333,0.7308,0.9339,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=11, p=1,
                     weights='distance')"
KNeighborsClassifier,0.8532,0.8628,0.8532,0.8533,0.7754,0.785,0.7754,0.7766,0.7167,0.752,0.7167,0.7099,0.951,smote,250,StandardScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=9, p=1, weights='distance')"
RandomForestClassifier,0.8207,0.8311,0.8207,0.8213,0.8188,0.8246,0.8188,0.8205,0.7,0.7496,0.7,0.7025,0.9409,smote,250,StandardScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'n_estimators': 20, 'random_state': 119}","RandomForestClassifier(n_estimators=20, random_state=119)"
DecisionTreeClassifier,0.7843,0.8006,0.7843,0.7838,0.8333,0.8321,0.8333,0.8325,0.7,0.7569,0.7,0.6858,0.9097,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 203}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=203)"
DecisionTreeClassifier,0.8008,0.8159,0.8008,0.8021,0.8188,0.8288,0.8188,0.8206,0.6667,0.6824,0.6667,0.6652,0.9202,smote,250,StandardScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 280}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=280)"
MLPClassifier,0.7157,0.7244,0.7157,0.7155,0.6884,0.7071,0.6884,0.691,0.6667,0.695,0.6667,0.6635,0.8766,smote,250,StandardScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'max_iter': 100000, 'random_state': 893, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=893)"
MLPClassifier,0.7192,0.7445,0.7192,0.7231,0.6739,0.6895,0.6739,0.6781,0.6667,0.6656,0.6667,0.6562,0.8785,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'max_iter': 100000, 'random_state': 623, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=623)"
SVC,0.7409,0.75,0.7409,0.734,0.6957,0.6914,0.6957,0.6927,0.65,0.6663,0.65,0.6432,0.8445,smote,250,no_scaled,"['storyPoints', 'polarity_mean', 'E']",10,"{'C': 10, 'kernel': 'linear', 'random_state': 760}","SVC(C=10, kernel='linear', probability=True, random_state=760)"
SVC,0.6938,0.6919,0.6938,0.6873,0.7464,0.7436,0.7464,0.7426,0.65,0.6745,0.65,0.6403,0.8451,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'C': 10, 'kernel': 'rbf', 'random_state': 732}","SVC(C=10, probability=True, random_state=732)"
MLPClassifier,0.6651,0.6787,0.6651,0.6667,0.7101,0.7088,0.7101,0.7094,0.6333,0.642,0.6333,0.6336,0.8611,smote,250,no_scaled,"['storyPoints', 'polarity_mean', 'E']",10,"{'max_iter': 100000, 'random_state': 244, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=244)"
LogisticRegression,0.7231,0.7259,0.7231,0.7199,0.6812,0.6783,0.6812,0.6721,0.6167,0.6131,0.6167,0.606,0.8746,smote,250,no_scaled,"['storyPoints', 'polarity_mean', 'E']",10,"{'C': 1, 'penalty': 'l2', 'random_state': 86, 'solver': 'lbfgs'}","LogisticRegression(C=1, max_iter=100000, multi_class='multinomial',
                   random_state=86)"
LogisticRegression,0.6702,0.6869,0.6702,0.6713,0.6884,0.7154,0.6884,0.6961,0.6,0.6267,0.6,0.5909,0.842,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'C': 0.1, 'penalty': 'l2', 'random_state': 141, 'solver': 'lbfgs'}","LogisticRegression(C=0.1, max_iter=100000, multi_class='multinomial',
                   random_state=141)"
LogisticRegression,0.6613,0.6819,0.6613,0.6616,0.6667,0.7029,0.6667,0.6735,0.55,0.566,0.55,0.5446,0.8505,smote,250,StandardScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'C': 0.1, 'penalty': 'l2', 'random_state': 177, 'solver': 'lbfgs'}","LogisticRegression(C=0.1, max_iter=100000, multi_class='multinomial',
                   random_state=177)"
SVC,0.7082,0.7073,0.7082,0.7055,0.7174,0.7173,0.7174,0.7105,0.5167,0.5138,0.5167,0.4846,0.8667,smote,250,StandardScaler,"['storyPoints', 'polarity_mean', 'E']",10,"{'C': 10, 'kernel': 'rbf', 'random_state': 897}","SVC(C=10, probability=True, random_state=897)"
