Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
KNeighborsClassifier;0.8341;0.8505;0.8341;0.8344;0.8696;0.8803;0.8696;0.871;0.8833;0.9046;0.8833;0.8844;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 13, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=13, weights='distance')
KNeighborsClassifier;0.8293;0.8395;0.8293;0.8296;0.8696;0.8811;0.8696;0.8684;0.8833;0.8884;0.8833;0.8834;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 9, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=9, weights='distance')
KNeighborsClassifier;0.8292;0.8415;0.8292;0.8283;0.8551;0.861;0.8551;0.8563;0.8833;0.8982;0.8833;0.8832;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 13, 'weights': 'distance'};"KNeighborsClassifier(metric='manhattan', n_neighbors=13, p=1,
                     weights='distance')"
KNeighborsClassifier;0.8147;0.8252;0.8147;0.8155;0.8696;0.8714;0.8696;0.8694;0.8833;0.8952;0.8833;0.8828;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=7, weights='distance')
KNeighborsClassifier;0.8181;0.8295;0.8181;0.8183;0.9275;0.9333;0.9275;0.9266;0.8833;0.8952;0.8833;0.8828;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 11, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=11, weights='distance')
KNeighborsClassifier;0.8244;0.8345;0.8244;0.8245;0.8696;0.8973;0.8696;0.8712;0.8833;0.8889;0.8833;0.882;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'};"KNeighborsClassifier(metric='manhattan', n_neighbors=11, p=1,
                     weights='distance')"
KNeighborsClassifier;0.8211;0.832;0.8211;0.8202;0.8261;0.8322;0.8261;0.8237;0.8833;0.8889;0.8833;0.882;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', n_neighbors=7, p=1, weights='distance')
KNeighborsClassifier;0.8373;0.8486;0.8373;0.8375;0.8406;0.8695;0.8406;0.8382;0.8667;0.875;0.8667;0.8668;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 13, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=13, weights='distance')
KNeighborsClassifier;0.8228;0.833;0.8228;0.8231;0.8696;0.8727;0.8696;0.8704;0.8667;0.875;0.8667;0.8668;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', n_neighbors=9, p=1, weights='distance')
KNeighborsClassifier;0.8342;0.8497;0.8342;0.8337;0.8406;0.8433;0.8406;0.8411;0.8667;0.875;0.8667;0.8668;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 9, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=9, weights='distance')
KNeighborsClassifier;0.826;0.8419;0.826;0.8259;0.8841;0.8983;0.8841;0.8855;0.8667;0.8839;0.8667;0.8664;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 9, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=9, weights='distance')
KNeighborsClassifier;0.8309;0.841;0.8309;0.8307;0.913;0.9147;0.913;0.913;0.8667;0.8839;0.8667;0.8664;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 11, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=11, weights='distance')
KNeighborsClassifier;0.8245;0.8369;0.8245;0.8237;0.8551;0.8581;0.8551;0.8555;0.8667;0.8839;0.8667;0.8664;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.826;0.8374;0.826;0.8251;0.8986;0.9079;0.8986;0.8983;0.8667;0.888;0.8667;0.8662;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.8293;0.8425;0.8293;0.829;0.8551;0.8558;0.8551;0.8546;0.8667;0.8767;0.8667;0.8653;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.8308;0.8394;0.8308;0.8293;0.8261;0.8291;0.8261;0.8265;0.8667;0.8774;0.8667;0.8647;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=7, weights='distance')
KNeighborsClassifier;0.8357;0.8469;0.8357;0.8351;0.7536;0.7693;0.7536;0.7509;0.8667;0.8704;0.8667;0.8644;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
RandomForestClassifier;0.8986;0.9023;0.8986;0.8987;0.913;0.9154;0.913;0.9123;0.8667;0.8736;0.8667;0.8641;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 430};RandomForestClassifier(n_estimators=20, random_state=430)
KNeighborsClassifier;0.8293;0.8435;0.8293;0.8294;0.8696;0.8719;0.8696;0.8647;0.85;0.8634;0.85;0.8505;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 9, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=9, weights='distance')
KNeighborsClassifier;0.831;0.8464;0.831;0.8303;0.8551;0.8625;0.8551;0.8552;0.85;0.8623;0.85;0.85;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 9, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=9, weights='distance')
KNeighborsClassifier;0.8227;0.8362;0.8227;0.822;0.8696;0.8796;0.8696;0.872;0.85;0.8731;0.85;0.8498;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 9, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=9, weights='distance')
KNeighborsClassifier;0.826;0.8382;0.826;0.8246;0.8261;0.8307;0.8261;0.8255;0.85;0.8583;0.85;0.8497;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
KNeighborsClassifier;0.8244;0.8368;0.8244;0.8229;0.913;0.9158;0.913;0.9107;0.85;0.8583;0.85;0.8497;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.8374;0.8467;0.8374;0.8364;0.9275;0.9326;0.9275;0.9274;0.85;0.8563;0.85;0.8487;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 11, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=11, weights='distance')
RandomForestClassifier;0.9002;0.9033;0.9002;0.9001;0.8986;0.905;0.8986;0.8996;0.85;0.8643;0.85;0.8484;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 430};RandomForestClassifier(n_estimators=20, random_state=430)
KNeighborsClassifier;0.8148;0.8254;0.8148;0.8139;0.8696;0.88;0.8696;0.871;0.85;0.8652;0.85;0.8483;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=7, weights='distance')
KNeighborsClassifier;0.8454;0.8556;0.8454;0.8451;0.8551;0.8643;0.8551;0.8549;0.85;0.8599;0.85;0.8476;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.8406;0.8539;0.8406;0.8401;0.8116;0.826;0.8116;0.8101;0.85;0.8571;0.85;0.8473;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.8052;0.8168;0.8052;0.8043;0.9275;0.9286;0.9275;0.9271;0.85;0.8519;0.85;0.8469;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', n_neighbors=7, p=1, weights='distance')
MLPClassifier;0.8309;0.8395;0.8309;0.8309;0.8841;0.8858;0.8841;0.8847;0.8333;0.8444;0.8333;0.8345;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 835, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=835)
MLPClassifier;0.8325;0.8472;0.8325;0.8329;0.8551;0.8594;0.8551;0.8565;0.8333;0.8426;0.8333;0.8341;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 835, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=835)
MLPClassifier;0.8229;0.8353;0.8229;0.8235;0.9565;0.9588;0.9565;0.9565;0.8333;0.8426;0.8333;0.8341;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 835, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=835)
MLPClassifier;0.826;0.8389;0.826;0.8277;0.8696;0.8869;0.8696;0.8688;0.8333;0.8413;0.8333;0.834;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 436, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=436)
MLPClassifier;0.826;0.8408;0.826;0.8268;0.8551;0.8574;0.8551;0.856;0.8333;0.8413;0.8333;0.834;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 436, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=436)
MLPClassifier;0.8196;0.8306;0.8196;0.8208;0.8696;0.8796;0.8696;0.872;0.8333;0.8413;0.8333;0.834;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 852, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=852)
KNeighborsClassifier;0.8309;0.8406;0.8309;0.8307;0.8696;0.875;0.8696;0.8702;0.8333;0.8603;0.8333;0.8332;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=7, weights='distance')
MLPClassifier;0.8195;0.8327;0.8195;0.8196;0.8841;0.8861;0.8841;0.8843;0.8333;0.8448;0.8333;0.8329;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 852, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=852)
DecisionTreeClassifier;0.8631;0.8669;0.8631;0.8626;0.7826;0.815;0.7826;0.7831;0.8333;0.838;0.8333;0.8317;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 620};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=620)
KNeighborsClassifier;0.8165;0.8284;0.8165;0.8165;0.8406;0.8702;0.8406;0.8409;0.8333;0.8478;0.8333;0.8315;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 15, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=15, weights='distance')
DecisionTreeClassifier;0.8582;0.8627;0.8582;0.8576;0.8406;0.841;0.8406;0.8405;0.8333;0.8361;0.8333;0.8315;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 620};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=620)
RandomForestClassifier;0.9002;0.9044;0.9002;0.9004;0.942;0.9426;0.942;0.942;0.8333;0.8482;0.8333;0.83;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 715};RandomForestClassifier(n_estimators=20, random_state=715)
KNeighborsClassifier;0.831;0.8445;0.831;0.8306;0.8841;0.897;0.8841;0.8832;0.8333;0.8386;0.8333;0.8297;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
SVC;0.7794;0.8004;0.7794;0.7827;0.8406;0.8534;0.8406;0.8379;0.8167;0.8268;0.8167;0.8185;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'C': 10, 'kernel': 'rbf', 'random_state': 46};SVC(C=10, random_state=46)
