Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
MLPClassifier;0.8827;0.8853;0.8827;0.883;0.9375;0.9384;0.9375;0.9366;0.9333;0.939;0.9333;0.9336;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 773, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=773)
MLPClassifier;0.8719;0.8751;0.8719;0.8723;0.9444;0.9455;0.9444;0.9447;0.9167;0.9195;0.9167;0.917;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 773, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=773)
MLPClassifier;0.875;0.8787;0.875;0.8751;0.9583;0.9594;0.9583;0.9586;0.9167;0.9195;0.9167;0.917;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 773, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=773)
MLPClassifier;0.8742;0.8787;0.8742;0.874;0.9722;0.9734;0.9722;0.9722;0.9167;0.9195;0.9167;0.917;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 773, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=773)
MLPClassifier;0.8665;0.8716;0.8665;0.8666;0.9375;0.9383;0.9375;0.9377;0.9167;0.9195;0.9167;0.917;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 773, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=773)
MLPClassifier;0.8727;0.8751;0.8727;0.873;0.9375;0.9373;0.9375;0.9374;0.9167;0.9195;0.9167;0.917;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 773, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=773)
KNeighborsClassifier;0.8843;0.8882;0.8843;0.8847;0.9167;0.918;0.9167;0.9168;0.9167;0.9174;0.9167;0.9166;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.8804;0.8848;0.8804;0.8807;0.9583;0.96;0.9583;0.9585;0.9167;0.9174;0.9167;0.9166;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=7, weights='distance')
RandomForestClassifier;0.9344;0.9359;0.9344;0.9344;0.9444;0.9452;0.9444;0.9443;0.9167;0.9194;0.9167;0.9165;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 416};RandomForestClassifier(n_estimators=20, random_state=416)
RandomForestClassifier;0.9251;0.9266;0.9251;0.9249;0.9444;0.9461;0.9444;0.9439;0.9167;0.9165;0.9167;0.9162;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 416};RandomForestClassifier(n_estimators=20, random_state=416)
MLPClassifier;0.8742;0.8774;0.8742;0.8746;0.9375;0.9383;0.9375;0.9377;0.9167;0.9278;0.9167;0.916;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 925, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=925)
KNeighborsClassifier;0.8904;0.8947;0.8904;0.8906;0.9444;0.9476;0.9444;0.9448;0.9;0.9069;0.9;0.9006;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 13, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=13, weights='distance')
KNeighborsClassifier;0.8912;0.8942;0.8912;0.891;0.9028;0.9082;0.9028;0.9031;0.9;0.9069;0.9;0.9006;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 13, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=13, weights='distance')
MLPClassifier;0.8719;0.8743;0.8719;0.8721;0.9653;0.9655;0.9653;0.9651;0.9;0.906;0.9;0.9005;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 773, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=773)
KNeighborsClassifier;0.8866;0.8898;0.8866;0.8868;0.9097;0.9111;0.9097;0.9102;0.9;0.9015;0.9;0.9004;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=7, weights='distance')
KNeighborsClassifier;0.8859;0.8889;0.8859;0.8861;0.9444;0.9447;0.9444;0.944;0.9;0.9015;0.9;0.9004;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.8951;0.8999;0.8951;0.8948;0.9167;0.9166;0.9167;0.9166;0.9;0.9015;0.9;0.9004;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.8905;0.8939;0.8905;0.8906;0.9236;0.9258;0.9236;0.9238;0.9;0.9015;0.9;0.9004;smote;500;StandardScaler;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
