Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Model
DecisionTreeClassifier,0.8173,0.8184,0.8173,0.8174,0.8177,0.8195,0.8177,0.8183,0.85,0.8499,0.85,0.8468,0.8644,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'C']",10,DecisionTreeClassifier()
RandomForestClassifier,0.9073,0.9113,0.9073,0.9084,0.909,0.9131,0.909,0.91,0.85,0.8477,0.85,0.8457,0.9816,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'C']",10,RandomForestClassifier()
RandomForestClassifier,0.9158,0.9209,0.9158,0.9167,0.9128,0.9164,0.9128,0.9136,0.8333,0.8386,0.8333,0.8348,0.9876,smote,3000,no_scaled,"['storyPoints', 'polarity', 'stress', 'C']",10,RandomForestClassifier()
SVC,0.8727,0.8805,0.8727,0.8738,0.8709,0.8774,0.8709,0.8719,0.8333,0.836,0.8333,0.8335,0.9321,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'C']",10,SVC(probability=True)
KNeighborsClassifier,0.8889,0.8928,0.8889,0.8891,0.9062,0.9078,0.9062,0.9067,0.8333,0.8422,0.8333,0.8291,0.964,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'C']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.9158,0.9209,0.9158,0.9167,0.9128,0.9164,0.9128,0.9136,0.8167,0.826,0.8167,0.8187,0.9876,smote,3000,no_scaled,"['storyPoints', 'polarity', 'stress', 'C']",10,DecisionTreeClassifier()
DecisionTreeClassifier,0.9065,0.9107,0.9065,0.9076,0.9135,0.917,0.9135,0.9144,0.8,0.8226,0.8,0.801,0.9807,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'C']",10,DecisionTreeClassifier()
MLPClassifier,0.8988,0.903,0.8988,0.8998,0.8989,0.9051,0.8989,0.9001,0.8,0.813,0.8,0.8006,0.9781,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'C']",10,MLPClassifier()
KNeighborsClassifier,0.811,0.816,0.811,0.8112,0.8203,0.8206,0.8203,0.8195,0.8,0.8016,0.8,0.7997,0.9275,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'C']",10,KNeighborsClassifier()
MLPClassifier,0.827,0.8294,0.827,0.827,0.8299,0.8306,0.8299,0.83,0.8,0.8042,0.8,0.7992,0.9465,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'C']",10,MLPClassifier()
MLPClassifier,0.8986,0.8994,0.8986,0.8985,0.8995,0.8992,0.8995,0.8991,0.8,0.8191,0.8,0.7985,0.9747,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,MLPClassifier()
RandomForestClassifier,0.8432,0.8451,0.8432,0.8428,0.831,0.8345,0.831,0.8308,0.8,0.8019,0.8,0.7985,0.9537,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'C']",10,RandomForestClassifier()
DecisionTreeClassifier,0.8441,0.8458,0.8441,0.8439,0.8271,0.8297,0.8271,0.8266,0.8,0.8019,0.8,0.7985,0.9527,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'C']",10,DecisionTreeClassifier()
LogisticRegression,0.785,0.8054,0.785,0.7887,0.7827,0.8069,0.7827,0.7863,0.8,0.8029,0.8,0.797,0.9028,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'C']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
DecisionTreeClassifier,0.8037,0.8046,0.8037,0.804,0.8074,0.8082,0.8074,0.8076,0.8,0.8089,0.8,0.7958,0.8553,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'C']",10,DecisionTreeClassifier()
MLPClassifier,0.8925,0.9065,0.8925,0.894,0.8954,0.9069,0.8954,0.8974,0.7833,0.7917,0.7833,0.7839,0.9818,smote,3000,no_scaled,"['storyPoints', 'polarity', 'stress', 'C']",10,MLPClassifier()
SVC,0.8169,0.821,0.8169,0.8175,0.8186,0.8208,0.8186,0.819,0.7833,0.7873,0.7833,0.7831,0.9098,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'C']",10,SVC(probability=True)
SVC,0.8418,0.8463,0.8418,0.841,0.8383,0.8411,0.8383,0.8365,0.7833,0.7831,0.7833,0.7822,0.9229,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,SVC(probability=True)
MLPClassifier,0.8263,0.8268,0.8263,0.8251,0.8551,0.8583,0.8551,0.8539,0.7833,0.7833,0.7833,0.7811,0.9465,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,MLPClassifier()
RandomForestClassifier,0.8358,0.8385,0.8358,0.8365,0.8535,0.8564,0.8535,0.8542,0.7833,0.7929,0.7833,0.7805,0.9536,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'C']",10,RandomForestClassifier()
KNeighborsClassifier,0.8321,0.8357,0.8321,0.8328,0.8299,0.8381,0.8299,0.8312,0.7667,0.7687,0.7667,0.7668,0.9384,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'C']",10,KNeighborsClassifier()
SVC,0.7721,0.7887,0.7721,0.7733,0.7726,0.7871,0.7726,0.7744,0.7667,0.7684,0.7667,0.7662,0.8913,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'C']",10,SVC(probability=True)
MLPClassifier,0.8079,0.8186,0.8079,0.8091,0.8119,0.8276,0.8119,0.8143,0.7667,0.7833,0.7667,0.7584,0.9361,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'C']",10,MLPClassifier()
RandomForestClassifier,0.8294,0.8318,0.8294,0.8299,0.8501,0.853,0.8501,0.8506,0.75,0.7802,0.75,0.7534,0.9452,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'C']",10,RandomForestClassifier()
SVC,0.8499,0.8538,0.8499,0.8495,0.8608,0.8631,0.8608,0.8594,0.7667,0.7673,0.7667,0.7533,0.9294,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,SVC(probability=True)
MLPClassifier,0.7286,0.7484,0.7286,0.7299,0.7383,0.7577,0.7383,0.7398,0.75,0.7761,0.75,0.7526,0.9072,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,MLPClassifier()
LogisticRegression,0.7924,0.8148,0.7924,0.7952,0.7936,0.8125,0.7936,0.7966,0.75,0.752,0.75,0.7488,0.9087,smote,3000,no_scaled,"['storyPoints', 'polarity', 'stress', 'C']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
SVC,0.8232,0.8251,0.8232,0.8239,0.8321,0.8331,0.8321,0.8325,0.75,0.7435,0.75,0.7342,0.9081,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'C']",10,SVC(probability=True)
MLPClassifier,0.7669,0.7743,0.7669,0.7679,0.7602,0.7699,0.7602,0.7615,0.7333,0.7333,0.7333,0.7333,0.9077,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'C']",10,MLPClassifier()
MLPClassifier,0.7972,0.8062,0.7972,0.7976,0.7394,0.7466,0.7394,0.7418,0.7333,0.7343,0.7333,0.7327,0.9314,smote,3000,no_scaled,"['storyPoints', 'polarity', 'C']",10,MLPClassifier()
DecisionTreeClassifier,0.8415,0.8437,0.8415,0.8411,0.8394,0.8419,0.8394,0.8388,0.7333,0.7526,0.7333,0.7237,0.9511,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'C']",10,DecisionTreeClassifier()
MLPClassifier,0.8346,0.8359,0.8346,0.8346,0.8456,0.8466,0.8456,0.8453,0.7333,0.7363,0.7333,0.7205,0.9488,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'C']",10,MLPClassifier()
SVC,0.7824,0.8016,0.7824,0.7834,0.7872,0.8048,0.7872,0.7872,0.7333,0.7421,0.7333,0.7192,0.89,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'C']",10,SVC(probability=True)
KNeighborsClassifier,0.8039,0.8117,0.8039,0.8039,0.8327,0.8362,0.8327,0.8331,0.7333,0.7314,0.7333,0.7191,0.923,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'C']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.8001,0.8011,0.8001,0.8002,0.8046,0.8057,0.8046,0.805,0.7167,0.7256,0.7167,0.7148,0.8503,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'C']",10,DecisionTreeClassifier()
LogisticRegression,0.7836,0.8043,0.7836,0.787,0.7894,0.8074,0.7894,0.793,0.7,0.7192,0.7,0.6945,0.9012,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'C']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
RandomForestClassifier,0.8409,0.8434,0.8409,0.8406,0.8433,0.844,0.8433,0.8428,0.6833,0.716,0.6833,0.6764,0.9523,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'C']",10,RandomForestClassifier()
MLPClassifier,0.6598,0.6857,0.6598,0.657,0.7075,0.7177,0.7075,0.7091,0.6667,0.6897,0.6667,0.6711,0.8513,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'C']",10,MLPClassifier()
LogisticRegression,0.6183,0.6264,0.6183,0.6188,0.6219,0.6311,0.6219,0.6227,0.6667,0.6645,0.6667,0.6635,0.7691,smote,3000,no_scaled,"['storyPoints', 'polarity', 'C']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
SVC,0.7342,0.8201,0.7342,0.7213,0.7371,0.8293,0.7371,0.7276,0.6667,0.7473,0.6667,0.663,0.8845,smote,3000,no_scaled,"['storyPoints', 'polarity', 'stress', 'C']",10,SVC(probability=True)
LogisticRegression,0.6232,0.6321,0.6232,0.6224,0.5928,0.6054,0.5928,0.594,0.6667,0.6819,0.6667,0.6613,0.8142,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.5794,0.5948,0.5794,0.5786,0.5621,0.5814,0.5621,0.5614,0.65,0.6683,0.65,0.6493,0.7835,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'C']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.6161,0.6234,0.6161,0.6169,0.6249,0.6339,0.6249,0.6253,0.65,0.6667,0.65,0.642,0.7627,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'C']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.5838,0.6032,0.5838,0.5824,0.5974,0.6162,0.5974,0.5978,0.6333,0.6517,0.6333,0.6237,0.7743,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'C']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.6078,0.6213,0.6078,0.604,0.6115,0.6272,0.6115,0.6083,0.6167,0.6438,0.6167,0.6035,0.8064,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.6125,0.6204,0.6125,0.6129,0.6232,0.6304,0.6232,0.6246,0.5833,0.5972,0.5833,0.5841,0.7627,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'C']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
SVC,0.63,0.7006,0.63,0.6132,0.6046,0.6717,0.6046,0.5897,0.5833,0.6213,0.5833,0.5668,0.8124,smote,3000,no_scaled,"['storyPoints', 'polarity', 'C']",10,SVC(probability=True)
LogisticRegression,0.6128,0.6287,0.6128,0.6088,0.6317,0.6499,0.6317,0.6277,0.5667,0.6108,0.5667,0.5485,0.8069,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
SVC,0.5762,0.6721,0.5762,0.5434,0.5766,0.6786,0.5766,0.5479,0.5667,0.6863,0.5667,0.5203,0.7974,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'C']",10,SVC(probability=True)
SVC,0.5631,0.6603,0.5631,0.5304,0.5649,0.6502,0.5649,0.532,0.5333,0.6022,0.5333,0.4956,0.8381,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,SVC(probability=True)
LogisticRegression,0.5861,0.6147,0.5861,0.5816,0.603,0.6292,0.603,0.5992,0.5,0.5529,0.5,0.4818,0.7738,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'C']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
