Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Model
SVC,0.8242,0.8352,0.8242,0.824,0.8116,0.8388,0.8116,0.8131,0.8833,0.8894,0.8833,0.8839,0.9168,smote,250,StandardScaler,"['storyPoints', 'polarity', 'stress', 'C']",10,SVC(probability=True)
DecisionTreeClassifier,0.8333,0.8409,0.8333,0.8341,0.7899,0.7947,0.7899,0.7916,0.8667,0.873,0.8667,0.8675,0.9528,smote,250,no_scaled,"['storyPoints', 'polarity', 'stress', 'C']",10,DecisionTreeClassifier()
KNeighborsClassifier,0.8204,0.8282,0.8204,0.8206,0.8406,0.8451,0.8406,0.8416,0.8667,0.8673,0.8667,0.8666,0.9501,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,KNeighborsClassifier()
RandomForestClassifier,0.8714,0.8764,0.8714,0.8704,0.8986,0.9,0.8986,0.8978,0.85,0.8564,0.85,0.8508,0.9691,smote,250,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,RandomForestClassifier()
RandomForestClassifier,0.8296,0.8346,0.8296,0.8291,0.8696,0.873,0.8696,0.8679,0.85,0.8705,0.85,0.8497,0.9552,smote,250,no_scaled,"['storyPoints', 'polarity', 'stress', 'C']",10,RandomForestClassifier()
KNeighborsClassifier,0.8043,0.8221,0.8043,0.8052,0.8261,0.831,0.8261,0.8259,0.85,0.852,0.85,0.8497,0.9204,smote,250,StandardScaler,"['storyPoints', 'polarity', 'stress', 'C']",10,KNeighborsClassifier()
RandomForestClassifier,0.8968,0.8993,0.8968,0.8957,0.8478,0.8507,0.8478,0.8486,0.85,0.8492,0.85,0.8485,0.9783,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,RandomForestClassifier()
MLPClassifier,0.8189,0.8232,0.8189,0.8176,0.8043,0.8143,0.8043,0.8055,0.8333,0.8444,0.8333,0.8345,0.9401,smote,250,StandardScaler,"['storyPoints', 'polarity', 'stress', 'C']",10,MLPClassifier()
KNeighborsClassifier,0.7754,0.7916,0.7754,0.7752,0.7681,0.7684,0.7681,0.7681,0.8333,0.8372,0.8333,0.8339,0.9105,smote,250,StandardScaler,"['storyPoints', 'polarity', 'C']",10,KNeighborsClassifier()
LogisticRegression,0.8169,0.8307,0.8169,0.8154,0.8406,0.8462,0.8406,0.8418,0.8167,0.8305,0.8167,0.8194,0.9176,smote,250,no_scaled,"['storyPoints', 'polarity', 'stress', 'C']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.8169,0.8257,0.8169,0.8172,0.8333,0.8804,0.8333,0.8381,0.8167,0.8386,0.8167,0.8194,0.9238,smote,250,StandardScaler,"['storyPoints', 'polarity', 'stress', 'C']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
DecisionTreeClassifier,0.8261,0.8288,0.8261,0.8256,0.8188,0.8176,0.8188,0.8174,0.8167,0.8167,0.8167,0.8167,0.8698,smote,250,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,DecisionTreeClassifier()
RandomForestClassifier,0.8766,0.879,0.8766,0.8743,0.8696,0.8706,0.8696,0.8697,0.8167,0.819,0.8167,0.8164,0.9724,smote,250,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,RandomForestClassifier()
RandomForestClassifier,0.777,0.7869,0.777,0.7759,0.8551,0.854,0.8551,0.8544,0.8,0.8057,0.8,0.8003,0.9142,smote,250,no_scaled,"['storyPoints', 'polarity_mean', 'C']",10,RandomForestClassifier()
MLPClassifier,0.7915,0.8111,0.7915,0.7917,0.7391,0.803,0.7391,0.7449,0.7833,0.7942,0.7833,0.7862,0.9233,smote,250,no_scaled,"['storyPoints', 'polarity', 'stress', 'C']",10,MLPClassifier()
RandomForestClassifier,0.7663,0.7835,0.7663,0.7685,0.8188,0.8256,0.8188,0.8205,0.7833,0.7986,0.7833,0.7853,0.9212,smote,250,StandardScaler,"['storyPoints', 'polarity', 'C']",10,RandomForestClassifier()
DecisionTreeClassifier,0.7717,0.7781,0.7717,0.7706,0.7899,0.7928,0.7899,0.7909,0.7833,0.797,0.7833,0.7852,0.8291,smote,250,StandardScaler,"['storyPoints', 'polarity_mean', 'C']",10,DecisionTreeClassifier()
DecisionTreeClassifier,0.7809,0.7965,0.7809,0.7788,0.7754,0.7865,0.7754,0.7783,0.7833,0.7905,0.7833,0.7844,0.9174,smote,250,StandardScaler,"['storyPoints', 'polarity', 'C']",10,DecisionTreeClassifier()
RandomForestClassifier,0.826,0.8288,0.826,0.8239,0.8478,0.8701,0.8478,0.8512,0.7833,0.7905,0.7833,0.7838,0.9525,smote,250,StandardScaler,"['storyPoints', 'polarity', 'stress', 'C']",10,RandomForestClassifier()
RandomForestClassifier,0.7988,0.8045,0.7988,0.7982,0.8188,0.8296,0.8188,0.8195,0.7833,0.7944,0.7833,0.7835,0.9261,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'C']",10,RandomForestClassifier()
DecisionTreeClassifier,0.8354,0.8406,0.8354,0.8363,0.8913,0.8903,0.8913,0.8903,0.7833,0.785,0.7833,0.7829,0.8773,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,DecisionTreeClassifier()
SVC,0.7592,0.7647,0.7592,0.7585,0.7391,0.7406,0.7391,0.7396,0.7833,0.7828,0.7833,0.7828,0.8875,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,SVC(probability=True)
KNeighborsClassifier,0.7609,0.7701,0.7609,0.7604,0.7246,0.7218,0.7246,0.7195,0.7833,0.7934,0.7833,0.7826,0.8968,smote,250,StandardScaler,"['storyPoints', 'polarity_mean', 'C']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.8877,0.8922,0.8877,0.8877,0.8406,0.8559,0.8406,0.8437,0.7833,0.7824,0.7833,0.78,0.9155,smote,250,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,DecisionTreeClassifier()
SVC,0.8389,0.846,0.8389,0.8386,0.7971,0.8017,0.7971,0.7976,0.7667,0.7988,0.7667,0.771,0.9086,smote,250,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'C']",10,SVC(probability=True)
DecisionTreeClassifier,0.8369,0.8499,0.8369,0.8396,0.8551,0.8783,0.8551,0.8578,0.7667,0.7857,0.7667,0.7698,0.9445,smote,250,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'C']",10,DecisionTreeClassifier()
RandomForestClassifier,0.8442,0.8516,0.8442,0.8443,0.8188,0.8248,0.8188,0.8191,0.7667,0.7857,0.7667,0.7698,0.9599,smote,250,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'C']",10,RandomForestClassifier()
DecisionTreeClassifier,0.8189,0.832,0.8189,0.8178,0.8478,0.8495,0.8478,0.8469,0.7667,0.7758,0.7667,0.7672,0.9323,smote,250,StandardScaler,"['storyPoints', 'polarity', 'stress', 'C']",10,DecisionTreeClassifier()
DecisionTreeClassifier,0.8078,0.8163,0.8078,0.8074,0.8043,0.8066,0.8043,0.8052,0.7667,0.7761,0.7667,0.7667,0.8559,smote,250,no_scaled,"['storyPoints', 'polarity_mean', 'C']",10,DecisionTreeClassifier()
KNeighborsClassifier,0.8045,0.8188,0.8045,0.8058,0.8188,0.8373,0.8188,0.8145,0.7667,0.7667,0.7667,0.7667,0.9277,smote,250,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'C']",10,KNeighborsClassifier()
KNeighborsClassifier,0.7555,0.7737,0.7555,0.7537,0.7101,0.7263,0.7101,0.7128,0.7667,0.7881,0.7667,0.7664,0.9105,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'C']",10,KNeighborsClassifier()
MLPClassifier,0.7176,0.7274,0.7176,0.7158,0.6957,0.7163,0.6957,0.7007,0.7667,0.7759,0.7667,0.7655,0.8886,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,MLPClassifier()
KNeighborsClassifier,0.7735,0.8028,0.7735,0.7722,0.8188,0.829,0.8188,0.8146,0.7667,0.779,0.7667,0.7589,0.9199,smote,250,no_scaled,"['storyPoints', 'polarity', 'stress', 'C']",10,KNeighborsClassifier()
