Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Model
RandomForestClassifier,0.9727,0.9728,0.9727,0.9727,0.9668,0.9668,0.9668,0.9668,0.95,0.9516,0.95,0.9504,0.994,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,RandomForestClassifier()
KNeighborsClassifier,0.9589,0.959,0.9589,0.9589,0.9601,0.96,0.9601,0.96,0.95,0.9516,0.95,0.9504,0.9904,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,KNeighborsClassifier()
RandomForestClassifier,0.9773,0.9774,0.9773,0.9774,0.9776,0.9777,0.9776,0.9776,0.95,0.953,0.95,0.9499,0.9978,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,RandomForestClassifier()
DecisionTreeClassifier,0.9664,0.9664,0.9664,0.9664,0.9659,0.9659,0.9659,0.9659,0.9167,0.9269,0.9167,0.917,0.9748,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,DecisionTreeClassifier()
DecisionTreeClassifier,0.9558,0.9559,0.9558,0.9558,0.9681,0.9682,0.9681,0.9681,0.9167,0.9182,0.9167,0.917,0.9672,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,DecisionTreeClassifier()
KNeighborsClassifier,0.8594,0.8603,0.8594,0.8597,0.8698,0.8719,0.8698,0.8704,0.9,0.9043,0.9,0.9011,0.9492,smote,5000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'C']",10,KNeighborsClassifier()
KNeighborsClassifier,0.9617,0.9618,0.9617,0.9616,0.9661,0.9663,0.9661,0.9661,0.9,0.9015,0.9,0.9004,0.9908,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,KNeighborsClassifier()
KNeighborsClassifier,0.9647,0.9648,0.9647,0.9647,0.9675,0.9678,0.9675,0.9675,0.8833,0.8944,0.8833,0.8836,0.9953,smote,5000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.9576,0.9578,0.9576,0.9576,0.9658,0.9658,0.9658,0.9657,0.8667,0.8819,0.8667,0.868,0.9682,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,DecisionTreeClassifier()
RandomForestClassifier,0.9703,0.9704,0.9703,0.9703,0.9715,0.9716,0.9715,0.9715,0.8667,0.8819,0.8667,0.868,0.9938,smote,5000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,RandomForestClassifier()
