Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Model
RandomForestClassifier,0.8593,0.8621,0.8593,0.8584,0.7986,0.7983,0.7986,0.7973,0.8833,0.8836,0.8833,0.8823,0.963,smote,500,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'C']",10,RandomForestClassifier()
RandomForestClassifier,0.9202,0.9219,0.9202,0.9205,0.9028,0.9036,0.9028,0.9031,0.8833,0.8894,0.8833,0.8813,0.9855,smote,500,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,RandomForestClassifier()
DecisionTreeClassifier,0.8889,0.8909,0.8889,0.8887,0.9167,0.9174,0.9167,0.9169,0.8833,0.8836,0.8833,0.8808,0.9167,smote,500,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,DecisionTreeClassifier()
KNeighborsClassifier,0.8672,0.8692,0.8672,0.8672,0.8924,0.8924,0.8924,0.8923,0.85,0.8544,0.85,0.8444,0.964,smote,500,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,KNeighborsClassifier()
SVC,0.8229,0.8325,0.8229,0.8231,0.7917,0.7947,0.7917,0.7928,0.8333,0.8403,0.8333,0.8327,0.9182,smote,500,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'C']",10,SVC(probability=True)
DecisionTreeClassifier,0.7848,0.7882,0.7848,0.7804,0.7812,0.7876,0.7812,0.7796,0.8333,0.8367,0.8333,0.8324,0.9231,smote,500,MinMaxScaler,"['storyPoints', 'polarity', 'C']",10,DecisionTreeClassifier()
DecisionTreeClassifier,0.8481,0.8525,0.8481,0.8481,0.8368,0.8423,0.8368,0.8338,0.8333,0.8361,0.8333,0.8315,0.9477,smote,500,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'C']",10,DecisionTreeClassifier()
RandomForestClassifier,0.7708,0.7756,0.7708,0.7699,0.7847,0.7852,0.7847,0.7788,0.8167,0.8187,0.8167,0.8163,0.9237,smote,500,MinMaxScaler,"['storyPoints', 'polarity', 'C']",10,RandomForestClassifier()
KNeighborsClassifier,0.8325,0.8411,0.8325,0.8334,0.8264,0.828,0.8264,0.8253,0.8167,0.8302,0.8167,0.8159,0.9344,smote,500,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'C']",10,KNeighborsClassifier()
RandomForestClassifier,0.8402,0.8454,0.8402,0.8393,0.8438,0.8466,0.8438,0.8425,0.8,0.8198,0.8,0.7978,0.9556,smote,500,StandardScaler,"['storyPoints', 'polarity', 'stress', 'C']",10,RandomForestClassifier()
RandomForestClassifier,0.8012,0.8052,0.8012,0.8009,0.7639,0.7618,0.7639,0.761,0.8,0.7988,0.8,0.797,0.9366,smote,500,MinMaxScaler,"['storyPoints', 'polarity_mean', 'C']",10,RandomForestClassifier()
RandomForestClassifier,0.9297,0.9321,0.9297,0.9294,0.9306,0.9314,0.9306,0.9306,0.7833,0.7898,0.7833,0.784,0.987,smote,500,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,RandomForestClassifier()
RandomForestClassifier,0.9184,0.9195,0.9184,0.918,0.9167,0.9189,0.9167,0.9167,0.7833,0.7861,0.7833,0.7804,0.9873,smote,500,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,RandomForestClassifier()
DecisionTreeClassifier,0.7969,0.8005,0.7969,0.7974,0.7049,0.7054,0.7049,0.7047,0.7833,0.7791,0.7833,0.7802,0.8476,smote,500,MinMaxScaler,"['storyPoints', 'polarity_mean', 'C']",10,DecisionTreeClassifier()
MLPClassifier,0.8247,0.8315,0.8247,0.8266,0.7743,0.783,0.7743,0.7757,0.7833,0.7816,0.7833,0.7801,0.936,smote,500,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'C']",10,MLPClassifier()
DecisionTreeClassifier,0.8811,0.8849,0.8811,0.8803,0.9201,0.9216,0.9201,0.9202,0.7667,0.7811,0.7667,0.769,0.9109,smote,500,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,DecisionTreeClassifier()
SVC,0.7812,0.7884,0.7812,0.7803,0.7674,0.7731,0.7674,0.7665,0.7667,0.7687,0.7667,0.7668,0.9024,smote,500,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,SVC(probability=True)
MLPClassifier,0.8238,0.8308,0.8238,0.8266,0.8507,0.8644,0.8507,0.8544,0.7667,0.7779,0.7667,0.7668,0.9443,smote,500,StandardScaler,"['storyPoints', 'polarity', 'stress', 'C']",10,MLPClassifier()
LogisticRegression,0.8134,0.8224,0.8134,0.8153,0.7951,0.816,0.7951,0.7981,0.7667,0.7687,0.7667,0.7604,0.9284,smote,500,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'C']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
KNeighborsClassifier,0.8359,0.8422,0.8359,0.8356,0.8646,0.8685,0.8646,0.8658,0.75,0.7564,0.75,0.7512,0.9368,smote,500,StandardScaler,"['storyPoints', 'polarity', 'stress', 'C']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.8828,0.8851,0.8828,0.883,0.9444,0.9468,0.9444,0.945,0.75,0.7565,0.75,0.7509,0.9121,smote,500,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,DecisionTreeClassifier()
DecisionTreeClassifier,0.8446,0.8475,0.8446,0.844,0.8611,0.8652,0.8611,0.8622,0.75,0.7535,0.75,0.749,0.9507,smote,500,StandardScaler,"['storyPoints', 'polarity', 'stress', 'C']",10,DecisionTreeClassifier()
SVC,0.8315,0.8384,0.8315,0.834,0.8125,0.8202,0.8125,0.815,0.7333,0.7614,0.7333,0.7407,0.9353,smote,500,StandardScaler,"['storyPoints', 'polarity', 'stress', 'C']",10,SVC(probability=True)
KNeighborsClassifier,0.8238,0.8291,0.8238,0.8244,0.8403,0.8412,0.8403,0.8397,0.7333,0.7384,0.7333,0.735,0.9286,smote,500,no_scaled,"['storyPoints', 'polarity', 'stress', 'C']",10,KNeighborsClassifier()
KNeighborsClassifier,0.7456,0.7725,0.7456,0.7461,0.7326,0.748,0.7326,0.7335,0.7333,0.7368,0.7333,0.733,0.9024,smote,500,MinMaxScaler,"['storyPoints', 'polarity', 'C']",10,KNeighborsClassifier()
KNeighborsClassifier,0.8767,0.8803,0.8767,0.8762,0.8611,0.8616,0.8611,0.8601,0.7333,0.7321,0.7333,0.7324,0.9612,smote,500,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'C']",10,KNeighborsClassifier()
KNeighborsClassifier,0.7986,0.8057,0.7986,0.7991,0.7986,0.7985,0.7986,0.7984,0.7333,0.7309,0.7333,0.7283,0.921,smote,500,no_scaled,"['storyPoints', 'polarity_mean', 'C']",10,KNeighborsClassifier()
SVC,0.6988,0.7313,0.6988,0.7017,0.7396,0.7697,0.7396,0.7431,0.7167,0.7353,0.7167,0.7188,0.8323,smote,500,MinMaxScaler,"['storyPoints', 'polarity', 'C']",10,SVC(probability=True)
DecisionTreeClassifier,0.8498,0.8522,0.8498,0.8476,0.8611,0.8627,0.8611,0.8603,0.7167,0.7196,0.7167,0.7178,0.9555,smote,500,no_scaled,"['storyPoints', 'polarity', 'stress', 'C']",10,DecisionTreeClassifier()
KNeighborsClassifier,0.7864,0.7935,0.7864,0.7865,0.7951,0.8035,0.7951,0.797,0.7167,0.7252,0.7167,0.7144,0.9082,smote,500,StandardScaler,"['storyPoints', 'polarity', 'C']",10,KNeighborsClassifier()
RandomForestClassifier,0.8038,0.8079,0.8038,0.8036,0.809,0.8106,0.809,0.8094,0.7167,0.7137,0.7167,0.7143,0.9351,smote,500,no_scaled,"['storyPoints', 'polarity_mean', 'C']",10,RandomForestClassifier()
KNeighborsClassifier,0.8047,0.8119,0.8047,0.8051,0.7812,0.7844,0.7812,0.7821,0.7167,0.7162,0.7167,0.7143,0.919,smote,500,MinMaxScaler,"['storyPoints', 'polarity_mean', 'C']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.7725,0.7778,0.7725,0.7732,0.7986,0.7992,0.7986,0.7988,0.7167,0.7113,0.7167,0.7102,0.8297,smote,500,no_scaled,"['storyPoints', 'polarity_mean', 'C']",10,DecisionTreeClassifier()
MLPClassifier,0.7968,0.8184,0.7968,0.8003,0.7917,0.8175,0.7917,0.7965,0.7,0.7217,0.7,0.7062,0.9388,smote,500,no_scaled,"['storyPoints', 'polarity', 'stress', 'C']",10,MLPClassifier()
LogisticRegression,0.8308,0.8406,0.8308,0.8321,0.7882,0.7974,0.7882,0.7898,0.7,0.7137,0.7,0.704,0.9268,smote,500,no_scaled,"['storyPoints', 'polarity', 'stress', 'C']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
