Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
DecisionTreeClassifier;0.9132;0.9136;0.9132;0.9133;0.9128;0.9151;0.9128;0.9132;0.8833;0.8955;0.8833;0.8848;smote;3000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 626};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=626)
DecisionTreeClassifier;0.9154;0.9157;0.9154;0.9154;0.8915;0.8948;0.8915;0.892;0.8833;0.8935;0.8833;0.8844;smote;3000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 316};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=316)
DecisionTreeClassifier;0.9127;0.9131;0.9127;0.9128;0.9128;0.9145;0.9128;0.9132;0.8833;0.8868;0.8833;0.884;smote;3000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 47};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=47)
DecisionTreeClassifier;0.9118;0.912;0.9118;0.9118;0.9027;0.9046;0.9027;0.9033;0.8833;0.8875;0.8833;0.884;smote;3000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 47};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=47)
DecisionTreeClassifier;0.9154;0.9158;0.9154;0.9154;0.8971;0.9035;0.8971;0.8984;0.8667;0.8849;0.8667;0.8684;smote;3000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 316};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=316)
DecisionTreeClassifier;0.9105;0.9107;0.9105;0.9105;0.9016;0.9029;0.9016;0.902;0.8667;0.8739;0.8667;0.8679;smote;3000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 316};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=316)
DecisionTreeClassifier;0.9108;0.911;0.9108;0.9107;0.9027;0.9035;0.9027;0.9028;0.8667;0.8739;0.8667;0.8679;smote;3000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 47};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=47)
DecisionTreeClassifier;0.9131;0.9136;0.9131;0.9132;0.9206;0.9219;0.9206;0.9208;0.8667;0.8739;0.8667;0.8679;smote;3000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 626};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=626)
DecisionTreeClassifier;0.9182;0.9185;0.9182;0.9182;0.887;0.8883;0.887;0.8875;0.8667;0.873;0.8667;0.8675;smote;3000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 316};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=316)
DecisionTreeClassifier;0.9146;0.915;0.9146;0.9147;0.9072;0.9073;0.9072;0.9067;0.8667;0.873;0.8667;0.8675;smote;3000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 316};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=316)
RandomForestClassifier;0.9287;0.9295;0.9287;0.9289;0.9251;0.9274;0.9251;0.9256;0.8667;0.875;0.8667;0.8668;smote;3000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 8};RandomForestClassifier(n_estimators=20, random_state=8)
RandomForestClassifier;0.9275;0.9284;0.9275;0.9277;0.9295;0.9296;0.9295;0.9295;0.8667;0.875;0.8667;0.8668;smote;3000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 656};RandomForestClassifier(n_estimators=10, random_state=656)
DecisionTreeClassifier;0.9154;0.9155;0.9154;0.9154;0.8881;0.8894;0.8881;0.8885;0.8667;0.8759;0.8667;0.8668;smote;3000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 47};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=47)
RandomForestClassifier;0.9324;0.9333;0.9324;0.9326;0.9217;0.9227;0.9217;0.922;0.8667;0.875;0.8667;0.8668;smote;3000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 8};RandomForestClassifier(n_estimators=20, random_state=8)
DecisionTreeClassifier;0.9121;0.9125;0.9121;0.9121;0.9049;0.9084;0.9049;0.9057;0.8667;0.8759;0.8667;0.8668;smote;3000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 316};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=316)
DecisionTreeClassifier;0.9128;0.9131;0.9128;0.9128;0.9105;0.9125;0.9105;0.9111;0.8667;0.8764;0.8667;0.8657;smote;3000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 626};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=626)
DecisionTreeClassifier;0.916;0.9164;0.916;0.916;0.9049;0.9074;0.9049;0.9056;0.85;0.8732;0.85;0.8524;smote;3000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 47};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=47)
DecisionTreeClassifier;0.9115;0.9116;0.9115;0.9114;0.9116;0.9127;0.9116;0.9118;0.85;0.8732;0.85;0.8524;smote;3000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 47};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=47)
DecisionTreeClassifier;0.913;0.9135;0.913;0.913;0.9027;0.9041;0.9027;0.9029;0.85;0.8732;0.85;0.8524;smote;3000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 626};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=626)
DecisionTreeClassifier;0.9125;0.913;0.9125;0.9125;0.9016;0.9076;0.9016;0.9023;0.85;0.8732;0.85;0.8524;smote;3000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 47};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=47)
