Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
RandomForestClassifier;0.9163;0.9226;0.9163;0.9169;0.913;0.931;0.913;0.915;0.85;0.8542;0.85;0.8506;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 997};RandomForestClassifier(n_estimators=20, random_state=997)
RandomForestClassifier;0.926;0.9289;0.926;0.9258;0.913;0.9135;0.913;0.913;0.85;0.8542;0.85;0.8506;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 724};RandomForestClassifier(n_estimators=20, random_state=724)
RandomForestClassifier;0.9195;0.925;0.9195;0.919;0.8841;0.9008;0.8841;0.883;0.85;0.8563;0.85;0.8504;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 997};RandomForestClassifier(n_estimators=20, random_state=997)
KNeighborsClassifier;0.826;0.8373;0.826;0.8262;0.8986;0.9035;0.8986;0.8952;0.85;0.8514;0.85;0.8504;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
DecisionTreeClassifier;0.8839;0.8896;0.8839;0.8837;0.9275;0.9287;0.9275;0.9278;0.85;0.85;0.85;0.85;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 701};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=701)
RandomForestClassifier;0.9228;0.9284;0.9228;0.9229;0.8841;0.8871;0.8841;0.8845;0.85;0.85;0.85;0.85;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 184};RandomForestClassifier(n_estimators=20, random_state=184)
RandomForestClassifier;0.9404;0.9436;0.9404;0.9408;0.8696;0.884;0.8696;0.8713;0.85;0.8506;0.85;0.8499;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 184};RandomForestClassifier(n_estimators=20, random_state=184)
RandomForestClassifier;0.9243;0.929;0.9243;0.9246;0.971;0.9733;0.971;0.971;0.85;0.8506;0.85;0.8499;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 184};RandomForestClassifier(n_estimators=20, random_state=184)
RandomForestClassifier;0.9179;0.9197;0.9179;0.9177;0.8696;0.8697;0.8696;0.8672;0.85;0.8506;0.85;0.8499;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 184};RandomForestClassifier(n_estimators=20, random_state=184)
RandomForestClassifier;0.9389;0.9409;0.9389;0.9388;0.9275;0.9287;0.9275;0.9278;0.85;0.8506;0.85;0.8499;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 184};RandomForestClassifier(n_estimators=20, random_state=184)
RandomForestClassifier;0.921;0.9257;0.921;0.9214;0.8841;0.8839;0.8841;0.8837;0.85;0.8497;0.85;0.8495;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 724};RandomForestClassifier(n_estimators=10, random_state=724)
