Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Hyper Params.,Model
KNeighborsClassifier,0.9219,0.9245,0.9219,0.9218,0.9271,0.9276,0.9271,0.9271,0.8333,0.8486,0.8333,0.8354,0.97,smote,500,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=7, p=1, weights='distance')"
KNeighborsClassifier,0.9158,0.9195,0.9158,0.9161,0.8924,0.8975,0.8924,0.8932,0.8333,0.8408,0.8333,0.8326,0.9721,smote,500,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=7, p=1, weights='distance')"
RandomForestClassifier,0.9331,0.9346,0.9331,0.9333,0.9132,0.9197,0.9132,0.9141,0.8,0.8056,0.8,0.799,0.983,smote,500,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'n_estimators': 20, 'random_state': 187}","RandomForestClassifier(n_estimators=20, random_state=187)"
DecisionTreeClassifier,0.895,0.8989,0.895,0.8949,0.875,0.8775,0.875,0.8751,0.8,0.8052,0.8,0.7985,0.9628,smote,500,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 955}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=955)"
DecisionTreeClassifier,0.8915,0.8946,0.8915,0.8915,0.9132,0.9133,0.9132,0.9133,0.7833,0.7877,0.7833,0.7814,0.9605,smote,500,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 628}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=628)"
RandomForestClassifier,0.9271,0.9296,0.9271,0.9269,0.9479,0.9496,0.9479,0.9481,0.7833,0.7832,0.7833,0.7802,0.9829,smote,500,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'n_estimators': 20, 'random_state': 354}","RandomForestClassifier(n_estimators=20, random_state=354)"
RandomForestClassifier,0.9384,0.9415,0.9384,0.9382,0.9167,0.919,0.9167,0.9167,0.7667,0.7875,0.7667,0.7675,0.9803,smote,500,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'n_estimators': 20, 'random_state': 833}","RandomForestClassifier(n_estimators=20, random_state=833)"
MLPClassifier,0.8143,0.8178,0.8143,0.814,0.8611,0.8628,0.8611,0.8612,0.7667,0.7817,0.7667,0.7657,0.9384,smote,500,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'max_iter': 100000, 'random_state': 936, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=936)"
KNeighborsClassifier,0.9271,0.9294,0.9271,0.9272,0.9028,0.9086,0.9028,0.9028,0.7667,0.7798,0.7667,0.7654,0.9732,smote,500,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=7, p=1, weights='distance')"
MLPClassifier,0.7882,0.7894,0.7882,0.7875,0.7674,0.806,0.7674,0.7692,0.75,0.7513,0.75,0.7484,0.9265,smote,500,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'max_iter': 100000, 'random_state': 854, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=854)"
