Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Hyper Params.,Model
DecisionTreeClassifier,0.8894,0.8953,0.8894,0.8889,0.8116,0.8402,0.8116,0.8071,0.8333,0.8426,0.8333,0.8341,0.9439,smote,250,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 96}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=96)"
KNeighborsClassifier,0.884,0.8914,0.884,0.8842,0.9203,0.9202,0.9203,0.9198,0.8333,0.8413,0.8333,0.834,0.958,smote,250,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', p=1, weights='distance')"
RandomForestClassifier,0.9021,0.9072,0.9021,0.9012,0.9203,0.9253,0.9203,0.921,0.8167,0.8253,0.8167,0.8183,0.9695,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'n_estimators': 20, 'random_state': 681}","RandomForestClassifier(n_estimators=20, random_state=681)"
DecisionTreeClassifier,0.8859,0.8936,0.8859,0.8851,0.8768,0.8829,0.8768,0.8747,0.8,0.8038,0.8,0.801,0.9458,smote,250,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 203}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=203)"
RandomForestClassifier,0.9129,0.9182,0.9129,0.912,0.8986,0.9006,0.8986,0.8986,0.8,0.8035,0.8,0.8005,0.9641,smote,250,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'n_estimators': 5, 'random_state': 371}","RandomForestClassifier(n_estimators=5, random_state=371)"
RandomForestClassifier,0.8986,0.9049,0.8986,0.8977,0.9203,0.9233,0.9203,0.9209,0.7833,0.8401,0.7833,0.7833,0.9669,smote,250,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'n_estimators': 20, 'random_state': 816}","RandomForestClassifier(n_estimators=20, random_state=816)"
DecisionTreeClassifier,0.8641,0.8717,0.8641,0.8644,0.8913,0.8906,0.8913,0.8903,0.75,0.7951,0.75,0.7429,0.9528,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 278}","DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=278)"
KNeighborsClassifier,0.8641,0.8713,0.8641,0.8645,0.9275,0.9288,0.9275,0.9277,0.7333,0.7534,0.7333,0.7381,0.9417,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', p=1, weights='distance')"
KNeighborsClassifier,0.886,0.8936,0.886,0.8862,0.8841,0.8915,0.8841,0.8849,0.7167,0.7444,0.7167,0.7142,0.9639,smote,250,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'distance'}","KNeighborsClassifier(metric='manhattan', n_neighbors=15, p=1,
                     weights='distance')"
SVC,0.75,0.764,0.75,0.7488,0.7101,0.7205,0.7101,0.7117,0.7,0.7118,0.7,0.704,0.868,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'C': 10, 'kernel': 'linear', 'random_state': 739}","SVC(C=10, kernel='linear', probability=True, random_state=739)"
MLPClassifier,0.7645,0.7697,0.7645,0.765,0.7246,0.73,0.7246,0.7262,0.6833,0.6991,0.6833,0.6788,0.9155,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'max_iter': 100000, 'random_state': 540, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=540)"
LogisticRegression,0.7318,0.7493,0.7318,0.7302,0.7246,0.7268,0.7246,0.7256,0.6667,0.713,0.6667,0.6736,0.8902,smote,250,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'C': 10, 'penalty': 'l2', 'random_state': 800, 'solver': 'lbfgs'}","LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=800)"
MLPClassifier,0.81,0.819,0.81,0.8102,0.7826,0.7851,0.7826,0.7826,0.6833,0.7252,0.6833,0.673,0.9353,smote,250,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'max_iter': 100000, 'random_state': 511, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=511)"
SVC,0.7915,0.7968,0.7915,0.7938,0.8623,0.8814,0.8623,0.8655,0.6667,0.6809,0.6667,0.6611,0.892,smote,250,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'C': 10, 'kernel': 'linear', 'random_state': 375}","SVC(C=10, kernel='linear', probability=True, random_state=375)"
MLPClassifier,0.7933,0.8031,0.7933,0.795,0.7609,0.7607,0.7609,0.7608,0.65,0.6598,0.65,0.6463,0.9315,smote,250,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'max_iter': 100000, 'random_state': 725, 'solver': 'adam'}","MLPClassifier(max_iter=100000, random_state=725)"
SVC,0.766,0.7705,0.766,0.7662,0.7464,0.7494,0.7464,0.744,0.6333,0.6709,0.6333,0.6383,0.8818,smote,250,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'C': 10, 'kernel': 'linear', 'random_state': 800}","SVC(C=10, kernel='linear', probability=True, random_state=800)"
LogisticRegression,0.7645,0.7716,0.7645,0.7631,0.8188,0.826,0.8188,0.8206,0.6333,0.6459,0.6333,0.6311,0.9028,smote,250,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'C': 0.1, 'penalty': 'l2', 'random_state': 492, 'solver': 'lbfgs'}","LogisticRegression(C=0.1, max_iter=100000, multi_class='multinomial',
                   random_state=492)"
LogisticRegression,0.7517,0.7657,0.7517,0.7512,0.7101,0.7098,0.7101,0.7059,0.5833,0.6302,0.5833,0.5924,0.8938,smote,250,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'E']",10,"{'C': 10, 'penalty': 'l2', 'random_state': 898, 'solver': 'lbfgs'}","LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=898)"
