Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;AUC;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
KNeighborsClassifier;0.7811;0.7965;0.7811;0.7805;0.8116;0.8133;0.8116;0.8114;0.9;0.9148;0.9;0.9008;0.9066;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=7, weights='distance')
KNeighborsClassifier;0.7602;0.7791;0.7602;0.76;0.8406;0.8544;0.8406;0.8405;0.8833;0.8897;0.8833;0.8819;0.9039;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'distance'};"KNeighborsClassifier(metric='manhattan', n_neighbors=15, p=1,
                     weights='distance')"
KNeighborsClassifier;0.7602;0.7767;0.7602;0.7598;0.8261;0.8436;0.8261;0.826;0.8667;0.8849;0.8667;0.8684;0.9073;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 11, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=11, weights='distance')
KNeighborsClassifier;0.7682;0.7814;0.7682;0.7669;0.8696;0.8728;0.8696;0.8701;0.8667;0.8839;0.8667;0.8664;0.9125;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=7, weights='distance')
KNeighborsClassifier;0.7729;0.7904;0.7729;0.7721;0.7391;0.7418;0.7391;0.7398;0.8667;0.8833;0.8667;0.8653;0.9061;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
KNeighborsClassifier;0.7761;0.7886;0.7761;0.7754;0.8406;0.8411;0.8406;0.8389;0.8667;0.8767;0.8667;0.8653;0.9111;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=7, weights='distance')
KNeighborsClassifier;0.7826;0.8012;0.7826;0.7808;0.8116;0.8269;0.8116;0.8105;0.8667;0.8767;0.8667;0.8653;0.907;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.7682;0.7836;0.7682;0.7681;0.7971;0.7985;0.7971;0.7968;0.8667;0.8833;0.8667;0.8653;0.9105;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
KNeighborsClassifier;0.7634;0.7817;0.7634;0.7606;0.7971;0.8061;0.7971;0.7993;0.8667;0.8767;0.8667;0.8653;0.9144;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=7, weights='distance')
KNeighborsClassifier;0.7568;0.7738;0.7568;0.7569;0.8551;0.8646;0.8551;0.8541;0.85;0.8731;0.85;0.8498;0.9101;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.7779;0.7915;0.7779;0.7761;0.7681;0.7831;0.7681;0.7671;0.85;0.8731;0.85;0.8498;0.9114;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.7826;0.798;0.7826;0.7799;0.8406;0.8459;0.8406;0.8415;0.85;0.8583;0.85;0.8497;0.9075;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.7682;0.7818;0.7682;0.7677;0.7826;0.7818;0.7826;0.7815;0.85;0.8583;0.85;0.8497;0.9076;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.7618;0.7867;0.7618;0.7605;0.8406;0.8423;0.8406;0.8412;0.85;0.8583;0.85;0.8497;0.9081;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', n_neighbors=7, p=1, weights='distance')
KNeighborsClassifier;0.7504;0.7673;0.7504;0.7477;0.8841;0.8846;0.8841;0.884;0.85;0.8652;0.85;0.8483;0.9004;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.781;0.7927;0.781;0.7808;0.8261;0.8279;0.8261;0.8246;0.85;0.8652;0.85;0.8483;0.9109;smote;250;StandardScaler;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
