Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;AUC;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
KNeighborsClassifier;0.9452;0.946;0.9452;0.9451;0.9787;0.9791;0.9787;0.9788;0.95;0.9522;0.95;0.9499;0.9888;smote;3000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
KNeighborsClassifier;0.9483;0.949;0.9483;0.9482;0.9754;0.9756;0.9754;0.9754;0.95;0.9522;0.95;0.9499;0.9884;smote;3000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
RandomForestClassifier;0.9793;0.9794;0.9793;0.9793;0.9793;0.9794;0.9793;0.9793;0.95;0.953;0.95;0.9499;0.9979;smote;3000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 626};RandomForestClassifier(n_estimators=20, random_state=626)
RandomForestClassifier;0.979;0.9792;0.979;0.979;0.9754;0.9754;0.9754;0.9754;0.9333;0.939;0.9333;0.9336;0.9981;smote;3000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 753};RandomForestClassifier(n_estimators=20, random_state=753)
RandomForestClassifier;0.979;0.9791;0.979;0.979;0.9832;0.9834;0.9832;0.9832;0.9333;0.9346;0.9333;0.9328;0.998;smote;3000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 718};RandomForestClassifier(n_estimators=20, random_state=718)
KNeighborsClassifier;0.9442;0.945;0.9442;0.9441;0.9765;0.9765;0.9765;0.9765;0.9333;0.9345;0.9333;0.9324;0.9887;smote;3000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
DecisionTreeClassifier;0.9649;0.9651;0.9649;0.9648;0.8926;0.8948;0.8926;0.8925;0.8833;0.8874;0.8833;0.883;0.9736;smote;3000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 473};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=473)
DecisionTreeClassifier;0.9618;0.962;0.9618;0.9618;0.9032;0.9035;0.9032;0.9033;0.8667;0.8738;0.8667;0.8658;0.9714;smote;3000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 498};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=498)
DecisionTreeClassifier;0.9653;0.9655;0.9653;0.9653;0.896;0.896;0.896;0.896;0.8667;0.8738;0.8667;0.8658;0.974;smote;3000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 436};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=436)
MLPClassifier;0.8445;0.8472;0.8445;0.8434;0.8512;0.85;0.8512;0.8497;0.8167;0.8155;0.8167;0.8158;0.9617;smote;3000;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 87, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=87)
