Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;AUC;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
RandomForestClassifier;0.9112;0.9127;0.9112;0.9112;0.8946;0.8945;0.8946;0.8944;0.85;0.857;0.85;0.8508;0.9783;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 5, 'random_state': 488};RandomForestClassifier(n_estimators=5, random_state=488)
RandomForestClassifier;0.9101;0.9114;0.9101;0.9101;0.8946;0.8958;0.8946;0.8943;0.85;0.8599;0.85;0.8476;0.979;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 423};RandomForestClassifier(n_estimators=20, random_state=423)
RandomForestClassifier;0.9033;0.9044;0.9033;0.9033;0.9116;0.9131;0.9116;0.9117;0.8333;0.8361;0.8333;0.8315;0.9767;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 423};RandomForestClassifier(n_estimators=20, random_state=423)
RandomForestClassifier;0.9048;0.9066;0.9048;0.9049;0.9048;0.9075;0.9048;0.9052;0.8167;0.8208;0.8167;0.8161;0.9782;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 107};RandomForestClassifier(n_estimators=20, random_state=107)
RandomForestClassifier;0.907;0.9083;0.907;0.907;0.898;0.8979;0.898;0.8979;0.8167;0.8208;0.8167;0.8161;0.9778;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 107};RandomForestClassifier(n_estimators=20, random_state=107)
RandomForestClassifier;0.9036;0.9048;0.9036;0.9036;0.9252;0.9261;0.9252;0.9252;0.8167;0.8208;0.8167;0.8161;0.9784;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 423};RandomForestClassifier(n_estimators=10, random_state=423)
RandomForestClassifier;0.9051;0.9067;0.9051;0.9052;0.9184;0.9191;0.9184;0.9179;0.8167;0.8208;0.8167;0.8161;0.9775;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 107};RandomForestClassifier(n_estimators=20, random_state=107)
RandomForestClassifier;0.9066;0.9085;0.9066;0.9067;0.915;0.9168;0.915;0.9153;0.8167;0.8217;0.8167;0.816;0.9783;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 488};RandomForestClassifier(n_estimators=20, random_state=488)
RandomForestClassifier;0.904;0.9052;0.904;0.9041;0.9218;0.9225;0.9218;0.9219;0.8167;0.8217;0.8167;0.816;0.977;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 488};RandomForestClassifier(n_estimators=20, random_state=488)
RandomForestClassifier;0.9085;0.9103;0.9085;0.9086;0.8878;0.8889;0.8878;0.8878;0.8167;0.8217;0.8167;0.816;0.9781;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 488};RandomForestClassifier(n_estimators=20, random_state=488)
RandomForestClassifier;0.9108;0.9122;0.9108;0.9107;0.8844;0.8866;0.8844;0.8847;0.8167;0.8217;0.8167;0.816;0.9788;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 107};RandomForestClassifier(n_estimators=20, random_state=107)
RandomForestClassifier;0.9093;0.911;0.9093;0.9094;0.8912;0.8918;0.8912;0.8914;0.8167;0.8217;0.8167;0.816;0.9801;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 488};RandomForestClassifier(n_estimators=20, random_state=488)
RandomForestClassifier;0.9044;0.9052;0.9044;0.9043;0.9184;0.9186;0.9184;0.9184;0.8167;0.8217;0.8167;0.816;0.9786;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 423};RandomForestClassifier(n_estimators=20, random_state=423)
RandomForestClassifier;0.9044;0.9053;0.9044;0.9044;0.915;0.9161;0.915;0.9152;0.8;0.8089;0.8;0.8023;0.9782;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 423};RandomForestClassifier(n_estimators=10, random_state=423)
RandomForestClassifier;0.9085;0.9097;0.9085;0.9085;0.9082;0.9089;0.9082;0.9083;0.8;0.8064;0.8;0.8007;0.9798;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 488};RandomForestClassifier(n_estimators=20, random_state=488)
RandomForestClassifier;0.9066;0.908;0.9066;0.9067;0.9116;0.9131;0.9116;0.9116;0.8;0.8057;0.8;0.8003;0.9773;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 423};RandomForestClassifier(n_estimators=20, random_state=423)
RandomForestClassifier;0.9089;0.9108;0.9089;0.909;0.898;0.8982;0.898;0.898;0.8;0.8151;0.8;0.7996;0.9795;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 107};RandomForestClassifier(n_estimators=20, random_state=107)
