Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;AUC;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
SVC;0.8999;0.9036;0.8999;0.8999;0.9281;0.9319;0.9281;0.928;0.8833;0.8875;0.8833;0.884;0.969;smote;3000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'C': 10, 'kernel': 'rbf', 'random_state': 270};SVC(C=10, probability=True, random_state=270)
SVC;0.8985;0.9017;0.8985;0.8985;0.9337;0.9371;0.9337;0.9338;0.8833;0.8875;0.8833;0.884;0.9685;smote;3000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'C': 10, 'kernel': 'rbf', 'random_state': 66};SVC(C=10, probability=True, random_state=66)
MLPClassifier;0.9312;0.9329;0.9312;0.9313;0.9354;0.9359;0.9354;0.9355;0.8833;0.8891;0.8833;0.8829;0.9874;smote;3000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 227, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=227)
RandomForestClassifier;0.9304;0.9313;0.9304;0.9303;0.9343;0.9358;0.9343;0.9344;0.8833;0.8873;0.8833;0.8826;0.9882;smote;3000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 5, 'random_state': 829};RandomForestClassifier(n_estimators=5, random_state=829)
KNeighborsClassifier;0.9243;0.9259;0.9243;0.9244;0.9281;0.9296;0.9281;0.9282;0.8833;0.8883;0.8833;0.881;0.9764;smote;3000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'distance'};"KNeighborsClassifier(metric='manhattan', n_neighbors=15, p=1,
                     weights='distance')"
SVC;0.9007;0.9031;0.9007;0.9004;0.9281;0.9322;0.9281;0.9283;0.8667;0.8716;0.8667;0.8681;0.9689;smote;3000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'C': 10, 'kernel': 'rbf', 'random_state': 234};SVC(C=10, probability=True, random_state=234)
MLPClassifier;0.9292;0.9311;0.9292;0.929;0.936;0.9376;0.936;0.9361;0.8667;0.8759;0.8667;0.8668;0.9866;smote;3000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 31, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=31)
MLPClassifier;0.9326;0.9349;0.9326;0.9328;0.9287;0.9332;0.9287;0.9291;0.8667;0.8759;0.8667;0.8668;0.987;smote;3000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 876, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=876)
RandomForestClassifier;0.9327;0.9338;0.9327;0.9328;0.9309;0.934;0.9309;0.9313;0.8667;0.8837;0.8667;0.8659;0.9883;smote;3000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 861};RandomForestClassifier(n_estimators=10, random_state=861)
KNeighborsClassifier;0.9333;0.9354;0.9333;0.9335;0.9264;0.9262;0.9264;0.9263;0.8667;0.8736;0.8667;0.865;0.9795;smote;3000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'};"KNeighborsClassifier(metric='manhattan', n_neighbors=11, p=1,
                     weights='distance')"
KNeighborsClassifier;0.9266;0.9278;0.9266;0.9267;0.9309;0.9324;0.9309;0.9308;0.8667;0.8736;0.8667;0.865;0.9764;smote;3000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', n_neighbors=9, p=1, weights='distance')
RandomForestClassifier;0.9344;0.9365;0.9344;0.9346;0.936;0.9394;0.936;0.9361;0.8667;0.8851;0.8667;0.864;0.9869;smote;3000;StandardScaler;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 574};RandomForestClassifier(n_estimators=20, random_state=574)
