Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;AUC;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
RandomForestClassifier;0.9498;0.9515;0.9498;0.9499;0.9514;0.9521;0.9514;0.9515;0.8833;0.8881;0.8833;0.8805;0.9942;smote;500;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 877};RandomForestClassifier(n_estimators=20, random_state=877)
RandomForestClassifier;0.9529;0.9543;0.9529;0.9529;0.9306;0.932;0.9306;0.9308;0.8667;0.8714;0.8667;0.8663;0.9934;smote;500;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 567};RandomForestClassifier(n_estimators=10, random_state=567)
RandomForestClassifier;0.9421;0.9429;0.9421;0.9421;0.9514;0.953;0.9514;0.9517;0.8667;0.8714;0.8667;0.8663;0.9923;smote;500;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 877};RandomForestClassifier(n_estimators=20, random_state=877)
RandomForestClassifier;0.9499;0.9517;0.9499;0.9501;0.9722;0.9724;0.9722;0.9722;0.8667;0.875;0.8667;0.8658;0.9933;smote;500;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 567};RandomForestClassifier(n_estimators=10, random_state=567)
RandomForestClassifier;0.9498;0.9519;0.9498;0.9499;0.9306;0.9322;0.9306;0.9305;0.8667;0.8731;0.8667;0.8651;0.9946;smote;500;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 531};RandomForestClassifier(n_estimators=20, random_state=531)
RandomForestClassifier;0.9475;0.9503;0.9475;0.9475;0.9514;0.9556;0.9514;0.9517;0.8667;0.8722;0.8667;0.8643;0.9936;smote;500;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 877};RandomForestClassifier(n_estimators=20, random_state=877)
RandomForestClassifier;0.9537;0.9548;0.9537;0.9538;0.9444;0.9469;0.9444;0.944;0.8667;0.8722;0.8667;0.8643;0.9945;smote;500;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 877};RandomForestClassifier(n_estimators=20, random_state=877)
RandomForestClassifier;0.9476;0.9491;0.9476;0.9475;0.9653;0.9658;0.9653;0.9653;0.8667;0.8736;0.8667;0.8641;0.9937;smote;500;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 877};RandomForestClassifier(n_estimators=20, random_state=877)
RandomForestClassifier;0.9553;0.9564;0.9553;0.9552;0.9097;0.9097;0.9097;0.9097;0.8667;0.875;0.8667;0.8632;0.9949;smote;500;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 531};RandomForestClassifier(n_estimators=20, random_state=531)
KNeighborsClassifier;0.8596;0.8611;0.8596;0.8585;0.9097;0.9097;0.9097;0.9083;0.85;0.8505;0.85;0.8499;0.9643;smote;500;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
