Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;AUC;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
MLPClassifier;0.8603;0.8631;0.8603;0.8602;0.8602;0.8648;0.8602;0.8603;0.8833;0.8935;0.8833;0.8844;0.9684;smote;3000;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_iter': 100000, 'random_state': 764, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=764)
RandomForestClassifier;0.882;0.883;0.882;0.8819;0.8842;0.8852;0.8842;0.8842;0.8833;0.884;0.8833;0.8833;0.9776;smote;3000;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 114};RandomForestClassifier(n_estimators=20, random_state=114)
RandomForestClassifier;0.8833;0.8844;0.8833;0.8831;0.8826;0.8827;0.8826;0.8825;0.8833;0.8833;0.8833;0.8833;0.9775;smote;3000;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 236};RandomForestClassifier(n_estimators=20, random_state=236)
RandomForestClassifier;0.8862;0.8869;0.8862;0.8862;0.8725;0.8728;0.8725;0.8724;0.8833;0.8833;0.8833;0.8833;0.9776;smote;3000;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 643};RandomForestClassifier(n_estimators=20, random_state=643)
KNeighborsClassifier;0.8606;0.8616;0.8606;0.8606;0.8893;0.8892;0.8893;0.8892;0.8833;0.8891;0.8833;0.8829;0.9574;smote;3000;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'distance'};"KNeighborsClassifier(metric='manhattan', n_neighbors=15, p=1,
                     weights='distance')"
KNeighborsClassifier;0.8508;0.8529;0.8508;0.8505;0.8949;0.8952;0.8949;0.8947;0.8833;0.8873;0.8833;0.8826;0.9551;smote;3000;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'distance'};"KNeighborsClassifier(metric='manhattan', n_neighbors=15, p=1,
                     weights='distance')"
KNeighborsClassifier;0.8575;0.8588;0.8575;0.8574;0.8887;0.8895;0.8887;0.8888;0.8833;0.8873;0.8833;0.8826;0.9574;smote;3000;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'distance'};"KNeighborsClassifier(metric='manhattan', n_neighbors=15, p=1,
                     weights='distance')"
DecisionTreeClassifier;0.8799;0.8815;0.8799;0.8798;0.8909;0.891;0.8909;0.8907;0.8667;0.8681;0.8667;0.867;0.9761;smote;3000;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 550};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=550)
DecisionTreeClassifier;0.877;0.8779;0.877;0.8768;0.9027;0.9035;0.9027;0.9026;0.8667;0.8667;0.8667;0.8667;0.9753;smote;3000;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 522};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=522)
DecisionTreeClassifier;0.8812;0.8822;0.8812;0.8811;0.8926;0.893;0.8926;0.8924;0.8667;0.8667;0.8667;0.8667;0.9762;smote;3000;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 922};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=922)
