Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;AUC;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
RandomForestClassifier;0.8703;0.872;0.8703;0.8702;0.8889;0.8943;0.8889;0.8887;0.8667;0.8673;0.8667;0.8666;0.9693;smote;500;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 787};RandomForestClassifier(n_estimators=10, random_state=787)
KNeighborsClassifier;0.8055;0.8099;0.8055;0.8057;0.8472;0.8526;0.8472;0.8483;0.85;0.8505;0.85;0.8499;0.9385;smote;500;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
DecisionTreeClassifier;0.8612;0.8622;0.8612;0.8611;0.8194;0.8189;0.8194;0.8187;0.85;0.8506;0.85;0.8499;0.8959;smote;500;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 195};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=195)
DecisionTreeClassifier;0.8527;0.8554;0.8527;0.8527;0.8403;0.8479;0.8403;0.8411;0.85;0.8497;0.85;0.8495;0.8895;smote;500;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 195};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=195)
RandomForestClassifier;0.8781;0.8816;0.8781;0.878;0.8472;0.8528;0.8472;0.8477;0.85;0.8497;0.85;0.8495;0.9705;smote;500;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 787};RandomForestClassifier(n_estimators=20, random_state=787)
RandomForestClassifier;0.8704;0.8728;0.8704;0.8706;0.8681;0.8749;0.8681;0.8693;0.85;0.8497;0.85;0.8495;0.9693;smote;500;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 19};RandomForestClassifier(n_estimators=10, random_state=19)
KNeighborsClassifier;0.821;0.8249;0.821;0.821;0.8125;0.8213;0.8125;0.8125;0.85;0.849;0.85;0.8491;0.9387;smote;500;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
RandomForestClassifier;0.8819;0.8847;0.8819;0.8822;0.8819;0.8833;0.8819;0.8818;0.85;0.8508;0.85;0.849;0.9717;smote;500;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 19};RandomForestClassifier(n_estimators=10, random_state=19)
DecisionTreeClassifier;0.8534;0.8544;0.8534;0.853;0.8333;0.8346;0.8333;0.8334;0.85;0.849;0.85;0.8481;0.89;smote;500;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 396};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=396)
KNeighborsClassifier;0.8279;0.8338;0.8279;0.8284;0.8611;0.8631;0.8611;0.8617;0.8333;0.8331;0.8333;0.8329;0.9422;smote;500;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', n_neighbors=7, p=1, weights='distance')
KNeighborsClassifier;0.8087;0.8151;0.8087;0.8097;0.8264;0.829;0.8264;0.8272;0.8333;0.8331;0.8333;0.8329;0.9347;smote;500;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
