Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;AUC;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
KNeighborsClassifier;0.8511;0.8556;0.8511;0.851;0.8844;0.8918;0.8844;0.8851;0.8667;0.8681;0.8667;0.867;0.9478;smote;1000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 15, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=15, weights='distance')
RandomForestClassifier;0.8927;0.898;0.8927;0.8933;0.8741;0.88;0.8741;0.8758;0.8667;0.8692;0.8667;0.8669;0.9718;smote;1000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 546};RandomForestClassifier(n_estimators=20, random_state=546)
RandomForestClassifier;0.8878;0.8931;0.8878;0.8885;0.915;0.9185;0.915;0.9149;0.8667;0.8692;0.8667;0.8669;0.9716;smote;1000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 546};RandomForestClassifier(n_estimators=20, random_state=546)
RandomForestClassifier;0.8915;0.8975;0.8915;0.8922;0.8946;0.9058;0.8946;0.8947;0.8667;0.8692;0.8667;0.8669;0.9744;smote;1000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 78};RandomForestClassifier(n_estimators=20, random_state=78)
RandomForestClassifier;0.8968;0.9013;0.8968;0.8973;0.8605;0.8825;0.8605;0.8621;0.8667;0.8692;0.8667;0.8669;0.9724;smote;1000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 78};RandomForestClassifier(n_estimators=20, random_state=78)
KNeighborsClassifier;0.8341;0.8378;0.8341;0.833;0.8844;0.8868;0.8844;0.8843;0.85;0.8541;0.85;0.851;0.9472;smote;1000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 15, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=15, weights='distance')
KNeighborsClassifier;0.8458;0.8524;0.8458;0.846;0.8776;0.8766;0.8776;0.877;0.85;0.8541;0.85;0.851;0.9464;smote;1000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 15, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=15, weights='distance')
KNeighborsClassifier;0.8564;0.8616;0.8564;0.8568;0.8878;0.8939;0.8878;0.8883;0.85;0.8541;0.85;0.851;0.9463;smote;1000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 15, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=15, weights='distance')
KNeighborsClassifier;0.8515;0.8555;0.8515;0.8519;0.8707;0.8717;0.8707;0.8706;0.85;0.8541;0.85;0.851;0.9527;smote;1000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 9, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=9, weights='distance')
KNeighborsClassifier;0.8545;0.8579;0.8545;0.8548;0.8878;0.8922;0.8878;0.8874;0.85;0.8541;0.85;0.851;0.9503;smote;1000;no_scaled;['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 15, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=15, weights='distance')
